ENABLE,release_key,id,mst_stage_id,language,name,category_name
e,202601010,event_jig1_1day_00001_ja,event_jig1_1day_00001,ja,Stage 1,
e,202601010,event_jig1_charaget01_00001_ja,event_jig1_charaget01_00001,ja,1話,
e,202601010,event_jig1_charaget01_00002_ja,event_jig1_charaget01_00002,ja,2話,
e,202601010,event_jig1_charaget01_00003_ja,event_jig1_charaget01_00003,ja,3話,
e,202601010,event_jig1_charaget01_00004_ja,event_jig1_charaget01_00004,ja,4話,
e,202601010,event_jig1_charaget01_00005_ja,event_jig1_charaget01_00005,ja,5話,
e,202601010,event_jig1_charaget01_00006_ja,event_jig1_charaget01_00006,ja,6話,
e,202601010,event_jig1_charaget01_00007_ja,event_jig1_charaget01_00007,ja,7話,
e,202601010,event_jig1_charaget01_00008_ja,event_jig1_charaget01_00008,ja,8話,
e,202601010,event_jig1_challenge01_00001_ja,event_jig1_challenge01_00001,ja,Stage 1,
e,202601010,event_jig1_challenge01_00002_ja,event_jig1_challenge01_00002,ja,Stage 2,
e,202601010,event_jig1_challenge01_00003_ja,event_jig1_challenge01_00003,ja,Stage 3,
e,202601010,event_jig1_challenge01_00004_ja,event_jig1_challenge01_00004,ja,Stage 4,
e,202601010,event_jig1_savage_00001_ja,event_jig1_savage_00001,ja,Stage 1,
e,202601010,event_jig1_savage_00002_ja,event_jig1_savage_00002,ja,Stage 2,
e,202601010,event_jig1_savage_00003_ja,event_jig1_savage_00003,ja,Stage 3,
e,202601010,event_jig1_charaget02_00001_ja,event_jig1_charaget02_00001,ja,1話,
e,202601010,event_jig1_charaget02_00002_ja,event_jig1_charaget02_00002,ja,2話,
e,202601010,event_jig1_charaget02_00003_ja,event_jig1_charaget02_00003,ja,3話,
e,202601010,event_jig1_charaget02_00004_ja,event_jig1_charaget02_00004,ja,4話,
e,202601010,event_jig1_charaget02_00005_ja,event_jig1_charaget02_00005,ja,5話,
e,202601010,event_jig1_charaget02_00006_ja,event_jig1_charaget02_00006,ja,6話,
e,202601010,event_jig1_charaget02_00007_ja,event_jig1_charaget02_00007,ja,7話,
e,202601010,event_jig1_charaget02_00008_ja,event_jig1_charaget02_00008,ja,8話,
