ENABLE,release_key,id,mst_series_id,asset_key,is_phantomized,is_displayed_encyclopedia,mst_attack_hit_onomatopeia_group_id
e,202509010,chara_spy_00401,spy,chara_spy_00401,1,1,""
e,202510020,chara_dan_00301,dan,chara_dan_00301,1,1,""
e,202509010,chara_gom_00001,gom,chara_gom_00001,1,1,""
e,202509010,chara_chi_00002,chi,chara_chi_00002,1,1,""
e,202509010,chara_kai_00002,kai,chara_kai_00002,1,1,""
e,202511020,chara_yuw_00001,yuw,chara_yuw_00001,1,1,""
e,202511020,chara_yuw_00101,yuw,chara_yuw_00101,1,1,""
e,202511020,chara_yuw_00301,yuw,chara_yuw_00301,1,1,""
e,202511020,chara_yuw_00401,yuw,chara_yuw_00401,1,1,""
e,202511020,chara_yuw_00601,yuw,chara_yuw_00601,1,1,""
e,202512010,chara_sur_00801,sur,chara_sur_00801,1,1,""
e,202509010,chara_tak_00001,tak,chara_tak_00001,1,1,""
e,202601010,chara_jig_00601,jig,chara_jig_00601,1,1,""
e,202509010,chara_mag_00001,mag,chara_mag_00001,1,1,""
e,202509010,chara_sum_00001,sum,chara_sum_00001,1,1,""
e,202512020,chara_osh_00201,osh,chara_osh_00201,1,1,""
e,202512020,chara_osh_00301,osh,chara_osh_00301,1,1,""
e,202512020,chara_osh_00401,osh,chara_osh_00401,1,1,""
e,202512020,chara_osh_00501,osh,chara_osh_00501,1,1,""
e,202512020,chara_osh_00601,osh,chara_osh_00601,1,1,""
e,202602015,chara_you_00201,you,chara_you_00201,1,1,""
e,202602020,chara_kim_00001,kim,chara_kim_00001,1,1,""
e,202602020,chara_kim_00101,kim,chara_kim_00101,1,1,""
e,202602020,chara_kim_00201,kim,chara_kim_00201,1,1,""
e,202602020,chara_kim_00301,kim,chara_kim_00301,1,1,""
e,202603010,chara_hut_00001,hut,chara_hut_00001,1,1,""
e,202603010,chara_hut_00101,hut,chara_hut_00101,1,1,""
e,202603010,chara_hut_00201,hut,chara_hut_00201,1,1,""
e,202603010,chara_hut_00301,hut,chara_hut_00301,1,1,""
e,202604010,chara_aya_00101,aya,chara_aya_00101,1,1,""
e,202509010,enemy_spy_00001,spy,enemy_spy_00001,0,1,""
e,202509010,enemy_dan_00001,dan,enemy_dan_00001,0,1,""
e,202509010,enemy_gom_00402,gom,enemy_gom_00402,0,1,""
e,202509010,enemy_gom_00501,gom,enemy_gom_00501,0,1,""
e,202509010,enemy_gom_00701,gom,enemy_gom_00701,0,1,""
e,202509010,enemy_chi_00101,chi,enemy_chi_00101,0,1,""
e,202509010,enemy_kai_00101,kai,enemy_kai_00101,0,1,""
e,202509010,enemy_sur_00101,sur,enemy_sur_00101,0,1,""
e,202509010,enemy_jig_00001,jig,enemy_jig_00001,0,1,""
e,202509010,enemy_jig_00401,jig,enemy_jig_00401,0,1,""
e,202509010,enemy_mag_00001,mag,enemy_mag_00001,0,1,""
e,202509010,enemy_mag_00101,mag,enemy_mag_00101,0,1,""
e,202509010,enemy_sum_00001,sum,enemy_sum_00001,0,1,""
e,202602015,enemy_you_00001,you,enemy_you_00001,0,1,""
e,202602015,enemy_you_00101,you,enemy_you_00101,0,1,""
e,202604010,enemy_aya_00001,aya,enemy_aya_00001,0,1,""
e,202509010,enemy_glo_00001,glo,enemy_glo_00001,0,0,""
