ENABLE,release_key,id,mst_enemy_character_id,language,name,description
e,202509010,chara_spy_00401_ja,chara_spy_00401,ja,フランキー・フランクリン,表の顔は普通のタバコ屋だが、<黄昏>も一目置く情報屋という裏の顔を持つ人物。\n東国(オスタニア)に住んではいるが、国の空気を好ましく思っておらず、西国(ウェスタリス)の諜報員にも協力する。\n手先が器用で、発明家としても優秀だ。
e,202510020,chara_dan_00301_ja,chara_dan_00301,ja,招き猫 ターボババア,神出鬼没で、全国各地で暴れ回ってた近代妖怪。\nオカルン達に倒された後消えたと思われていたが、実はオカルンの中に隠れていた。今は力をオカルンの中に残し、意識のみが招き猫の中に入って動き回っている。現在はモモの家で暮らしている。
e,202509010,chara_gom_00001_ja,chara_gom_00001,ja,囚われの王女 姫様,王女にして、国王軍第三騎士団の“騎士団長”。\n数々の戦場を生き抜き、多くの武勲をあげてきたが、現在は魔王軍に囚われ、拷問を受ける日々を送っている。品行方正で誇り高く見えるが、実際は日々の“拷問”に尽く屈してしまっている。
e,202509010,chara_chi_00002_ja,chara_chi_00002,ja,悪魔が恐れる悪魔 チェンソーマン,相棒のポチタの命と引き換えに『チェンソーの悪魔』として蘇ったデンジの姿。頭や腕など体から複数のチェンソーの刃が飛び出している。\n 胸から出ているスターターロープを引っ張ることで変身し、\n チェンソーマンになると深い傷を負っていても復活・蘇生することができる。
e,202509010,chara_kai_00002_ja,chara_kai_00002,ja,隠された英雄の姿 怪獣８号,謎の生物に寄生され、怪獣化した日比野 カフカの姿。\n人々を守るために拳をふるい、怪獣を討伐する。\n防衛隊発足以来初の未討伐怪獣として日本中から追われていたが、怪獣１０号による立川基地襲撃の際、仲間の危機を救うために人前で変身。その正体を明かすこととなった。
e,202511020,chara_yuw_00001_ja,chara_yuw_00001,ja,リリエルに捧ぐ愛 天乃 リリサ,高校1年生。恋愛に鈍感でちょっとドジなオタク。\n「好きなことを堂々とするのがカッコいい」と思っている。観る人にキャラが現実にいると思わせるようなコスプレをすることに情熱を注いでいる。大好きなリリエルのコスプレROMを作るために、漫画研究部に入部した。
e,202511020,chara_yuw_00101_ja,chara_yuw_00101,ja,コスプレに託す乙女心 橘 美花莉,高校1年生。天乃 リリサと同じクラスの人気モデル。非常に一途な性格で、幼馴染である奥村 正宗に密かに10年間の片思いをしている。3次元女子の気持ちに鈍感なせいで気付かないでいる奥村 正宗の気を引くために、天乃 リリサと共にコスプレをすることに。
e,202511020,chara_yuw_00301_ja,chara_yuw_00301,ja,勇気を纏うコスプレ 乃愛,高校1年生。カメラおじさんのブログに5人の新星レイヤーとして選出されたうちの1人。友達が欲しくてコスプレを始めるが、極度の人見知りで苦戦していた。天乃 リリサとの出会いから自身のトラウマと向き合い、一緒にコスプレをする友人となった。
e,202511020,chara_yuw_00401_ja,chara_yuw_00401,ja,伝えたいウチの想い 喜咲 アリア,高校生のギャル。アウトドア派で誰にでもフレンドリー。距離を詰めるのが非常に早い。コスプレを始めた理由は、父親に今でも「ヴァル戦」が好きだと伝えたいから。コスプレ初心者だったが、天乃 リリサに指導されるうちにコスプレにハマり出す。
e,202511020,chara_yuw_00601_ja,chara_yuw_00601,ja,奥村 正宗,高校2年生。漫画研究部の唯一の部員にして部長。\n母親が突然いなくなったり、姉に疎まれたりした過去から3次元の女性に苦手意識を持つようになり、自他の恋愛感情に鈍感。「2次元は俺の嫁」と豪語するほどのリリエル好きでオタク。
