ENABLE,id,release_key,login_bonus_schedule_id,login_day_count,reward_group_id,sort_order
e,you_login_bonus_001,202601010,you_login_bonus_schedule_001,1,you_login_reward_group_001,1
e,you_login_bonus_002,202601010,you_login_bonus_schedule_001,2,you_login_reward_group_002,2
e,you_login_bonus_003,202601010,you_login_bonus_schedule_001,3,you_login_reward_group_003,3
e,you_login_bonus_004,202601010,you_login_bonus_schedule_001,4,you_login_reward_group_004,4
e,you_login_bonus_005,202601010,you_login_bonus_schedule_001,5,you_login_reward_group_005,5
e,you_login_bonus_006,202601010,you_login_bonus_schedule_001,6,you_login_reward_group_006,6
e,you_login_bonus_007,202601010,you_login_bonus_schedule_001,7,you_login_reward_group_007,7
e,you_login_bonus_008,202601010,you_login_bonus_schedule_001,8,you_login_reward_group_008,8
e,you_login_bonus_009,202601010,you_login_bonus_schedule_001,9,you_login_reward_group_009,9
e,you_login_bonus_010,202601010,you_login_bonus_schedule_001,10,you_login_reward_group_010,10
e,you_login_bonus_011,202601010,you_login_bonus_schedule_001,11,you_login_reward_group_011,11
e,you_login_bonus_012,202601010,you_login_bonus_schedule_001,12,you_login_reward_group_012,12
e,you_login_bonus_013,202601010,you_login_bonus_schedule_001,13,you_login_reward_group_013,13
e,you_login_bonus_014,202601010,you_login_bonus_schedule_001,14,you_login_reward_group_014,14
e,you_login_bonus_015,202601010,you_login_bonus_schedule_001,15,you_login_reward_group_015,15
