ENABLE,id,mst_advent_battle_reward_group_id,resource_type,resource_id,resource_amount,release_key
e,quest_raid_you_reward_00001_01,quest_raid_you_reward_group_00001_01,FreeDiamond,prism_glo_00001,20,202601010
e,quest_raid_you_reward_00001_02,quest_raid_you_reward_group_00001_02,Coin,,1500,202601010
e,quest_raid_you_reward_00001_03,quest_raid_you_reward_group_00001_03,FreeDiamond,prism_glo_00001,30,202601010
e,quest_raid_you_reward_00001_04,quest_raid_you_reward_group_00001_04,Coin,,3000,202601010
e,quest_raid_you_reward_00001_05,quest_raid_you_reward_group_00001_05,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_you_reward_00001_06,quest_raid_you_reward_group_00001_06,Coin,,4500,202601010
e,quest_raid_you_reward_00001_07,quest_raid_you_reward_group_00001_07,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_you_reward_00001_08,quest_raid_you_reward_group_00001_08,Coin,,6000,202601010
e,quest_raid_you_reward_00001_09,quest_raid_you_reward_group_00001_09,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_you_reward_00001_10,quest_raid_you_reward_group_00001_10,Item,memory_fragment_glo_00003,1,202601010
e,quest_raid_you_reward_00001_11,quest_raid_you_reward_group_00001_11,GachaTicket,gacha_ticket_special_glo_00001,1,202601010
e,quest_raid_you_reward_00002_01,quest_raid_you_reward_group_00002_01,FreeDiamond,prism_glo_00001,10,202601010
e,quest_raid_you_reward_00002_02,quest_raid_you_reward_group_00002_02,Coin,,1000,202601010
e,quest_raid_you_reward_00002_03,quest_raid_you_reward_group_00002_03,Item,memory_fragment_glo_00001,1,202601010
e,quest_raid_you_reward_00002_04,quest_raid_you_reward_group_00002_04,FreeDiamond,prism_glo_00001,10,202601010
e,quest_raid_you_reward_00002_05,quest_raid_you_reward_group_00002_05,Coin,,1000,202601010
e,quest_raid_you_reward_00002_06,quest_raid_you_reward_group_00002_06,Item,memory_fragment_glo_00001,1,202601010
e,quest_raid_you_reward_00002_07,quest_raid_you_reward_group_00002_07,FreeDiamond,prism_glo_00001,10,202601010
e,quest_raid_you_reward_00002_08,quest_raid_you_reward_group_00002_08,Coin,,1000,202601010
e,quest_raid_you_reward_00002_09,quest_raid_you_reward_group_00002_09,Item,memory_fragment_glo_00001,1,202601010
e,quest_raid_you_reward_00002_10,quest_raid_you_reward_group_00002_10,FreeDiamond,prism_glo_00001,10,202601010
e,quest_raid_you_reward_00002_11,quest_raid_you_reward_group_00002_11,Coin,,1000,202601010
e,quest_raid_you_reward_00002_12,quest_raid_you_reward_group_00002_12,Item,memory_fragment_glo_00001,1,202601010
e,quest_raid_you_reward_00002_13,quest_raid_you_reward_group_00002_13,FreeDiamond,prism_glo_00001,20,202601010
e,quest_raid_you_reward_00002_14,quest_raid_you_reward_group_00002_14,Coin,,2000,202601010
e,quest_raid_you_reward_00002_15,quest_raid_you_reward_group_00002_15,Item,memory_fragment_glo_00001,1,202601010
e,quest_raid_you_reward_00002_16,quest_raid_you_reward_group_00002_16,FreeDiamond,prism_glo_00001,20,202601010
e,quest_raid_you_reward_00002_17,quest_raid_you_reward_group_00002_17,Coin,,2000,202601010
e,quest_raid_you_reward_00002_18,quest_raid_you_reward_group_00002_18,Item,memory_fragment_glo_00001,2,202601010
e,quest_raid_you_reward_00002_19,quest_raid_you_reward_group_00002_19,FreeDiamond,prism_glo_00001,20,202601010
e,quest_raid_you_reward_00002_20,quest_raid_you_reward_group_00002_20,Coin,,2000,202601010
e,quest_raid_you_reward_00002_21,quest_raid_you_reward_group_00002_21,Item,memory_fragment_glo_00001,2,202601010
e,quest_raid_you_reward_00002_22,quest_raid_you_reward_group_00002_22,FreeDiamond,prism_glo_00001,20,202601010
e,quest_raid_you_reward_00002_23,quest_raid_you_reward_group_00002_23,Coin,,2000,202601010
e,quest_raid_you_reward_00002_24,quest_raid_you_reward_group_00002_24,Item,memory_fragment_glo_00001,2,202601010
e,quest_raid_you_reward_00002_25,quest_raid_you_reward_group_00002_25,FreeDiamond,prism_glo_00001,30,202601010
e,quest_raid_you_reward_00002_26,quest_raid_you_reward_group_00002_26,Coin,,3000,202601010
e,quest_raid_you_reward_00002_27,quest_raid_you_reward_group_00002_27,Item,memory_fragment_glo_00001,2,202601010
e,quest_raid_you_reward_00002_28,quest_raid_you_reward_group_00002_28,Item,memory_fragment_glo_00002,1,202601010
e,quest_raid_you_reward_00002_29,quest_raid_you_reward_group_00002_29,FreeDiamond,prism_glo_00001,30,202601010
e,quest_raid_you_reward_00002_30,quest_raid_you_reward_group_00002_30,Coin,,3000,202601010
e,quest_raid_you_reward_00002_31,quest_raid_you_reward_group_00002_31,Item,memory_fragment_glo_00001,2,202601010
e,quest_raid_you_reward_00002_32,quest_raid_you_reward_group_00002_32,Item,memory_fragment_glo_00002,2,202601010
e,quest_raid_you_reward_00002_33,quest_raid_you_reward_group_00002_33,FreeDiamond,prism_glo_00001,30,202601010
e,quest_raid_you_reward_00002_34,quest_raid_you_reward_group_00002_34,Coin,,3000,202601010
e,quest_raid_you_reward_00002_35,quest_raid_you_reward_group_00002_35,Item,memory_fragment_glo_00001,2,202601010
