ENABLE,id,mst_quest_id,mst_in_game_id,stage_number,recommended_level,cost_stamina,exp,coin,prev_mst_stage_id,mst_stage_tips_group_id,auto_lap_type,max_auto_lap_count,sort_order,asset_key,mst_stage_limit_status_id,release_key,mst_artwork_fragment_drop_group_id,start_at,end_at
e,event_yuw1_1day_00001,quest_event_yuw1_1day,event_yuw1_1day_00001,1,1,1,100,1000,,1,__NULL__,1,1,general_diamond,,202511020,__NULL__,"2025-11-25 15:00:00","2025-12-08 03:59:59"
e,event_yuw1_charaget01_00001,quest_event_yuw1_charaget01,event_yuw1_charaget01_00001,1,10,5,50,100,,1,AfterClear,5,1,event_yuw1_00001,,202511020,event_yuw_a_0001,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget01_00002,quest_event_yuw1_charaget01,event_yuw1_charaget01_00002,2,10,5,50,100,event_yuw1_charaget01_00001,1,AfterClear,5,2,general_diamond,,202511020,event_yuw_a_0002,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget01_00003,quest_event_yuw1_charaget01,event_yuw1_charaget01_00003,3,15,5,50,100,event_yuw1_charaget01_00002,1,AfterClear,5,3,general_diamond,,202511020,event_yuw_a_0003,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget01_00004,quest_event_yuw1_charaget01,event_yuw1_charaget01_00004,4,15,7,70,150,event_yuw1_charaget01_00003,1,AfterClear,5,4,general_diamond,,202511020,event_yuw_a_0004,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget01_00005,quest_event_yuw1_charaget01,event_yuw1_charaget01_00005,5,20,7,70,150,event_yuw1_charaget01_00004,1,AfterClear,5,5,event_yuw1_00003,,202511020,event_yuw_a_0005,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget01_00006,quest_event_yuw1_charaget01,event_yuw1_charaget01_00006,6,20,7,70,150,event_yuw1_charaget01_00005,1,AfterClear,5,6,general_fragment_00001,,202511020,event_yuw_a_0006,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget01_00007,quest_event_yuw1_charaget01,event_yuw1_charaget01_00007,7,20,10,100,200,event_yuw1_charaget01_00006,1,AfterClear,5,7,general_fragment_00002,,202511020,event_yuw_a_0007,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget01_00008,quest_event_yuw1_charaget01,event_yuw1_charaget01_00008,8,30,10,100,300,event_yuw1_charaget01_00007,1,AfterClear,5,8,general_fragment_00003,,202511020,event_yuw_a_0008,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget02_00001,quest_event_yuw1_charaget02,event_yuw1_charaget02_00001,1,10,5,50,100,,1,AfterClear,5,1,event_yuw1_00004,,202511020,event_yuw_b_0001,"2025-12-01 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget02_00002,quest_event_yuw1_charaget02,event_yuw1_charaget02_00002,2,10,5,50,100,event_yuw1_charaget02_00001,1,AfterClear,5,2,general_diamond,,202511020,event_yuw_b_0002,"2025-12-01 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget02_00003,quest_event_yuw1_charaget02,event_yuw1_charaget02_00003,3,15,5,50,100,event_yuw1_charaget02_00002,1,AfterClear,5,3,general_diamond,,202511020,event_yuw_b_0003,"2025-12-01 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget02_00004,quest_event_yuw1_charaget02,event_yuw1_charaget02_00004,4,15,7,70,150,event_yuw1_charaget02_00003,1,AfterClear,5,4,general_diamond,,202511020,event_yuw_b_0004,"2025-12-01 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget02_00005,quest_event_yuw1_charaget02,event_yuw1_charaget02_00005,5,20,7,70,150,event_yuw1_charaget02_00004,1,AfterClear,5,5,event_yuw1_00006,,202511020,event_yuw_b_0005,"2025-12-01 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget02_00006,quest_event_yuw1_charaget02,event_yuw1_charaget02_00006,6,20,7,70,150,event_yuw1_charaget02_00005,1,AfterClear,5,6,general_fragment_00001,,202511020,event_yuw_b_0006,"2025-12-01 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget02_00007,quest_event_yuw1_charaget02,event_yuw1_charaget02_00007,7,20,10,100,200,event_yuw1_charaget02_00006,1,AfterClear,5,7,general_fragment_00002,,202511020,event_yuw_b_0007,"2025-12-01 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_charaget02_00008,quest_event_yuw1_charaget02,event_yuw1_charaget02_00008,8,30,10,100,300,event_yuw1_charaget02_00007,1,AfterClear,5,8,general_fragment_00003,,202511020,event_yuw_b_0008,"2025-12-01 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_challenge01_00001,quest_event_yuw1_challenge01,event_yuw1_challenge01_00001,1,30,10,100,150,event_yuw1_charaget01_00008,1,__NULL__,1,1,event_yuw1_00007,,202511020,__NULL__,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_challenge01_00002,quest_event_yuw1_challenge01,event_yuw1_challenge01_00002,2,30,15,150,225,event_yuw1_challenge01_00001,1,__NULL__,1,2,event_yuw1_00008,,202511020,__NULL__,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_challenge01_00003,quest_event_yuw1_challenge01,event_yuw1_challenge01_00003,3,40,15,150,225,event_yuw1_challenge01_00002,1,__NULL__,1,3,event_yuw1_00009,,202511020,__NULL__,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_challenge01_00004,quest_event_yuw1_challenge01,event_yuw1_challenge01_00004,4,50,20,200,300,event_yuw1_challenge01_00003,1,__NULL__,1,4,event_yuw1_00010,,202511020,__NULL__,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_savage_00001,quest_event_yuw1_savage,event_yuw1_savage_00001,1,70,25,700,375,event_yuw1_charaget01_00008,1,__NULL__,1,1,event_yuw1_00012,,202511020,__NULL__,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_savage_00002,quest_event_yuw1_savage,event_yuw1_savage_00002,2,70,25,700,375,event_yuw1_savage_00001,1,__NULL__,1,2,event_yuw1_00011,,202511020,__NULL__,"2025-11-25 15:00:00","2025-12-31 23:59:59"
e,event_yuw1_savage_00003,quest_event_yuw1_savage,event_yuw1_savage_00003,3,80,50,1000,400,event_yuw1_savage_00002,1,__NULL__,1,3,general_diamond,,202511020,__NULL__,"2025-11-25 15:00:00","2025-12-31 23:59:59"
