チェック,シート名,マッピング,マスターURL,最終チェック日時,結果
FALSE,ステージ1,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/08,✅ OK
FALSE,ステージ2,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/08,✅ OK
TRUE,ステージ3,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2025/12/08,✅ OK
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
