シート名,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
ステージ3,,event_osh1_charaget02_00003,,1,,InitialSummon,,SummonEnemy,c_osh_00601_osh1_boot_tan_Normal_Colorless,,1,,None,0.8,Damage,1,None,,None,,,FALSE,,Default,Normal,11,2.3,1,300,0,80,None,,202512020
ステージ3,,event_osh1_charaget02_00003,,2,,ElapsedTime,400,SummonEnemy,e_glo_00001_osh1_boot_Normal_Colorless,,3,10,Fall0,0.65,None,,None,,None,,,FALSE,,Default,Normal,1.5,1.6,1,,0,100,None,,202512020
ステージ3,,event_osh1_charaget02_00003,,3,,ElapsedTime,1500,SummonEnemy,e_glo_00001_osh1_boot_Normal_Colorless,,50,700,None,,None,,None,,None,,,FALSE,,Default,Normal,1.5,1.6,1,,0,100,None,,202512020
ステージ3,,event_osh1_charaget02_00003,,groupchange_1,,FriendUnitDead,1,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,1,1,1,,0,,None,,202512020
ステージ3,,event_osh1_charaget02_00003,w1,101,,ElapsedTimeSinceSequenceGroupActivated,350,SummonEnemy,c_osh_00601_osh1_boot_huku_Boss_Colorless,,1,,None,,None,,None,,None,,,FALSE,,Boss,Normal,14,2.5,1,,0,60,None,,202512020
ステージ3,,event_osh1_charaget02_00003,w1,102,,ElapsedTimeSinceSequenceGroupActivated,1,SummonEnemy,e_glo_00001_osh1_boot_Normal_Colorless,,1,,None,,None,,None,,None,,,FALSE,,Default,Normal,1.5,1.6,1,,0,100,None,,202512020
ステージ3,,event_osh1_charaget02_00003,w1,103,,ElapsedTimeSinceSequenceGroupActivated,25,SummonEnemy,e_glo_00001_osh1_boot_Normal_Colorless,,1,,None,,None,,None,,None,,,FALSE,,Default,Normal,1.5,1.6,1,,0,100,None,,202512020
ステージ3,,event_osh1_charaget02_00003,w1,104,,ElapsedTimeSinceSequenceGroupActivated,50,SummonEnemy,e_glo_00001_osh1_boot_Normal_Colorless,,1,,None,,None,,None,,None,,,FALSE,,Default,Normal,1.5,1.6,1,,0,100,None,,202512020
ステージ3,,event_osh1_charaget02_00003,w1,105,,ElapsedTimeSinceSequenceGroupActivated,801,SummonEnemy,e_glo_00001_osh1_boot_Normal_Colorless,,20,600,None,,None,,None,,None,,,FALSE,,Default,Normal,1.5,1.6,1,,0,100,None,,202512020
ステージ3,,event_osh1_charaget02_00003,w1,106,,ElapsedTimeSinceSequenceGroupActivated,826,SummonEnemy,e_glo_00001_osh1_boot_Normal_Colorless,,20,600,None,,None,,None,,None,,,FALSE,,Default,Normal,1.5,1.6,1,,0,100,None,,202512020
ステージ3,,event_osh1_charaget02_00003,w1,107,,ElapsedTimeSinceSequenceGroupActivated,851,SummonEnemy,e_glo_00001_osh1_boot_Normal_Colorless,,20,600,None,,None,,None,,None,,,FALSE,,Default,Normal,1.5,1.6,1,,0,100,None,,202512020
