memo
TABLE,MstPackContent,MstPackContent,MstPackContent,MstPackContent,MstPackContent,MstPackContent,MstPackContent,MstPackContent
ENABLE,id,mst_pack_id,resource_type,resource_id,resource_amount,is_bonus,display_order,release_key
e,pack_kim_event_content_001,pack_kim_event,Item,memory_fragment_low,50,0,1,1
e,pack_kim_event_content_002,pack_kim_event,Item,memory_fragment_mid,30,0,2,1
e,pack_kim_event_content_003,pack_kim_event,Item,memory_fragment_high,3,0,3,1
e,pack_kim_event_content_004,pack_kim_event,Item,ticket_glo_00003,10,0,4,1
e,pack_kim_daily_content_001,pack_kim_daily,Item,color_memory_grey,10,0,1,1
e,pack_kim_daily_content_002,pack_kim_daily,Item,color_memory_red,10,0,2,1
e,pack_kim_daily_content_003,pack_kim_daily,Item,color_memory_green,10,0,3,1
e,pack_kim_daily_content_004,pack_kim_daily,Item,color_memory_blue,10,0,4,1
e,pack_kim_daily_content_005,pack_kim_daily,Item,color_memory_yellow,10,0,5,1
e,pack_kim_daily_content_006,pack_kim_daily,Coin,__NULL__,1000,0,6,1
