memo
TABLE,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEventI18n
ENABLE,id,release_key,mst_event_id,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,event_category,destination_scene,description.ja
e,mission_kim_boss_001,1,event_kim_00001,BossDefeatCount,,1,__NULL__,,0,,mission_kim_reward_001,1,__NULL__,Event,強敵を1体撃破しよう
e,mission_kim_boss_003,1,event_kim_00001,BossDefeatCount,,3,__NULL__,,0,,mission_kim_reward_002,2,__NULL__,Event,強敵を3体撃破しよう
e,mission_kim_boss_005,1,event_kim_00001,BossDefeatCount,,5,__NULL__,,0,,mission_kim_reward_003,3,__NULL__,Event,強敵を5体撃破しよう
e,mission_kim_boss_010,1,event_kim_00001,BossDefeatCount,,10,__NULL__,,0,,mission_kim_reward_004,4,__NULL__,Event,強敵を10体撃破しよう
e,mission_kim_boss_015,1,event_kim_00001,BossDefeatCount,,15,__NULL__,,0,,mission_kim_reward_005,5,__NULL__,Event,強敵を15体撃破しよう
e,mission_kim_boss_020,1,event_kim_00001,BossDefeatCount,,20,__NULL__,,0,,mission_kim_reward_006,6,__NULL__,Event,強敵を20体撃破しよう
e,mission_kim_boss_025,1,event_kim_00001,BossDefeatCount,,25,__NULL__,,0,,mission_kim_reward_007,7,__NULL__,Event,強敵を25体撃破しよう
e,mission_kim_boss_030,1,event_kim_00001,BossDefeatCount,,30,__NULL__,,0,,mission_kim_reward_008,8,__NULL__,Event,強敵を30体撃破しよう
e,mission_kim_boss_035,1,event_kim_00001,BossDefeatCount,,35,__NULL__,,0,,mission_kim_reward_009,9,__NULL__,Event,強敵を35体撃破しよう
e,mission_kim_boss_040,1,event_kim_00001,BossDefeatCount,,40,__NULL__,,0,,mission_kim_reward_010,10,__NULL__,Event,強敵を40体撃破しよう
e,mission_kim_boss_045,1,event_kim_00001,BossDefeatCount,,45,__NULL__,,0,,mission_kim_reward_011,11,__NULL__,Event,強敵を45体撃破しよう
e,mission_kim_boss_050,1,event_kim_00001,BossDefeatCount,,50,__NULL__,,0,,mission_kim_reward_012,12,__NULL__,Event,強敵を50体撃破しよう
e,mission_kim_boss_055,1,event_kim_00001,BossDefeatCount,,55,__NULL__,,0,,mission_kim_reward_013,13,__NULL__,Event,強敵を55体撃破しよう
e,mission_kim_boss_060,1,event_kim_00001,BossDefeatCount,,60,__NULL__,,0,,mission_kim_reward_014,14,__NULL__,Event,強敵を60体撃破しよう
e,mission_kim_boss_065,1,event_kim_00001,BossDefeatCount,,65,__NULL__,,0,,mission_kim_reward_015,15,__NULL__,Event,強敵を65体撃破しよう
e,mission_kim_boss_070,1,event_kim_00001,BossDefeatCount,,70,__NULL__,,0,,mission_kim_reward_016,16,__NULL__,Event,強敵を70体撃破しよう
e,mission_kim_boss_075,1,event_kim_00001,BossDefeatCount,,75,__NULL__,,0,,mission_kim_reward_017,17,__NULL__,Event,強敵を75体撃破しよう
e,mission_kim_boss_080,1,event_kim_00001,BossDefeatCount,,80,__NULL__,,0,,mission_kim_reward_018,18,__NULL__,Event,強敵を80体撃破しよう
e,mission_kim_boss_085,1,event_kim_00001,BossDefeatCount,,85,__NULL__,,0,,mission_kim_reward_019,19,__NULL__,Event,強敵を85体撃破しよう
e,mission_kim_boss_090,1,event_kim_00001,BossDefeatCount,,90,__NULL__,,0,,mission_kim_reward_020,20,__NULL__,Event,強敵を90体撃破しよう
e,mission_kim_boss_095,1,event_kim_00001,BossDefeatCount,,95,__NULL__,,0,,mission_kim_reward_021,21,__NULL__,Event,強敵を95体撃破しよう
e,mission_kim_boss_100,1,event_kim_00001,BossDefeatCount,,100,__NULL__,,0,,mission_kim_reward_022,22,__NULL__,Event,強敵を100体撃破しよう
e,mission_kim_collection_clear,1,event_kim_00001,SpecificQuestClearCount,quest_kim_collection_00001,1,__NULL__,,0,,mission_kim_reward_023,23,__NULL__,Event,収集クエスト「キスゾンビ♡パニック」をクリアしよう
e,mission_kim_story_clear,1,event_kim_00001,SpecificQuestClearCount,quest_kim_story_00001,1,__NULL__,,0,,mission_kim_reward_024,24,__NULL__,Event,ストーリークエスト「最高の恋愛パートナー」をクリアしよう
e,mission_kim_challenge_clear,1,event_kim_00001,SpecificQuestClearCount,quest_kim_challenge_00001,1,__NULL__,,0,,mission_kim_reward_025,25,__NULL__,Event,チャレンジクエスト「恋太郎ファミリー」をクリアしよう
e,mission_kim_extreme_clear,1,event_kim_00001,SpecificQuestClearCount,quest_kim_extreme_00001,1,__NULL__,,0,,mission_kim_reward_026,26,__NULL__,Event,高難易度「DEAD OR LOVE」をクリアしよう
e,mission_kim_enemy_010,1,event_kim_00001,EnemyDefeatCount,,10,__NULL__,,0,,mission_kim_reward_027,27,__NULL__,Event,敵を10体撃破しよう
e,mission_kim_enemy_020,1,event_kim_00001,EnemyDefeatCount,,20,__NULL__,,0,,mission_kim_reward_028,28,__NULL__,Event,敵を20体撃破しよう
e,mission_kim_enemy_030,1,event_kim_00001,EnemyDefeatCount,,30,__NULL__,,0,,mission_kim_reward_029,29,__NULL__,Event,敵を30体撃破しよう
e,mission_kim_enemy_040,1,event_kim_00001,EnemyDefeatCount,,40,__NULL__,,0,,mission_kim_reward_030,30,__NULL__,Event,敵を40体撃破しよう
e,mission_kim_enemy_050,1,event_kim_00001,EnemyDefeatCount,,50,__NULL__,,0,,mission_kim_reward_031,31,__NULL__,Event,敵を50体撃破しよう
e,mission_kim_enemy_060,1,event_kim_00001,EnemyDefeatCount,,60,__NULL__,,0,,mission_kim_reward_032,32,__NULL__,Event,敵を60体撃破しよう
e,mission_kim_enemy_070,1,event_kim_00001,EnemyDefeatCount,,70,__NULL__,,0,,mission_kim_reward_033,33,__NULL__,Event,敵を70体撃破しよう
e,mission_kim_enemy_080,1,event_kim_00001,EnemyDefeatCount,,80,__NULL__,,0,,mission_kim_reward_034,34,__NULL__,Event,敵を80体撃破しよう
e,mission_kim_enemy_090,1,event_kim_00001,EnemyDefeatCount,,90,__NULL__,,0,,mission_kim_reward_035,35,__NULL__,Event,敵を90体撃破しよう
e,mission_kim_enemy_100,1,event_kim_00001,EnemyDefeatCount,,100,__NULL__,,0,,mission_kim_reward_036,36,__NULL__,Event,敵を100体撃破しよう
e,mission_kim_enemy_150,1,event_kim_00001,EnemyDefeatCount,,150,__NULL__,,0,,mission_kim_reward_037,37,__NULL__,Event,敵を150体撃破しよう
e,mission_kim_enemy_200,1,event_kim_00001,EnemyDefeatCount,,200,__NULL__,,0,,mission_kim_reward_038,38,__NULL__,Event,敵を200体撃破しよう
e,mission_kim_enemy_300,1,event_kim_00001,EnemyDefeatCount,,300,__NULL__,,0,,mission_kim_reward_039,39,__NULL__,Event,敵を300体撃破しよう
