ENABLE,id,release_key,mst_mission_reward_group_id,reward_type,reward_id,reward_quantity,sort_order,note
e,mission_reward_jig_00001_01,202601010,jig_00001_event_reward_01,Item,memory_chara_jig_00601,200,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_02,202601010,jig_00001_event_reward_02,Item,memory_chara_jig_00601,300,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_03,202601010,jig_00001_event_reward_03,Item,memory_chara_jig_00601,350,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_04,202601010,jig_00001_event_reward_04,Item,ticket_jig_00001,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_05,202601010,jig_00001_event_reward_05,Item,piece_jig_00601,10,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_06,202601010,jig_00001_event_reward_06,Item,piece_jig_00601,20,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_07,202601010,jig_00001_event_reward_07,Item,piece_jig_00601,20,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_08,202601010,jig_00001_event_reward_08,Item,piece_jig_00601,20,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_09,202601010,jig_00001_event_reward_09,Item,piece_jig_00601,30,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_10,202601010,jig_00001_event_reward_10,Item,memoryfragment_glo_00003,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_11,202601010,jig_00001_event_reward_11,FreeDiamond,"",50,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_12,202601010,jig_00001_event_reward_12,Item,memory_chara_jig_00701,200,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_13,202601010,jig_00001_event_reward_13,Item,memory_chara_jig_00701,300,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_14,202601010,jig_00001_event_reward_14,Item,memory_chara_jig_00701,350,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_15,202601010,jig_00001_event_reward_15,Item,ticket_jig_00001,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_16,202601010,jig_00001_event_reward_16,Item,piece_jig_00701,10,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_17,202601010,jig_00001_event_reward_17,Item,piece_jig_00701,20,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_18,202601010,jig_00001_event_reward_18,Item,piece_jig_00701,20,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_19,202601010,jig_00001_event_reward_19,Item,piece_jig_00701,20,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_20,202601010,jig_00001_event_reward_20,Item,piece_jig_00701,30,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_21,202601010,jig_00001_event_reward_21,Item,memoryfragment_glo_00003,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_22,202601010,jig_00001_event_reward_22,FreeDiamond,"",50,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_23,202601010,jig_00001_event_reward_23,Coin,"",12500,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_24,202601010,jig_00001_event_reward_24,Coin,"",12500,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_25,202601010,jig_00001_event_reward_25,Item,ticket_glo_00002,3,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_26,202601010,jig_00001_event_reward_26,Item,ticket_jig_00001,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_27,202601010,jig_00001_event_reward_27,Item,memoryfragment_glo_00001,5,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_28,202601010,jig_00001_event_reward_28,Item,memoryfragment_glo_00001,5,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_29,202601010,jig_00001_event_reward_29,Item,memoryfragment_glo_00001,5,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_30,202601010,jig_00001_event_reward_30,Item,memoryfragment_glo_00001,5,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_31,202601010,jig_00001_event_reward_31,Item,memoryfragment_glo_00001,10,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_32,202601010,jig_00001_event_reward_32,Item,memoryfragment_glo_00002,5,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_33,202601010,jig_00001_event_reward_33,Item,memoryfragment_glo_00002,5,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_34,202601010,jig_00001_event_reward_34,Item,memoryfragment_glo_00002,5,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_35,202601010,jig_00001_event_reward_35,Item,memoryfragment_glo_00002,5,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_36,202601010,jig_00001_event_reward_36,Item,memoryfragment_glo_00003,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_37,202601010,jig_00001_event_reward_37,Item,memoryfragment_glo_00003,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_38,202601010,jig_00001_event_reward_38,Item,memoryfragment_glo_00003,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_39,202601010,jig_00001_event_reward_39,Item,ticket_jig_00001,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_40,202601010,jig_00001_event_reward_40,Item,ticket_jig_00001,1,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_41,202601010,jig_00001_event_reward_41,Item,piece_jig_00401,5,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_42,202601010,jig_00001_event_reward_42,Item,piece_jig_00401,15,1,地獄楽いいジャン祭
e,mission_reward_jig_00001_43,202601010,jig_00001_event_reward_43,Item,piece_jig_00401,20,1,地獄楽いいジャン祭
