チェック,シート名,マッピング,マスターURL,最終チェック日時,結果
FALSE,1話,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2026/01/14,✅ OK
FALSE,2話,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2026/01/14,✅ OK
FALSE,3話,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2026/01/14,✅ OK
FALSE,4話,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2026/01/14,✅ OK
FALSE,5話,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2026/01/14,✅ OK
FALSE,6話,マッピング設定シート_new,https://docs.google.com/spreadsheets/d/1TS8YjnOCA1QWgrPJa5HzzKVS7WefPnRxDbr5XFhNQ5o/edit?gid=1350936069#gid=1350936069,2026/01/14,✅ OK
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
