,,,,,,,,,,,,,,,,
,mst_in_game_id,,,language,,result_tips,,,,,,,,,文字数,
,event_you1_charaget01_00001,,,ja,,キャラを強化してみよう!,,,,,,,,,,12
,event_you1_charaget01_00002,,,ja,,キャラを強化してみよう!,,,,,,,,,,12
,event_you1_charaget01_00003,,,ja,,緑属性のキャラを編成してみよう!,,,,,,,,,,16
,event_you1_charaget01_00004,,,ja,,緑属性のキャラを編成してみよう!,,,,,,,,,,16
,event_you1_charaget01_00005,,,ja,,攻撃DOWNコマ無効化のキャラを編成してみよう!,,,,,,,,,,24
,event_you1_charaget012_00006,,,ja,,攻撃DOWNコマ無効化のキャラを編成してみよう!,,,,,,,,,,24
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
,,,,ja,,,,,,,,,,,,0
