ファイル名,フォルダパス,ファイルURL,更新日時
v.1.6.0_ボスブロック,/080_運営/バーティカルダンジョン,https://docs.google.com/spreadsheets/d/1osIe7rHVw7bOcqMtYzXgare_uZVJv663wEnlct8kx70/edit?usp=drivesdk,2026-02-09 16:46:59
v.1.6.0_ノーマルブロック,/080_運営/バーティカルダンジョン,https://docs.google.com/spreadsheets/d/1EzVww8D5z8ff-pDmrx2kWasQzDYB8oJda1ArbgQ_nrs/edit?usp=drivesdk,2026-02-09 16:46:37
アウトゲーム関連,/080_運営/バーティカルダンジョン,https://docs.google.com/spreadsheets/d/1gW5l7YK7YmP6Q5mHKB3tWIsGijjYE63hVcBF3r7nphY/edit?usp=drivesdk,2026-02-09 16:44:16
v.1.6.0_カード効果,/080_運営/バーティカルダンジョン,https://docs.google.com/spreadsheets/d/1alROtqJmG-PjNSMtZl6pmJCcnU_D8hpjDHir0JB18Zg/edit?usp=drivesdk,2026-02-09 16:43:06
GLOW_告知スケジュール,/080_運営/お知らせ,https://docs.google.com/spreadsheets/d/1aE_cwFAQ5B_QjpzBEtFVvrcKNYKH9StZALid2wb4-hI/edit?usp=drivesdk,2026-02-10 18:16:37
プッシュ文言シート,/080_運営/お知らせ,https://docs.google.com/spreadsheets/d/1YS9FI4tO_RlpViGLUXpoDYmp3a18aVvwJnkpD5SxdHI/edit?usp=drivesdk,2025-04-30 19:14:44
Twitterシートの原本,/080_運営/お知らせ,https://docs.google.com/spreadsheets/d/1Iib28fp28joq_n5jJL_fr44GtR8DLa-M4mx9U8YPA6Q/edit?usp=drivesdk,2023-05-02 13:11:42
新レギュ雛形(表作成用),/080_運営/お知らせ,https://docs.google.com/document/d/18HuwkL1TT68YQFVhmQ7R_PbQJg_l1zXSPNf6bcw_98U/edit?usp=drivesdk,2022-11-17 19:55:29
新レギュについて,/080_運営/お知らせ,https://docs.google.com/document/d/1g05p_9zgWbvN_C9jXmJc9hF9vx4FA9LZ-zJwybgcE5A/edit?usp=drivesdk,2022-11-17 19:52:45
0211_【予告】次回のいいジャン祭は？,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1YH5Iues_H2tSznLMedx8x7TWiITjGgQ7kGldBbLVxoc/edit?usp=drivesdk,2026-02-09 19:10:19
0212_【重要】バンダイナムコID 二段階認証設定のお願い,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1dJICcnrwDfTG-D--Sk6iOGEXjbfLY1FqQZ3oPss4GwY/edit?usp=drivesdk,2026-02-06 14:50:27
0206_「バレンタインピックアップガシャ」開催！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1QJpt9ZFWoucfYQ9r-K2ksb6vusx-7IGJ2Xf1krXJQSU/edit?usp=drivesdk,2026-02-06 13:59:23
0208_即戦力!キャラ強化パック,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1-W-ZQSGRKITDIeTH7tHbMAcr5wbl3iBBovnRJrSBfKs/edit?usp=drivesdk,2026-02-06 10:45:35
0201_Ver.1.5.0アップデート,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1nogllknIwhn9K3VEfoFE9eorgpeiA8mNmEl_0sD-2UU/edit?usp=drivesdk,2026-01-29 17:18:16
0201_SNSキャンペーン開催！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1aJmIBML-3tjIH4wTAETQIfV8KM-cJELCrmB4qr3GWbw/edit?usp=drivesdk,2026-01-29 17:15:14
0201_お得なパックが登場！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1CS6hEgZ6Hdif-lLEXtNQ-srD8jG_sKauT2-E7OE0aEs/edit?usp=drivesdk,2026-01-29 17:10:58
0201_「幼稚園WARS いいジャン祭」開催！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1SV0O3FPkUH65wvi6wqxzZNuAbnwhVwuNad5WGyh85WQ/edit?usp=drivesdk,2026-01-29 17:10:12
0201_02/02よりランクマッチ特別ルール開催！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1-ZmhIxSrnkdnry5EwHS1jg-giDa7lq0staW_h4f3254/edit?usp=drivesdk,2026-01-29 16:28:14
0208_02/09よりランクマッチ特別ルール開催！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1J6qONzTDPx2UNns1fyvRPY9I5zDhlK47_K7iz3ERMgc/edit?usp=drivesdk,2026-01-28 17:13:24
0201_「幼稚園WARS いいジャン祭ピックアップガシャ」開催！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1pbx5oZlrPx-1hwxYwST_Z6AUt1Sw2pSdnbJzvibWZKs/edit?usp=drivesdk,2026-01-28 17:10:23
0209_バレンタインキャラパック登場！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/11Xt5ulFSrVOAaEmk4ZwEc-eMobXRRJyh3CoJ5Oq1q6k/edit?usp=drivesdk,2026-01-28 16:49:21
0201_お得なプリズムが登場！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1YHHyp4h8m9_NLnVeDxildu2YRZDV7hoojmTj1IJdQto/edit?usp=drivesdk,2026-01-28 16:31:14
0201_「いいジャン祭 開催記念パック」開催！,/080_運営/お知らせ/202602,https://docs.google.com/document/d/1fBCJhcBdr3LxhE4OZHGYwqC-NikDWvl5UnpcEHrbPfc/edit?usp=drivesdk,2026-01-28 16:29:33
0126_お得なプリズムが登場！,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1pdWwf5F8fwInEJWrKGHMfbBaxlVR7R-0gGFmmMVu6rQ/edit?usp=drivesdk,2026-01-26 14:00:45
0115_「地獄楽 いいジャン祭」開催！,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1DW8FTVz81RHw9wQqH2aFbzk6p_A0vE_XsyypYkRqKmY/edit?usp=drivesdk,2026-01-23 16:23:10
0115_「いいジャン祭 開催記念パック」開催！,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1HF14RdprEf4NhWaPDcVr9ykxVQWuibswLCJao5w0P4k/edit?usp=drivesdk,2026-01-23 15:47:37
0124_【予告】次回のいいジャン祭は？,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1d81ukOWR4PuOjRqwj5_EBqOQZeWiaK0wZFQLxnCvy8I/edit?usp=drivesdk,2026-01-21 18:02:56
0124_01/26よりランクマッチ特別ルール開催！,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1lqNCJDywbZW1ZO0UDNFZLSa3qZvOQ6xL5QRBamz_23Y/edit?usp=drivesdk,2026-01-21 18:01:13
0119_Ver.1.4.2アップデート,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1jmJegrMd6Z7tnV-7A_TyzwEWVyjjLW4vH56QqcLCIJg/edit?usp=drivesdk,2026-01-21 15:41:38
0115_「地獄楽 いいジャン祭ピックアップガシャ B」開催！,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1iMJyRaO_CcZ_HPTgAt1oU3w1mCc4BmemJDrXv-uf23A/edit?usp=drivesdk,2026-01-09 15:02:19
0115_「地獄楽 いいジャン祭ピックアップガシャ A」開催！,/080_運営/お知らせ/202601,https://docs.google.com/document/d/19_slV9hNvYEDe1qsVgx5G27ksVpDl692mMfN3tfV8VI/edit?usp=drivesdk,2026-01-09 15:02:09
0116_Ver.1.4.1アップデート,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1N55pzaUFiGR20RXMfcwAiEbY_L_F0GtIDYYFxccIbnM/edit?usp=drivesdk,2026-01-09 11:28:56
0117_01/19よりランクマッチ特別ルール開催！,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1QSspXLDvDvzwUXvFAJ0z7YVqCq8t0bWs5WYcHmATlj4/edit?usp=drivesdk,2026-01-07 11:17:42
0101_あけましておめでとうございます。,/080_運営/お知らせ/202601,https://docs.google.com/document/d/1ws6vqkzOnKJQd3RRuZn_8D0e0Gm5uLeoPMZRXGQt02g/edit?usp=drivesdk,2025-12-18 01:50:47
