ファイル名,フォルダパス,ファイルURL,更新日時
GLOW_ID 管理,/010_企画・仕様,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?usp=drivesdk,2026-02-10 18:24:34
GLOW_最大文字数一覧,/010_企画・仕様,https://docs.google.com/spreadsheets/d/15h3c8z97MysmAXkIJZhQCz79fTxHPf_8SoceP9uL9Z0/edit?usp=drivesdk,2025-10-01 14:54:19
GLOW_SE再生箇所リスト,/010_企画・仕様,https://docs.google.com/spreadsheets/d/1gx8y4FcYSfpKUjulVDtAIKI_UqAzuBYLCKrezDFQDMM/edit?usp=drivesdk,2025-07-01 20:38:49
GLOW_スキルID一覧,/010_企画・仕様,https://docs.google.com/spreadsheets/d/14oyD7Q15LICjSXsbB5rdRZPi1NZG9CevNxTT6W7VvDo/edit?usp=drivesdk,2024-10-21 12:05:18
バトルパス,/010_企画・仕様/GLOW_仕様要件_運営フェーズ,https://docs.google.com/presentation/d/1TtKg9J-xoyN7P0BqcnHdEhvbnHMOx-3IXlhedCR1mfA/edit?usp=drivesdk,2026-01-09 12:38:15
サブスクパスの実装,/010_企画・仕様/GLOW_仕様要件_運営フェーズ,https://docs.google.com/presentation/d/1ZoveJL4CiYkvMBt5AbZdOF0lxoUrVDtzOtDxAlmlkNE/edit?usp=drivesdk,2026-01-09 12:37:43
スキル：貫通,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/没案,https://docs.google.com/presentation/d/1573geV-eEYxcQRgX9Tlb53YpmutEfPB9soazYoSzAuI/edit?usp=drivesdk,2025-12-19 11:02:32
バーティカルダンジョン,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/v.1.6.1,https://docs.google.com/presentation/d/1wb4V5UexAeE8YfdziqlaVbKaCPt2lfYTlnY_QReoVHM/edit?usp=drivesdk,2026-02-10 15:41:29
キャラ詳細画面ブラッシュアップ_グレードアップ,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/v.1.6.1,https://docs.google.com/presentation/d/1QtfGA_LP9LW3XOM4A501XzEH3YdMLYBzGNwThJ-bf98/edit?usp=drivesdk,2026-01-09 17:38:11
v.1.6.1向けエンドコンテンツ_ご提案,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/v.1.6.1/ご提案,https://docs.google.com/presentation/d/1PCfT_D-uyWQSlHgmODbzWfn8AnvaHwNz6b5R79kkV0U/edit?usp=drivesdk,2026-02-05 17:30:07
画面収録 2026-02-04 11.54.54.mov,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/v.1.6.1/ご提案,https://drive.google.com/file/d/1YNnt_N_LxMRxLMFDuIZER6_EBRxBXxe8/view?usp=drivesdk,2026-02-04 11:57:05
特別ルール_属性制限追加,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/v.1.5.1,https://docs.google.com/presentation/d/1GSaotr-5FbCk5dnmQE89pxs-vXnZ_8ouWU_vHyRhQI0/edit?usp=drivesdk,2026-01-29 14:06:51
【社外用】Web Store販売物検討用資料_v4_251118.pdf,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/v.1.5.1,https://drive.google.com/file/d/1ycKHWPukYb4C9-qOUKoVBhPX6b7146PP/view?usp=drivesdk,2025-12-12 15:54:08
ジャンブルラッシュ_ハーフアニバーサリー〜1周年に向けて,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/社内調整用,https://docs.google.com/presentation/d/1VT8KsPmvE6YkQHMCK0cp6o_xNUbbqXZ4cLxwQLPNQKU/edit?usp=drivesdk,2025-12-02 14:43:53
bk_ジャンブルラッシュ_ハーフアニバーサリー〜1周年に向けて,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/社内調整用,https://docs.google.com/presentation/d/1v1LhhafFwaPfoBkab93GxhiMoV6RdBF8MpCcno3Qj9Q/edit?usp=drivesdk,2025-11-20 14:59:28
ジャンブルラッシュ ハーフアニバーサリー〜1周年に向けて_BNE様ご提案反映ver,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/開発方針まとめ,https://docs.google.com/presentation/d/1UTFvGlKhWw1MIbPCFX-1bjvxOHopNgaVKSeVXh10t5A/edit?usp=drivesdk,2026-01-16 10:15:23
GLOW_v.1.6.0まで_今後の改善軸まとめ.xlsx,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/開発方針まとめ,https://docs.google.com/spreadsheets/d/1bxkwr-KdInL40fVEMmV2UZi1CCl_Nfkq/edit?usp=drivesdk&ouid=118276061537192140007&rtpof=true&sd=true,2025-12-18 10:05:05
「ジャンプ＋ジャンブルラッシュ」12月~ハーフアニバ計画,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/開発方針まとめ,https://docs.google.com/presentation/d/1_hyD9fvcTGZBGZxv5WMEPRt1HWMjVEBrOv-z6NRZqUA/edit?usp=drivesdk,2025-12-03 19:00:45
往訪資料：1.4.0までの改善,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/開発方針まとめ,https://docs.google.com/presentation/d/1VOKueHfq-PkxZpIkxKCxG_JHYJzPP5db_yJdj1S9dBo/edit?usp=drivesdk,2025-12-02 12:22:26
改善要件：リリース後対応検討案_v.1.3.0以降,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/開発方針まとめ,https://docs.google.com/presentation/d/1UrzCcjvv_DSgY7-Rm18nnt2QvRRDMgClLq5RiHbUJfg/edit?usp=drivesdk,2025-11-05 11:50:48
改善対応：リーダーRank必要exp数調整,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/開発方針まとめ,https://docs.google.com/presentation/d/13AY2ddwXsLG_1XdKFv5t31qBeNAyGrtvhkMsbCd48xI/edit?usp=drivesdk,2025-10-10 13:31:53
改善要件：リリース後対応検討案（2025/9/30）,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/開発方針まとめ,https://docs.google.com/presentation/d/1xQaqYz9yNRaW54Cm2703RvtWaNrf_peNpNlx2_ZWq_I/edit?usp=drivesdk,2025-10-08 16:02:12
 スキル＆コマ効果＆特性：弱体化,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/リリース済み/v.1.4.1,https://docs.google.com/presentation/d/1uTt0A0m_Ikfw_qJsbVB3QSruLMB9K7Bp9pKhyEdhckU/edit?usp=drivesdk,2026-01-08 11:25:49
バトル演出追加とインゲームキャラ詳細改善,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/リリース済み/v.1.4.1,https://docs.google.com/presentation/d/1yg1W1K23IwZbppYNpIJBcgsJkEOFDFTVIn7wuWxrqKw/edit?usp=drivesdk,2026-01-08 11:24:22
パーティ戦力表示,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/リリース済み/v.1.4.1,https://docs.google.com/presentation/d/1Iov0LoLtGeOgaJ-3jS43-MRioJC1caQU8V87Dmmi79Y/edit?usp=drivesdk,2026-01-07 12:01:05
改善要件：交換所の実装- v.1.4.0,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/リリース済み/v.1.2.1-v.1.4.0,https://docs.google.com/presentation/d/10vFEQKrOIrJNeSVQJ7SGUqhrgoVl5Nd915PWWDepupg/edit?usp=drivesdk,2026-02-05 12:54:12
改善要件：スタミナブーストの実装- v.1.4.0,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/リリース済み/v.1.2.1-v.1.4.0,https://docs.google.com/presentation/d/1ba5hJaTywYaZ3oO86es52P2QAEsq2hWpmSUtaQq8awQ/edit?usp=drivesdk,2025-12-22 15:09:25
スキル：再召喚時間短縮,/010_企画・仕様/GLOW_仕様要件_運営フェーズ/リリース済み/v.1.2.1-v.1.4.0,https://docs.google.com/presentation/d/1EFrThMOSydf0dU6PubbF6MZXlJjroMGSSa3WKeooiRY/edit?usp=drivesdk,2025-12-16 17:22:48
