ENABLE,id,mst_store_product_id,product_type,purchasable_count,paid_amount,display_priority,start_date,end_date,release_key
e,69,69,Pack,1,,18,"2026-02-16 15:00:00","2026-03-02 10:59:59",202602020
e,70,70,Pack,1,,17,"2026-03-02 15:00:00","2026-03-31 10:59:59",202602020
e,78,78,Pack,1,,23,"2026-02-20 15:00:00","2026-02-27 10:59:59",202602020
e,97,87,Diamond,__NULL__,50,7,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00001,bnei0434_webstore_00001,Pack,__NULL__,,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00002,bnei0434_webstore_00002,Pack,__NULL__,,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00003,bnei0434_webstore_00003,Pack,__NULL__,80,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00004,bnei0434_webstore_00004,Pack,__NULL__,240,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00005,bnei0434_webstore_00005,Pack,__NULL__,490,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00006,bnei0434_webstore_00006,Pack,__NULL__,80,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00007,bnei0434_webstore_00007,Pack,__NULL__,240,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00008,bnei0434_webstore_00008,Pack,__NULL__,510,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00009,bnei0434_webstore_00009,Pack,__NULL__,1560,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00010,bnei0434_webstore_00010,Pack,__NULL__,2600,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00011,bnei0434_webstore_00011,Pack,__NULL__,5400,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00012,bnei0434_webstore_00012,Pack,__NULL__,,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
e,WS_00013,bnei0434_webstore_00013,Pack,__NULL__,,0,"2026-02-16 12:00:00","2034-01-01 00:00:00",202602020
