ENABLE,release_key,id,mst_emblem_id,language,name,description
e,202602020,emblem_event_kim_00001_ja,emblem_event_kim_00001,ja,神様,とある神社の恋の神様を模したエンブレム
e,202602020,emblem_event_kim_00002_ja,emblem_event_kim_00002,ja,"花園 羽々里の大好きな気持ち","花園 羽々里の大好きな気持ちを模したエンブレム"
e,202602020,emblem_event_kim_00003_ja,emblem_event_kim_00003,ja,"花園 羽香里の大好きな気持ち","花園 羽香里の大好きな気持ちを模したエンブレム"
e,202602020,emblem_event_kim_00004_ja,emblem_event_kim_00004,ja,"院田 唐音の大好きな気持ち","院田 唐音の大好きな気持ちを模したエンブレム"
e,202602020,emblem_event_kim_00005_ja,emblem_event_kim_00005,ja,"好本 静の大好きな気持ち","好本 静の大好きな気持ちを模したエンブレム"
e,202602020,emblem_adventbattle_kim_season01_00001_ja,emblem_adventbattle_kim_season01_00001,ja,恋愛勇者(1位),2026年2月開催降臨バトル『100カノ編』1位の証
e,202602020,emblem_adventbattle_kim_season01_00002_ja,emblem_adventbattle_kim_season01_00002,ja,恋愛勇者(2位),2026年2月開催降臨バトル『100カノ編』2位の証
e,202602020,emblem_adventbattle_kim_season01_00003_ja,emblem_adventbattle_kim_season01_00003,ja,恋愛勇者(3位),2026年2月開催降臨バトル『100カノ編』3位の証
e,202602020,emblem_adventbattle_kim_season01_00004_ja,emblem_adventbattle_kim_season01_00004,ja,恋愛勇者(4~50位),2026年2月開催降臨バトル『100カノ編』4~50位の証
e,202602020,emblem_adventbattle_kim_season01_00005_ja,emblem_adventbattle_kim_season01_00005,ja,恋愛勇者(51~300位),2026年2月開催降臨バトル『100カノ編』51~300位の証
e,202602020,emblem_adventbattle_kim_season01_00006_ja,emblem_adventbattle_kim_season01_00006,ja,"恋愛勇者(301~1,000位)","2026年2月開催降臨バトル『100カノ編』301~1,000位の証"
