ENABLE,id,emblemType,mstSeriesId,assetKey,release_key
e,emblem_event_kim_00001,Event,kim,event_kim_00001,202602020
e,emblem_event_kim_00002,Event,kim,event_kim_00002,202602020
e,emblem_event_kim_00003,Event,kim,event_kim_00003,202602020
e,emblem_event_kim_00004,Event,kim,event_kim_00004,202602020
e,emblem_event_kim_00005,Event,kim,event_kim_00005,202602020
e,emblem_adventbattle_kim_season01_00001,Event,kim,adventbattle_kim_season01_00001,202602020
e,emblem_adventbattle_kim_season01_00002,Event,kim,adventbattle_kim_season01_00002,202602020
e,emblem_adventbattle_kim_season01_00003,Event,kim,adventbattle_kim_season01_00003,202602020
e,emblem_adventbattle_kim_season01_00004,Event,kim,adventbattle_kim_season01_00004,202602020
e,emblem_adventbattle_kim_season01_00005,Event,kim,adventbattle_kim_season01_00005,202602020
e,emblem_adventbattle_kim_season01_00006,Event,kim,adventbattle_kim_season01_00006,202602020
