ENABLE,id,hp,is_damage_invalidation,outpost_asset_key,artwork_asset_key,release_key
e,event_kim1_savage_00001,120000,,kim_enemy_0001,,202602020
e,event_kim1_savage_00002,150000,,kim_enemy_0001,,202602020
e,event_kim1_savage_00003,200000,,kim_enemy_0001,,202602020
e,event_kim1_1day_00001,500,,kim_enemy_0001,,202602020
e,event_kim1_charaget01_00001,15000,,kim_enemy_0001,,202602020
e,event_kim1_charaget01_00002,25000,,kim_enemy_0001,,202602020
e,event_kim1_charaget01_00003,30000,,kim_enemy_0001,,202602020
e,event_kim1_charaget01_00004,45000,,kim_enemy_0001,,202602020
e,event_kim1_charaget02_00001,25000,,kim_enemy_0001,,202602020
e,event_kim1_charaget02_00002,25000,,kim_enemy_0001,,202602020
e,event_kim1_charaget02_00003,30000,,kim_enemy_0001,,202602020
e,event_kim1_charaget02_00004,30000,,kim_enemy_0001,,202602020
e,event_kim1_charaget02_00005,40000,,kim_enemy_0001,,202602020
e,event_kim1_charaget02_00006,45000,,kim_enemy_0001,,202602020
e,event_kim1_challenge_00001,30000,,kim_enemy_0001,,202602020
e,event_kim1_challenge_00002,40000,,kim_enemy_0001,,202602020
e,event_kim1_challenge_00003,60000,,kim_enemy_0001,,202602020
e,event_kim1_challenge_00004,80000,,kim_enemy_0001,,202602020
e,raid_kim1_00001,1000000,1,kim_enemy_0001,,202602020
