ENABLE,release_key,id,mst_event_display_unit_id,language,speech_balloon_text1,speech_balloon_text2,speech_balloon_text3
e,202602020,quest_event_kim1_savage01_ja,quest_event_kim1_savage01,ja,"かわいい物に\n目がないから…",,
e,202602020,quest_event_kim1_savage02_ja,quest_event_kim1_savage02,ja,いいお天気ですね,,
e,202602020,quest_event_kim1_1day01_ja,quest_event_kim1_1day01,ja,いいお天気ですね,,
e,202602020,quest_event_kim1_1day02_ja,quest_event_kim1_1day02,ja,"何か\n文句でもあるっ!?",,
e,202602020,quest_event_kim1_charaget0101_ja,quest_event_kim1_charaget0101,ja,いいお天気ですね,,
e,202602020,quest_event_kim1_charaget0102_ja,quest_event_kim1_charaget0102,ja,"何か\n文句でもあるっ!?",,
e,202602020,quest_event_kim1_charaget0103_ja,quest_event_kim1_charaget0103,ja,“高らかに笑った。”,,
e,202602020,quest_event_kim1_charaget0201_ja,quest_event_kim1_charaget0201,ja,"かわいい物に\n目がないから…",,
e,202602020,quest_event_kim1_challenge01_ja,quest_event_kim1_challenge01,ja,"かわいい物に\n目がないから…",,
e,202602020,quest_event_kim1_challenge02_ja,quest_event_kim1_challenge02,ja,いいお天気ですね,,
