ENABLE,release_key,id,mst_attack_id,sort_order,attack_delay,attack_type,range_start_type,range_start_parameter,range_end_type,range_end_parameter,max_target_count,target,target_type,target_colors,target_roles,target_mst_series_ids,target_mst_character_ids,damage_type,hit_type,hit_parameter1,hit_parameter2,hit_effect_id,is_hit_stop,probability,power_parameter_type,power_parameter,effect_type,effective_count,effective_duration,effect_parameter,effect_value,effect_trigger_roles,effect_trigger_colors
e,202602020,chara_kim_00001_Normal_00000,chara_kim_00001_Normal_00000,1,0,Direct,Distance,0,Distance,0.42,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,65,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00001_01,chara_kim_00001_Special_00001,1,32,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,6,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00001_02,chara_kim_00001_Special_00001,2,40,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,6,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00001_03,chara_kim_00001_Special_00001,3,50,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,6,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00001_04,chara_kim_00001_Special_00001,4,60,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,18,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00001_05,chara_kim_00001_Special_00001,5,80,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,KnockBack1,0,0,dageki_1,1,100,Percentage,58,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00002_01,chara_kim_00001_Special_00002,1,32,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,7,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00002_02,chara_kim_00001_Special_00002,2,40,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,7,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00002_03,chara_kim_00001_Special_00002,3,50,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,7,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00002_04,chara_kim_00001_Special_00002,4,60,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,21,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00002_05,chara_kim_00001_Special_00002,5,80,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,KnockBack1,0,0,dageki_1,1,100,Percentage,64,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00003_01,chara_kim_00001_Special_00003,1,32,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,8,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00003_02,chara_kim_00001_Special_00003,2,40,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,8,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00003_03,chara_kim_00001_Special_00003,3,50,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,8,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00003_04,chara_kim_00001_Special_00003,4,60,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,24,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00003_05,chara_kim_00001_Special_00003,5,80,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,KnockBack2,0,0,dageki_1,1,100,Percentage,66,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00004_01,chara_kim_00001_Special_00004,1,32,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,9,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00004_02,chara_kim_00001_Special_00004,2,40,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,9,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00004_03,chara_kim_00001_Special_00004,3,50,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,9,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00004_04,chara_kim_00001_Special_00004,4,60,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,27,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00004_05,chara_kim_00001_Special_00004,5,80,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,KnockBack2,0,0,dageki_1,1,100,Percentage,66,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00005_01,chara_kim_00001_Special_00005,1,32,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,8,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00005_02,chara_kim_00001_Special_00005,2,40,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,8,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00005_03,chara_kim_00001_Special_00005,3,50,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,8,None,0,0,0,,,
e,202602020,chara_kim_00001_Special_00005_04,chara_kim_00001_Special_00005,4,60,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,24,None,0,0,0,,,
