ENABLE,release_key,id,mst_store_product_id,language,price_ios,price_android,price_webstore,paid_diamond_price_ios,paid_diamond_price_android,paid_diamond_price_webstore
e,202602020,69_ja,69,ja,3000,3000,0,0,0,0
e,202602020,70_ja,70,ja,980,980,0,0,0,0
e,202602020,78_ja,78,ja,1980,1980,0,0,0,0
e,202602020,87_ja,87,ja,100,100,0,0,0,0
e,202602020,bnei0434_webstore_00001_ja,bnei0434_webstore_00001,ja,0,0,0,0,0,0
e,202602020,bnei0434_webstore_00002_ja,bnei0434_webstore_00002,ja,0,0,0,0,0,0
e,202602020,bnei0434_webstore_00003_ja,bnei0434_webstore_00003,ja,0,0,160,0,0,80
e,202602020,bnei0434_webstore_00004_ja,bnei0434_webstore_00004,ja,0,0,480,0,0,240
e,202602020,bnei0434_webstore_00005_ja,bnei0434_webstore_00005,ja,0,0,800,0,0,490
e,202602020,bnei0434_webstore_00006_ja,bnei0434_webstore_00006,ja,0,0,160,0,0,80
e,202602020,bnei0434_webstore_00007_ja,bnei0434_webstore_00007,ja,0,0,480,0,0,240
e,202602020,bnei0434_webstore_00008_ja,bnei0434_webstore_00008,ja,0,0,1000,0,0,510
e,202602020,bnei0434_webstore_00009_ja,bnei0434_webstore_00009,ja,0,0,3000,0,0,1560
e,202602020,bnei0434_webstore_00010_ja,bnei0434_webstore_00010,ja,0,0,4900,0,0,2600
e,202602020,bnei0434_webstore_00011_ja,bnei0434_webstore_00011,ja,0,0,10000,0,0,5400
e,202602020,bnei0434_webstore_00012_ja,bnei0434_webstore_00012,ja,0,0,800,0,0,0
e,202602020,bnei0434_webstore_00013_ja,bnei0434_webstore_00013,ja,0,0,2900,0,0,0
