,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■シミュレーション,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検索用,,,,,,,,,,,,,,,,,,,,,,,
,特筆事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,実装日,,,,,,,,,,,,Lv,,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,"年始リリースSSRサポートキャラ。有名IPで誰しもが知っているキャラ

【キャラコンセプト：小舟 潮、アイラ、753の側変え SSRレギュver】
　・設計ポイント
　　└UR小舟 潮620cost：自身と同じコマ青属性 12.2sec/10%カット（星1）
　　└SR753❤️475cost：自身と同じコマ赤属性　3sec/20%カット（星1）
　このURとSRの真ん中をいける黄属性キャラを目指す
※1段階インフレさせるため、バフ値を年始レギュで+2程度上昇
　・特性
　　└ダメージコマダメージ無効が全体的に少ないため、体数を増やす
姫様、土刃 メイ、小舟 潮、タコピー、乃愛、阿波連 れいな、日万凛

※サポートは体力が少なくすぐ倒されてしまうので、体力にも年始特別係数あり。現在のサポートの中では最安コスト",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-01 0:00:00,,,,,,,,,,,,1,,890,630,890,630,996,1059,1094,1112,1112,1112,1112,1112,1112,705,749,774,787,787,787,787,787,787
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デプロイ,,,,,,,,,,,,※少数切り上げ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,【推しの子】いいジャン祭,,,,,,,,,,,,Lv,Rnk,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,1,0,890,630,890,630,996,1059,1094,1112,1112,1112,1112,1112,1112,705,749,774,787,787,787,787,787,787
,キャラ_ID,,,,キャラクター名,,,,,,,,作品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,PremiumSSR,,,,,2,0,922,653,922,653,1032,1097,1134,1152,1152,1152,1152,1152,1152,731,777,803,816,816,816,816,816,816
,chara_osh_00301,,,,MEMちょ,,,,,,,,【推しの子】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,959,679,959,679,1074,1141,1179,1198,1198,1198,1198,1198,1198,760,808,835,848,848,848,848,848,848
,ラベル,,,ロール,,,属性,,,攻撃射程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,999,707,999,707,1118,1188,1228,1248,1248,1248,1248,1248,1248,791,841,869,883,883,883,883,883,883
