,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,目次,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,00),共通項目,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01), ゲーム内キャラ名,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02),フレーバーテキスト,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03),必殺ワザ名,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04),必殺ワザカットイン,,,,,,,,,,,,,,,,,,id,mst_unit_id,language,condition_type,balloon_type,side,duration,text,release_key,ENABLE
,05),登場セリフ,,,,,,,,,,,,,,,,,,1,chara_dan_00001,ja,SpecialAttackCharge,Maru,Right,0.5,今ならすべて\n許すことができる,1,e
,06),作品名について,,,,,,,,,,,,,,,,,,2,chara_dan_00001,ja,Summon,Toge,Left,1.5,ジブンが戦います !!,1,e
,07),特殊文字,,,,,,,,,,,,,,,,,,3,chara_dan_00001,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,chara_dan_00101,ja,SpecialAttackCharge,Maru,Right,0.5,選ばれた存在ってことなのね !!,,
,00),共通項目,,,,,,,,,,,,,,,,,,11,chara_dan_00101,ja,Summon,Maru,Left,1.5,なぜなら私は\n美少女なんだもの,,
,,【カットインについて】,,,,,,,,,,,,,,,,,,12,chara_dan_00101,,,,,,,,
,,バトル中の演出には、マンガ原稿の画像を使用するものがある。,,,,,,,,,,,,,,,,,,13,chara_dan_00201,ja,SpecialAttackCharge,Maru,Right,0.5,選ばれた存在ってことなのね !!,,
,,そのため、各カットイン画像として適用する箇所を指定する。,,,,,,,,,,,,,,,,,,14,chara_dan_00201,ja,Summon,Maru,Left,1.5,なぜなら私は\n美少女なんだもの,,
,,指定方法は以下の通り,,,,,,,,,,,,,,,,,,15,chara_dan_00201,,,,,,,,
,,《例》,,,,,,,,,,,,,,,,,,16,chara_dan_00202,ja,SpecialAttackCharge,Maru,Right,0.5,心に決めた人\nがいるの,,
,,単行本9巻 30ページの一番右上で 主人公が構えているコマ,,,,,,,,,,,,,,,,,,17,chara_dan_00202,ja,Summon,Maru,Left,1.5,私のことが\n好きみたいね,,
,,,,,,,,,,,,,,,,,,,,18,chara_dan_00202,,,,,,,,
,,ただし、これだけでは伝わらないので、写真撮影やスクリーンショットを駆使して,,,,,,,,,,,,,,,,,,19,chara_dan_00301,ja,SpecialAttackCharge,Toge,Right,0.5,ブチ殺したらあ！,,
,,参考となる画像を用意する。,,,,,,,,,,,,,,,,,,20,chara_dan_00301,ja,Summon,Maru,Left,1.5,ボキャボキャ\nにするわあ！,,
,,,,,,,,,,,,,,,,,,,,21,chara_dan_00301,,,,,,,,
,,【項目説明】,,,,,,,,,,,,,,,,,,22,chara_gom_00001,ja,SpecialAttackCharge,Maru,Left,0.5,この”拷問”\nもらった！,1,e
,,全項目共通の前提として、漢字、ひらがな、カタカナは全角で。,,,,,,,,,,,,,,,,,,23,chara_gom_00001,ja,Summon,Maru,Left,1.5,エクス…\n私は大丈夫だ,1,e
,,スペース、!、?、英数字、その他記号は半角で。,,,,,,,,,,,,,,,,,,24,chara_gom_00001,,,,,,,,
,,!、?などの記号に続けてセリフを入れる場合は半角スペースを入れる。,,,,,,,,,,,,,,,,,,25,chara_gom_00101,ja,SpecialAttackCharge,Maru,Right,0.5,それでは・・・,1,e
,,原作の表記を優先とするが、文字数などで難しい場合は要相談。,,,,,,,,,,,,,,,,,,26,chara_gom_00101,ja,Summon,Maru,Left,1.5,拷問の\n行います,1,e
,,　→難しい場合は、候補と引用元を提示の上で監修MTG時に相談,,,,,,,,,,,,,,,,,,27,chara_gom_00101,,,,,,,,
,,単行本・ジャンプ＋で掲載されている「キャラクター名称」・「ワザ名称」・「セリフ」を使用する,,,,,,,,,,,,,,,,,,28,chara_gom_00201,ja,SpecialAttackCharge,Maru,Right,0.5,これには\n耐えれるかな☆,1,e
,,,,,,,,,,,,,,,,,,,,29,chara_gom_00201,ja,Summon,Maru,Left,1.5,さっさと\n話すことですね,1,e
,,GLOWゲーム内では、数字や記号は原則「半角」を使用で統一します。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ただし、IPに紐づく固有名称やキャラクターセリフを引用する内容が全角の場合は、全角を使用します。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.5次元の誘惑,作品名称が半角なので、半角を使用,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<黄昏> ロイド,<>は半角で監修通がしたので、半角を使用,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<いばら姫> ヨル,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,怪獣８号,"原作内で怪獣の識別番号は、全角表記なので
ゲーム内でも「全角表記」を正として扱います。",,,,,,,,,,,,,,,,,,,,,,,,,,
,,怪獣９号,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,怪獣１０号,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,キャラセリフについては、作品内で使用しているものをそのまま使用する,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"わくわく アーニャ
必殺ワザ発動前セリフ",せいふくできた？,原作で全角の「？」を使用しているため全角の表記を使用,,,,,,,,,,,,,,,,,,,,,,,,,
,,"わくわく アーニャ
イベント用セリフ",わくわくっ!!,原作で半角の「!」を使用しているため半角の表記を使用,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01), ゲーム内キャラ名,,,,,,,,,,,,,,,,,,30,chara_gom_00201,,,,,,,,
,,ゲーム内で使用するキャラ名。最大16文字。,,,,,,,,,,,,,,,,,,31,chara_jig_00001,ja,SpecialAttackCharge,Maru,Right,0.5,今は考えるな\nただ殺せ,1,e
,,イベント入手できるキャラクターは最大15文字,,,,,,,,,,,,,,,,,,32,chara_jig_00001,ja,Summon,Maru,Left,1.5,殺しに来るなら\n殺すよ,1,e
,,"L一部アイテムにキャラ名称を紐づけるときに、16文字だと文字上限を超過する
　イベントキャラのみ15文字対応でお願いします。",,,,,,,,,,,,,,,,,,33,chara_jig_00001,,,,,,,,
,,,,,,,,,,,,,,,,,,,,34,chara_jig_00101,ja,SpecialAttackCharge,Maru,Right,0.5,ただ黙って\n受け入れる\nなんて真っ平,1,e
,,■姓名の区切り,,,,,,,,,,,,,,,,,,43,chara_sur_00001,ja,SpecialAttackCharge,Maru,Right,0.5,かっこつけ\nたかったんだよ,1,e
