キャラテキスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,▼未監修,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,▼監修通過,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GLOW_ID 管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※↑枠が不足したら右の列を増やす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※セルの色について,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数式入っているため触らない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未FIXの場合は黄色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,▼リリース日に実装しない,,,▼リリース日に実装しない,,,ガシャ演出時のセリフのみ別途監修進行中,,,,,,,,,,,,,,,,,,,,,,,
SPY×FAMILY,,,,,,,▼データ設定済み,リリース時,,▼データ設定済み,リリース時,,▼データ設定済み,リリース時,,▼データ設定済み,SPY×FAMILY いいジャン祭25/10/06,,▼データ設定済み,SPY×FAMILY いいジャン祭25/10/06,,監修中,SPY×FAMILY いいジャン祭25/10/06,,,,,,,,,,,,,,,,,,,,,,
項目,,表示画面,キャラ,文字数,出典,担当,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼未監修,※,,0,,,わくわく アーニャ,9,SPY×FAMILY,<黄昏> ロイド,8,,<いばら姫> ヨル,9,SPY×FAMILY,ダミアン・デズモンド,10,SPY×FAMILY,フランキー・フランクリン,12,ー,姉を想う盲愛 ユーリ・ブライア,8,SPY×FAMILY,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",0,※,,0,,,"孤児院に預けられていた少女。
ロイド・フォージャーに引き取られ、娘として暮らしている。
実は他人の心を読むことができる超能力者で、
周囲の人にはそのことを隠している。
スパイと殺し屋との共同生活にわくわくしている。",107,"参考:SPY×FAMILY
公式ファンブック
EYES ONLY
032P",東西平和の実現のために活動する西国(ウェスタリス)きっての敏腕諜報員(エージェント)。名前も過去も捨て、戦争を回避するために東国(オスタニア)にて諜報活動を行なっている。現在は超難関任務「オペレーション<梟>(ストリクス)」に従事。ロイド・フォージャーという名前と肩書は、この任務のために用意された仮初めのもの。,156,,"東国(オスタニア)の暗殺組織「ガーデン」の殺し屋。
上長の命令で母国に害を成すと判断されたものを抹殺する。
殺し屋は裏の顔で、普段は市役所の事務員として働く。
世間に溶け込むためロイド・フォージャーの案に乗って仮初めの夫婦に。",113,"参考:SPY×FAMILY
公式ファンブック
EYES ONLY
038P","ドノバン・デズモンドの息子。
学園では親の権力を笠に着て傲慢な態度を取っているが、
根は優しく誇り高い少年。
アーニャ・フォージャーにぶっ飛ばされて以来、気になっている。
”プランB”成功の鍵となる標的。",102,"参考:SPY×FAMILY
公式ファンブック
EYES ONLY
098P 参考","表の顔は普通のタバコ屋だが、<黄昏>も一目置く情報屋という裏の顔を持つ人物。
東国(オスタニア)に住んではいるが、国の空気を好ましく思っておらず、西国(ウェスタリス)の諜報員にも協力する。
手先が器用で、発明家としても優秀だ。",113,"参考:SPY×FAMILY
公式ファンブック
EYES ONLY
064P","東国(オスタニア)の外務省に勤務するヨル・フォージャーの弟。
外交官は仮の姿で、実際は入省して1年ほどで国家保安局に
抜擢され、秘密警察として働いている。階位は少尉。
ヨル・フォージャーへの愛情が強く、
義兄のロイド・フォージャーを強く敵視する。",123,"参考:SPY×FAMILY
公式ファンブック
EYES ONLY
072P",,0,,,0,,,0,,,0,,,0,,,0,,,0,
"必殺ワザ名称
最大16文字",,※,,0,,,せいふくのアーニャかわいい？,14,2巻046P,終わりにしよう,7,,この手が血で汚れても構わない,14,8巻201P,いい気になるなよ,8,3巻146P,超人外骨格！！,7,7巻147P,姉さぁーーーん♡,8,7巻109P,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"必殺ワザ発動前
セリフ
最大24文字",▼監修通過,※,,0,,,せいふくできた？,8,2巻038P,すべてはよりよき世界のために,14,,私の平穏はいらない,9,8巻201P,何だ たいしたことないな,12,2巻072P,情報屋をなめるなよ…!!,12,7巻138P,姉さん姉さん姉さん姉さん,12,7巻109P,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"イベント用セリフ
最大7*2文字",0,※,,0,,,わくわくっ!!,7,1巻099P,スパイは目立ってはいけない…,14,,お片づけしかできませんもの…,14,1巻091P,親は何の仕事をしてんだ？,12,2巻071P,どれを頂戴しようかな〜,11,1巻106P,この正体隠し通さねば…！,12,2巻153P,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"召喚時セリフ
最大24文字",,※,,0,,,おでけけおでけけ♪,9,1巻137P,この正体を隠し通さねば…!!,14,,容赦いたしません!!,10,3巻078P,気安くしゃべりかけんな！,12,3巻152P,オレに任せろ,6,1巻104P,姉さんに折られたアバラが疼く…！,16,2巻151P,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"ガシャ演出時のセリフ
※URのみ",,※,,0,,,,0,1巻099P,,0,,,0,1巻091P,ー,ー,ー,ー,1,ー,,ー,3巻011P,,0,,,0,,,0,,,0,,,0,,,0,,,0,
必殺ワザ原画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ラーメン赤猫,,,,,,,▼データ設定済み,リリース時,,▼データ設定済み,リリース時,,▼監修通過,,,▼監修通過,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,,表示画面,キャラ,文字数,出典,担当,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼未監修,※,,0,,,佐々木,3,ラーメン赤猫,文蔵,2,ラーメン赤猫,ハナ,2,ラーメン赤猫,サブ,2,ラーメン赤猫,クリシュナ,5,ラーメン赤猫,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",0,※,,0,,,ラーメン赤猫のCEO、接客・レジ・経理担当。従業員の労働環境に気を遣うデキる猫。文蔵とは幼馴染で、野良猫時代を経験したのちに人間に拾われる。その後文蔵を口説き落とし、ラーメン赤猫を開業する。,98,ー,"ラーメン赤猫の店長でメイン調理を担当。
ラーメン屋台「あかねこ」をやっていた店主から店と味を引き継ぎ、佐々木と共にラーメン赤猫を開業する。
職人気質で、口数は少ないが気配りのできる猫。",95,ー,ラーメン赤猫の接客担当。お客様の前では明るく愛らしい接客を心がけているが、従業員の前ではツンデレな一面も。仕事には強いプロ意識を持っており、同僚や店の空気まで的確に読み取る能力に長けている猫。隠している過去がある。,107,ー,ラーメン赤猫の調理担当。主に盛り付けやサイドメニューを任せられている。元野良猫で、中華街にいたところを文蔵にスカウトされた。マイペースなムードメーカーとして店の雰囲気を和ませている。趣味はオンラインゲームで、プロとも渡り合うほどの実力。,118,ー,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"必殺ワザ名称
最大16文字",,※,,0,,,ハチワレの猫の佐々木さん,12,オリジナル,ラーメン赤猫の職人,9,オリジナル,ハナのほっこり接客術,10,オリジナル,プロゲーマーとか無理っすよ,13,オリジナル,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"必殺ワザ発動前
セリフ
最大24文字",▼監修通過,※,,0,,,子猫じゃないんだからー,11,参考:5巻145P,うちはラーメン屋なんで…,11,参考:2巻043P,ご注文お決まりですかにゃーん？,15,2巻056P,ヤベェ　ねぼうした！,10,1巻193P,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"イベント用セリフ
最大7*2文字",2,※,,0,,,経営者はこのボクです!!,12,参考:2巻076P,店長やってます文蔵いいます,13,参考:1巻032P,うちは猫のラーメン屋でしょ!?,15,1巻060P,２番オーダーオッケーっス！,13,2巻055P,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"召喚時セリフ
最大24文字",,※,,0,,,にゃー!!,5,3巻101P,おとといきやがれ,8,参考:2巻146P,いらっしゃいマセにゃ〜ん,12,1巻047P,いらっしゃいませぇ!!,11,2巻104P,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"ガシャ演出時のセリフ
※URのみ",,※,,0,,,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
必殺ワザ原画,,,,,,,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,,,,,,,,,,,,,,,,,,,,,,
トマトイプーのリコピン,,,,,,,▼データ設定済み,リリース時,,▼データ設定済み,リリース時,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,,表示画面,キャラ,文字数,出典,担当,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼未監修,※,,0,,,リコピン,4,トマトイプーのリコピン,甘戸 めめ,4,トマトイプーのリコピン,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",0,※,,0,,,"不思議な場所キュートピアに住む、トマトの苗から生まれたトイプードル。身長も体重もトマト7つぶんのとっても元気な3歳の男の子だが、健康診断の結果があまり良くなかったため、甘いものを控えるよう医者に言われている。
インスタグラムもやってるからみんなフォローしてね★",130,"参考:1巻012P
1巻026P",不思議な場所キュートピアに迷い込んだ、普通の中学生の女の子。コンパクトミラーでキュートピアと現実の世界を行き来することができる。自分が納得がいかないことは絶対にゆずらない頑固な面もあるが、かわいいぬいぐるみが大好きな優しい女の子。,115,参考:1巻040P,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"必殺ワザ名称
最大16文字",,※,,0,,,トマト果汁は健康の証,10,参考:1巻073P,モンブランケーキ,8,1巻073P,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"必殺ワザ発動前
セリフ
最大24文字",▼監修通過,※,,0,,,アーイ！,4,1巻073P,これ欲しかったんでしょ？,12,1巻073P,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"イベント用セリフ
最大7*2文字",0,※,,0,,,マ!?　おけまる　マジ卍〜,13,1巻165P,ここは一体どこかしら？,11,1巻005P,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"召喚時セリフ
最大24文字",,※,,0,,,ぼくリコピン！,7,参考:1巻012P,これは夢？,5,1巻005P,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"ガシャ演出時のセリフ
※URのみ",,※,,0,,,ー,ー,ー,ー,ー,ー,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
必殺ワザ原画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダンダダン,,,,,,,▼データ設定済み,リリース時,,▼データ設定済み,リリース時,,▼データ設定済み,リリース時,,▼データ設定済み,ダンダダン いいジャン祭25/10/22,,▼データ設定済み,ダンダダン いいジャン祭25/10/22,,▼データ設定済み,ダンダダン いいジャン祭25/10/22,,,,,,,,,,,,,,,,,,,,,,
項目,,表示画面,キャラ,文字数,出典,担当,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼未監修,※,,0,,,オカルン,4,ダンダダン,ターボババアの霊力 オカルン,14,ダンダダン,モモ,2,ダンダダン,アイラ,3,ダンダダン,アクさらの愛 アイラ,10,ダンダダン,招き猫 ターボババア,15,ダンダダン,美魔女　星子,6,ダンダダン,,0,,,0,,,0,,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",0,※,,0,,,"幽霊は信じていないが、宇宙人は信じている、怪異現象オタクの男子高校生。
初心で鈍感が故に不器用な言動も目立つが、仲間のためならば危険なことにも立ち向かう勇気を持っている。",85,参考:2巻006P,"オカルンがターボババアの呪いを受けて変身した姿。髪は白髪で逆立ち、口元にはマスクが浮かび上がる。脅威のスピードで動きまわり、限界を突破する“本気”を使うことができる。
しかし普段とは異なり気だるくネガティブな性格になってしまう。",125,参考:2巻006P,"宇宙人は信じていないが幽霊は信じている、霊媒師の家系の
女子高生。セルポ星人にさらわれた時に超能力に目覚める。困っている人を見過ごせない優しい一面もあり、誰にも裏表なく接することができる。
憧れの人のような硬派な男性が好きと自称しており、オカルンと憧れの人との共通点を知ってときめいてしまうことも。",149,参考:2巻006P,"オカルンやモモと同じ高校に通う女子高生で、
自他共に認める美少女。
オカルンの金の玉を拾ったことで能力が開花してしまう。普段は天然な美少女を演じているが、一度思い込むと周りの声が聞こえなくなってしまう、頑固な一面もある。",110,参考:3巻007P,"アクロバティックさらさらの炎を体内に取り入れたことにより、能力を得たアイラの姿。
平常時より髪の毛が著しく伸び、自由に操ることができる他、バレエを踊るような優雅さで足技を駆使して戦う。アクロバティックさらさらのような口の悪いお嬢様口調で喋る。",121,ー,"神出鬼没で、全国各地で暴れ回ってた近代妖怪。
オカルン達に倒された後消えたと思われていたが、実はオカルンの中に隠れていた。今は力をオカルンの中に残し、意識のみが招き猫の中に入って動き回っている。
現在はモモの家で暮らしている。",143,参考:3巻007P,モモの祖母。霊媒師ドドリア三太として活躍中。美しい容姿と霊媒師として家に結界を張れるほどの優れた実力を持っている。幼少期のモモに気の出し方を教えたり、ターボババアに取り憑かれたオカルンを助けたりと、情に厚い一面もあり、知識と経験でオカルンやモモたちをサポートする。,132,参考:2巻006P,,0,,,0,,,0,,,0,,,0,,,0,
"必殺ワザ名称
最大16文字",,※,,0,,,友達ができたからだ！,10,2巻077P,萎えるぜ,4,2巻129P,おっしゃあ いけえ!!,11,1巻190P,私って美少女すぎる,8,2巻149P,お放しなさい!!,8,3巻136P,クソだらあ!!,7,抜粋:6巻072P,かかってこい,6,1巻130P,,0,,,0,,,0,,,0,,,0,,,0,
"必殺ワザ発動前
セリフ
最大24文字",▼監修通過,※,,0,,,全てを許すことができる,11,2巻076P,これがターボババアの力かよ…,14,1巻101P,やったらあ！,6,1巻183P,選ばれた存在ってことなのね!!,15,2巻152P,お舞踏(パーティー)の時間ですわ,10,3巻144P,ブチ殺したらあ!!,9,2巻123P,お肌がパサついちまうよ,11,参考:1巻129P,,0,,,0,,,0,,,0,,,0,,,0,
"イベント用セリフ
最大7*2文字",0,※,,0,,,見せてやりましょうUFO！,13,1巻019P,力が溢れてくるぜえ…!!,12,1巻099P,ボッコボッコにしたるわい!!,14,1巻181P,リーダーは私でしょ！,9,2巻149P,それがいい女の条件でしょ,12,3巻145P,年上ナメんじゃねえぜ,10,2巻124P,罠にまんまと入ってくれたぜ,13,参考:1巻133P,,0,,,0,,,0,,,0,,,0,,,0,
