,,監修中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,▼監修通過,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダンダダン,▼監修中,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,0,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼監修通過,セルポ星人,5,,セルポ星人 (変身),10,,ターボババア,6,,アクロバティックさらさら,12,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",0,モモを誘拐した宇宙人。クローンで個体を増やす雄のみの種。生殖機能を取り戻すため、人間の女性を狙う。,49,3巻007P,"セルポ星人の本来の姿。
セルポ式測量法という念力を用いて攻撃する。
三人の念力を合わせると”すごいゾーン”を作り出すことができる。",65,ー,神出鬼没で、全国各地で暴れ回ってた近代妖怪が、心霊スポットのトンネルで地縛霊と合体した存在。,46,2巻007P,ターボババアからは三下の新人と呼ばれる新しい妖怪。幼い頃のアイラと関係があり、モモやアイラを襲う。,49,参考:3巻007P,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
怪獣８号,▼監修中,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,0,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼監修通過,怪獣 本獣,5,,怪獣 余獣,5,,怪獣９号,4,,蜘蛛の怪獣,5,,怪獣１０号,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",0,"防衛隊員選別試験の最終審査で、カフカたち受験生の討伐対象になった本獣。4足歩行で移動する。
目は退化しており視力が弱く、代わりに聴覚が発達している。",74,1巻157P,"防衛隊員選別試験の最終審査で、カフカたち受験生の討伐対象になった余獣。4足歩行で移動する。
目は退化しており視力が弱く、代わりに聴覚が発達している。",74,1巻157P,"防衛隊員選別試験に突如として現れた未知の大怪獣。
その後も度々姿を現しカフカ達の脅威となる。",46,ー,蜘蛛のような身体的特徴を持つ怪獣。6本足で歩行し、巨大な口で獲物に噛み付く。,38,ー,"怪獣を引き連れ、立川基地を襲撃した大怪獣。
全身を覆うような装甲を持ち、非常に好戦的な性格をしている。",51,ー,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
魔都精兵のスレイブ,▼監修中,▼データ設定済み,,,▼データ設定済み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,0,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼監修通過,和倉 青羽,6,ー,醜鬼,2,ー,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",0,"魔都に現れた人型醜鬼。
京香の故郷を襲った一本角の醜鬼を従えている。",34,ー,魔都に生息する魔物。形状も大きさもさまざまだが、基本的には人型のような姿に、仮面を被ったような姿をしている。,54,ー,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
地獄楽,▼監修中,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼監修通過,,,▼未監修,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,0,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼監修通過,門神 (小),5,ー,門神 (大),5,ー,竈神 魚,4,ー,極楽蝶,3,ー,朱槿,2,ー,山田浅ェ門 源嗣,8,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",1,"島に上陸してすぐに現れた化物。
人間の目にあたる部分から手が生えており、黒い肌をしている。",45,ー,"島に上陸してすぐに現れた巨大な化物。
人間の目にあたる部分から手が生えており、黒い肌をしている。",48,ー,"
頭は魚だが６本の腕を持つ人工的な生き物。下半身は2本の脚のようなものが生えている。",42,ー,"蝶のような姿をしているが、人のような頭がついている人工的な生き物。
鱗粉を撒き散らしたり、針のようなものを刺して攻撃する。",61,ー,仙薬を守る仙人のうちの1人、朱槿(ヂュジン)。再生能力を持ち、性別も時に入れ替わる。,42,参考:4巻004P,山田浅ェ門・試一刀流、八位。頑固だが佐切を案じる優しい一面も持ち合わせる。,37,"参考:地獄楽 解体新書
063P",,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
サマータイムレンダ,▼監修中,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,0,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼監修通過,影,1,ー,小舟 澪の影 (包丁),10,ー,小舟 澪の影 (拳銃),10,ー,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",0,"『影を見た物は死ぬ』——。影が身近な人間に成り代わってしまうという、日都ヶ島(ひとがしま)に伝わっている怪談に登場する謎の存在。
",65,参考:1巻053P,"小舟 澪の影。
セーラー服を着用している。
本物の小舟 澪とは異なり、クールな性格をしている。
武器として包丁を持っている。",62,ー,"小舟 澪の影。
セーラー服を着用している。
本物の小舟 澪とは異なり、クールな性格をしている。
武器として影の凸村から貰った拳銃を持っている。",71,ー,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
姫様“拷問”の時間です,▼監修中,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,,,,,,,,,
項目,0,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼監修通過,カナッジ,4,ー,キュイ,3,ー,たこ焼きくん,6,ー,たこ焼き,4,ー,バタートースト,7,ー,割きトースト,6,ー,あんぱん,4,ー,トーストあんぱん,8,ー,ラーメン,4,ー,ライス,3,ー,ライス (海苔),7,ー,,0,,,0,,,0,
"フレーバーテキスト
28文字×7行
(最大196文字)",0,"魔王の優秀な側近。戦闘面でも魔王軍第2位の実力を持つと言われている。
元々は清掃のバイトだったが、人手不足でいろいろ手伝っているうちに魔王の側近になっていた。",79,参考:2巻042P,"姫様の“拷問”のためにクロルが連れてきた白熊の赤ちゃん。
ボールとぬいぐるみ遊びが大好き。寝るときはお気に入りの毛布が必要。",62,参考:1巻074P,"たこと生地が口の中でまざって踊る様子が具現化した存在。
五臓六腑が幸せカーニバル。",41,参考:1巻033P,"たこ焼き。
目の前の鉄板で焼かれるライブ調理で、できたてを提供。",32,ー,"パリパリにトーストされたパン。
バターを添えて一口、お皿に残ったビーフシチューを拭って一口。",46,ー,パリパリにトーストされたパンを割いたもの。割いたことにより、お皿の隅々までビーフシチューが拭いやすくなっている。,56,ー,１つ１００円(税込)のあんぱん。中身は粒あんがぎっしり詰まっている。,34,ー,スライスしてトーストしたあんぱん。パンと粒あんが絶妙なセッションを奏でている。バターを乗せても美味しい。,52,ー,濃厚こってりラーメン。麺カタメ味コイメほうれん草トッピング。閉店間際には切り落としチャーシューサービス。,52,ー,"濃厚ラーメンのお供のライス。
濃厚こってりなスープの後は、白いご飯で小休止。",38,ー,ラーメンのお供のライスに豆板醤とニンニクを乗せ、ラーメンのスープを染み込ませた海苔で巻いて。,46,ー,,0,,,0,,,0,
株式会社マジルミエ,▼監修中,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼データ設定済み,,,▼監修通過,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,0,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典,キャラ,文字数,出典
"キャラ名
最大16文字",▼監修通過,冷却系怪異,5,ー,つらら,3,ー,建造物寄生型の怪異 (大),12,ー,建造物寄生型の怪異 (小),12,ー,工事現場の怪異,7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
