ENABLE,id,mst_auto_player_sequence_id,mst_auto_player_sequence_set_id,bgm_asset_key,boss_bgm_asset_key,loop_background_asset_key,player_outpost_asset_key,mst_page_id,mst_enemy_outpost_id,mst_defense_target_id,boss_mst_enemy_stage_parameter_id,boss_count,normal_enemy_hp_coef,normal_enemy_attack_coef,normal_enemy_speed_coef,boss_enemy_hp_coef,boss_enemy_attack_coef,boss_enemy_speed_coef,release_key
e,dungeon_spy_01,dungeon_spy_01,dungeon_spy_01,SSE_SBG_003_002,,,,dungeon_spy_01,dungeon_spy_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_spy_02,dungeon_spy_02,dungeon_spy_02,SSE_SBG_003_002,,,,dungeon_spy_02,dungeon_spy_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_spy_03,dungeon_spy_03,dungeon_spy_03,SSE_SBG_003_002,SSE_SBG_003_007,,,dungeon_spy_03,dungeon_spy_03,1,c_spy_00101_general_n_Boss_Red,1,1,1,1,1,1,1,202509010
e,dungeon_aka_01,dungeon_aka_01,dungeon_aka_01,SSE_SBG_003_006,,,,dungeon_aka_01,dungeon_aka_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_aka_02,dungeon_aka_02,dungeon_aka_02,SSE_SBG_003_006,,,,dungeon_aka_02,dungeon_aka_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_aka_03,dungeon_aka_03,dungeon_aka_03,SSE_SBG_003_006,SSE_SBG_003_007,,,dungeon_aka_03,dungeon_aka_03,1,c_aka_00101_general_n_Boss_Colorless,1,1,1,1,1,1,1,202509010
e,dungeon_rik_01,dungeon_rik_01,dungeon_rik_01,SSE_SBG_003_002,,,,dungeon_rik_01,dungeon_rik_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_rik_02,dungeon_rik_02,dungeon_rik_02,SSE_SBG_003_002,,,,dungeon_rik_02,dungeon_rik_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_rik_03,dungeon_rik_03,dungeon_rik_03,SSE_SBG_003_002,SSE_SBG_003_007,,,dungeon_rik_03,dungeon_rik_03,1,c_rik_00001_general_Boss_Red,1,1,1,1,1,1,1,202509010
e,dungeon_dan_01,dungeon_dan_01,dungeon_dan_01,SSE_SBG_003_001,,,,dungeon_dan_01,dungeon_dan_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_dan_02,dungeon_dan_02,dungeon_dan_02,SSE_SBG_003_001,,,,dungeon_dan_02,dungeon_dan_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_dan_03,dungeon_dan_03,dungeon_dan_03,SSE_SBG_003_001,SSE_SBG_003_007,,,dungeon_dan_03,dungeon_dan_03,1,c_dan_00001_general_vh_Boss_Red,1,1,1,1,1,1,1,202509010
e,dungeon_gom_01,dungeon_gom_01,dungeon_gom_01,SSE_SBG_003_006,,,gom_ally_0001,dungeon_gom_01,dungeon_gom_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_gom_02,dungeon_gom_02,dungeon_gom_02,SSE_SBG_003_006,,,gom_ally_0001,dungeon_gom_02,dungeon_gom_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_gom_03,dungeon_gom_03,dungeon_gom_03,SSE_SBG_003_006,SSE_SBG_003_007,,gom_ally_0001,dungeon_gom_03,dungeon_gom_03,1,c_gom_00201_general_n_Boss_Yellow,1,1,1,1,1,1,1,202509010
e,dungeon_chi_01,dungeon_chi_01,dungeon_chi_01,SSE_SBG_003_001,,,,dungeon_chi_01,dungeon_chi_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_chi_02,dungeon_chi_02,dungeon_chi_02,SSE_SBG_003_001,,,,dungeon_chi_02,dungeon_chi_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_chi_03,dungeon_chi_03,dungeon_chi_03,SSE_SBG_003_001,SSE_SBG_003_007,,,dungeon_chi_03,dungeon_chi_03,1,e_chi_00001_general_Boss_Yellow,1,1,1,1,1,1,1,202509010
e,dungeon_mag_01,dungeon_mag_01,dungeon_mag_01,SSE_SBG_003_001,,,,dungeon_mag_01,dungeon_mag_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_mag_02,dungeon_mag_02,dungeon_mag_02,SSE_SBG_003_001,,,,dungeon_mag_02,dungeon_mag_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_mag_03,dungeon_mag_03,dungeon_mag_03,SSE_SBG_003_001,SSE_SBG_003_007,,,dungeon_mag_03,dungeon_mag_03,1,c_mag_00001_general_Boss_Blue,1,1,1,1,1,1,1,202509010
e,dungeon_dos_01,dungeon_dos_01,dungeon_dos_01,SSE_SBG_003_003,,,,dungeon_dos_01,dungeon_dos_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_dos_02,dungeon_dos_02,dungeon_dos_02,SSE_SBG_003_003,,,,dungeon_dos_02,dungeon_dos_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_dos_03,dungeon_dos_03,dungeon_dos_03,SSE_SBG_003_003,SSE_SBG_003_007,,,dungeon_dos_03,dungeon_dos_03,1,e_dos_00101_general_Boss_Red,1,1,1,1,1,1,1,202509010
e,dungeon_bat_01,dungeon_bat_01,dungeon_bat_01,SSE_SBG_003_002,,,,dungeon_bat_01,dungeon_bat_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_bat_02,dungeon_bat_02,dungeon_bat_02,SSE_SBG_003_002,,,,dungeon_bat_02,dungeon_bat_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_bat_03,dungeon_bat_03,dungeon_bat_03,SSE_SBG_003_002,SSE_SBG_003_007,,,dungeon_bat_03,dungeon_bat_03,1,c_kai_00002_general_Boss_Yellow,1,1,1,1,1,1,1,202509010
e,dungeon_kai_01,dungeon_kai_01,dungeon_kai_01,SSE_SBG_003_001,,,,dungeon_kai_01,dungeon_kai_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_kai_02,dungeon_kai_02,dungeon_kai_02,SSE_SBG_003_001,,,,dungeon_kai_02,dungeon_kai_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_kai_03,dungeon_kai_03,dungeon_kai_03,SSE_SBG_003_001,SSE_SBG_003_007,,,dungeon_kai_03,dungeon_kai_03,1,e_kai_00001_general_Boss_Yellow,1,1,1,1,1,1,1,202509010
e,dungeon_yuw_01,dungeon_yuw_01,dungeon_yuw_01,SSE_SBG_003_003,,,,dungeon_yuw_01,dungeon_yuw_01,1,,,1,1,1,1,1,1,202511020
e,dungeon_yuw_02,dungeon_yuw_02,dungeon_yuw_02,SSE_SBG_003_003,,,,dungeon_yuw_02,dungeon_yuw_02,1,,,1,1,1,1,1,1,202511020
e,dungeon_yuw_03,dungeon_yuw_03,dungeon_yuw_03,SSE_SBG_003_003,SSE_SBG_003_007,,,dungeon_yuw_03,dungeon_yuw_03,1,c_yuw_00001_challenge_Boss_Green,1,1,1,1,1,1,1,202511020
e,dungeon_sur_01,dungeon_sur_01,dungeon_sur_01,SSE_SBG_003_001,,,,dungeon_sur_01,dungeon_sur_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_sur_02,dungeon_sur_02,dungeon_sur_02,SSE_SBG_003_001,,,,dungeon_sur_02,dungeon_sur_02,1,,,1,1,1,1,1,1,202509010
e,dungeon_sur_03,dungeon_sur_03,dungeon_sur_03,SSE_SBG_003_001,SSE_SBG_003_007,,,dungeon_sur_03,dungeon_sur_03,1,e_sur_00101_general_Boss_Green,1,1,1,1,1,1,1,202509010
e,dungeon_ron_01,dungeon_ron_01,dungeon_ron_01,SSE_SBG_003_003,,,,dungeon_ron_01,dungeon_ron_01,1,,,1,1,1,1,1,1,202509010
e,dungeon_ron_02,dungeon_ron_02,dungeon_ron_02,SSE_SBG_003_003,,,,dungeon_ron_02,dungeon_ron_02,1,,,1,1,1,1,1,1,202509010
