ENABLE,release_key,id,mst_enemy_character_id,character_unit_kind,role_type,color,sort_order,hp,damage_knock_back_count,move_speed,well_distance,attack_power,attack_combo_cycle,mst_unit_ability_id1,drop_battle_point,mstTransformationEnemyStageParameterId,transformationConditionType,transformationConditionValue
e,202509010,e_dos_00001_general_Normal_Colorless,enemy_dos_00001,Normal,Defense,Colorless,1,30000,1,40,0.2,300,1,,10,,None,
e,202509010,e_dos_00001_general_Normal_Red,enemy_dos_00001,Normal,Attack,Red,2,40000,2,40,0.2,400,1,,10,,None,
e,202509010,e_dos_00001_general_Normal_Yellow,enemy_dos_00001,Normal,Attack,Yellow,3,35000,2,45,0.2,350,1,,10,,None,
e,202509010,e_dos_00101_general_Normal_Colorless,enemy_dos_00101,Normal,Defense,Colorless,4,50000,2,35,0.2,500,1,,10,,None,
e,202509010,e_dos_00101_general_Normal_Red,enemy_dos_00101,Normal,Attack,Red,5,45000,2,40,0.2,450,1,,10,,None,
e,202509010,e_dos_00101_general_Boss_Red,enemy_dos_00101,Boss,Attack,Red,6,300000,3,30,0.2,800,1,,10,,None,
e,202509010,e_ron_00001_general_Normal_Colorless,enemy_ron_00001,Normal,Defense,Colorless,1,35000,1,40,0.2,350,1,,10,,None,
e,202509010,e_ron_00001_general_Normal_Blue,enemy_ron_00001,Normal,Attack,Blue,2,40000,2,45,0.2,400,1,,10,,None,
e,202509010,e_ron_00001_general_Normal_Yellow,enemy_ron_00001,Normal,Technical,Yellow,3,38000,2,40,0.2,380,1,,10,,None,
e,202509010,e_ron_00101_general_Normal_Colorless,enemy_ron_00101,Normal,Defense,Colorless,4,50000,2,35,0.2,500,1,,10,,None,
e,202509010,e_ron_00101_general_Normal_Blue,enemy_ron_00101,Normal,Attack,Blue,5,48000,2,40,0.2,480,1,,10,,None,
e,202509010,e_ron_00101_general_Boss_Blue,enemy_ron_00101,Boss,Attack,Blue,6,350000,3,30,0.2,900,1,,10,,None,
e,202509010,e_aha_00001_general_Normal_Colorless,enemy_aha_00001,Normal,Defense,Colorless,1,32000,1,40,0.2,320,1,,10,,None,
e,202509010,e_aha_00001_general_Normal_Green,enemy_aha_00001,Normal,Attack,Green,2,42000,2,45,0.2,420,1,,10,,None,
e,202509010,e_aha_00001_general_Normal_Yellow,enemy_aha_00001,Normal,Technical,Yellow,3,36000,2,40,0.2,360,1,,10,,None,
e,202509010,e_aha_00101_general_Normal_Colorless,enemy_aha_00101,Normal,Defense,Colorless,4,48000,2,35,0.2,480,1,,10,,None,
e,202509010,e_aha_00101_general_Normal_Green,enemy_aha_00101,Normal,Attack,Green,5,45000,2,40,0.2,450,1,,10,,None,
e,202509010,e_aha_00101_general_Boss_Green,enemy_aha_00101,Boss,Attack,Green,6,320000,3,30,0.2,850,1,,10,,None,
