,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/11/25,,,平野,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,開運!ジャンブル運試し,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_event_glo1_1day,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,イベントクエスト,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202512020,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,※!（エクスクラメーションマーク）は半角で,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/01/01,,,0:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/01/05,,,14:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_kai_00002,,,隠された英雄の姿 怪獣８号,,,※セリフ無し,,,,,,,,,,,,,,,,,,,
,chara_yuw_00001,,,リリエルに捧ぐ愛 天乃 リリサ,,,※セリフ無し,,,,,,,,,,,,,,,,,,,
,chara_spy_00001,,,わくわく アーニャ,,,※セリフ無し,,,,,,,,,,,,,,,,,,,
