メインクエスト,,,,
順,作品_ID,作品名,quest_thumbnail_asset,
1,spy,SPY×FAMILY,quest_image_spy_1,
2,gom,姫様“拷問”の時間です,quest_image_gom_1,
3,aka,ラーメン赤猫,quest_image_aka_1,
4,glo,GLOW,quest_image_glo_1,
5,dan,ダンダダン,quest_image_dan_1,
6,jig,地獄楽,quest_image_jig_1,
7,tak,タコピーの原罪,quest_image_tak_1,
8,glo,GLOW,quest_image_glo_2,
9,chi,チェンソーマン,quest_image_chi_1,
10,sur,魔都精兵のスレイブ,quest_image_sur_1,
11,rik,トマトイプーのリコピン,quest_image_rik_1,
12,glo,GLOW,quest_image_glo_3,
13,mag,株式会社マジルミエ,quest_image_mag_1,
14,sum,サマータイムレンダ,quest_image_sum_1,
15,kai,怪獣８号,quest_image_kai_1,
16,glo,GLOW,quest_image_glo_4,
17,osh,【推しの子】,quest_image_osh_1,
18,you,幼稚園WARS,quest_image_you_1,
19,aya,あやかしトライアングル,quest_image_aya_1,
20,mar,マリッジトキシン,quest_image_mar_1,
,,,,
,,,,
,,,,
イベントクエスト,,,,
作品_ID,クエストID,クエスト名,quest_thumbnail_asset,
kai,quest_event_kai1_1day,候補生としての入隊,kai1_1day_quest_select_cell,
kai,quest_event_kai1_charaget01,気に入らねェ 気に入らねェ,kai1_charaget01_quest_select_cell,
kai,quest_event_kai1_charaget02,怪獣８号の引き渡しを命ずる,kai1_charaget02_quest_select_cell,
kai,quest_event_kai1_challenge01,戦場で 力を示してみせろ ヒヨコども,kai1_challenge01_quest_select_cell,
kai,quest_event_kai1_savage,クラス『大怪獣』,kai1_savage_quest_select_cell,
spy,quest_event_spy1_1day,デイリークエスト,spy1_1day_quest_select_cell,
spy,quest_event_spy1_charaget01,ストーリークエスト1,spy1_charaget01_quest_select_cell,
spy,quest_event_spy1_charaget02,ストーリークエスト2,spy1_charaget02_quest_select_cell,
spy,quest_event_spy1_challenge01,チャレンジクエスト,spy1_challenge01_quest_select_cell,
spy,quest_event_spy1_savage,高難易度クエスト,spy1_savage_quest_select_cell,
