作品_ID,作品名,接頭語（カテゴリー）,アイテム_ID,assetKey,drop_ID,アイテム名,レアリティ,最大所持数,フレーバーテキスト,アイテム備考,start_date,リリースキー
原画のかけら1枚原画完成ダイアログ用（524*524）ID 解像度高い方,,,,,,,,,,,,
spy,SPY×FAMILY,artwork,artwork_spy_0001,artwork_spy_0001,,秘密の家族,-,1,"父はスパイ、母は殺し屋、娘は超能力者！？
全員が秘密を抱えた家族生活が始まる！",ノーマル,2025/9/24 15:00:00,202509010
spy,SPY×FAMILY,artwork,artwork_spy_0002,artwork_spy_0002,,素敵な家族,-,1,"共通認識を深めるために出かけた3人は、
協力してひったくりを捕まえる。",ハード,2025/9/24 15:00:00,202509010
spy,SPY×FAMILY,artwork,artwork_spy_0003,artwork_spy_0003,,明るい未来に！！,-,1,"イーデンでの面接試験の後、
落ち込むロイドを励ますために
お茶で乾杯！",Ex,2025/9/24 15:00:00,202509010
,,,,,,,,,,,,
gom,姫様“拷問”の時間です,artwork,artwork_gom_0001,artwork_gom_0001,,決して屈しない!,-,1,国王軍第三騎士団”騎士団長”にして王女の姫様は、魔王軍からの”拷問”に抵抗する!,ノーマル,2025/9/24 15:00:00,202509010
gom,姫様“拷問”の時間です,artwork,artwork_gom_0002,artwork_gom_0002,,姫様”拷問”の時間です,-,1,魔王軍 最高位拷問官のトーチャーは、どのような拷問をするのか・・・,ハード,2025/9/24 15:00:00,202509010
gom,姫様“拷問”の時間です,artwork,artwork_gom_0003,artwork_gom_0003,,姫様と最高位拷問官,-,1,拷問が終われば、立場を気にせずにパーティーだ!,Ex,2025/9/24 15:00:00,202509010
,,,,,,,,,,,,
aka,ラーメン赤猫,artwork,artwork_aka_0001,artwork_aka_0001,,新メニューの試食,-,1,"早起きした珠子に試食を頼む文蔵。​
もしかして、新メニュー！？",ノーマル,2025/9/24 15:00:00,202509010
aka,ラーメン赤猫,artwork,artwork_aka_0002,artwork_aka_0002,,話は聞かせてもらった！,-,1,"新メニュー開発に挑戦する文蔵。​
ラーメン赤猫のみんなで新メニュー開発だ！",ハード,2025/9/24 15:00:00,202509010
aka,ラーメン赤猫,artwork,artwork_aka_0003,artwork_aka_0003,,みんなでお昼寝,-,1,"昼営業と夜営業の間の休憩時間。​
至福のお昼寝タイム！",Ex,2025/9/24 15:00:00,202509010
,,,,,,,,,,,,
dan,ダンダダン,artwork,artwork_dan_0001,artwork_dan_0001,,オカルトの話しよーぜ,-,1,"度重なる危機を乗り越え、
なんだか友達になれそうな二人。",ノーマル,2025/9/24 15:00:00,202509010
dan,ダンダダン,artwork,artwork_dan_0002,artwork_dan_0002,,ターボババアをぶっ飛ばそう,-,1,オカルンの呪いを解くために、トンネルで再びターボババアと対峙する。,ハード,2025/9/24 15:00:00,202509010
dan,ダンダダン,artwork,artwork_dan_0003,artwork_dan_0003,,力が溢れてくるぜ・・・!!,-,1,ターボババアの呪いを解放した「オカルン」。超スピードで移動できるが、ネガティブになってしまう。,Ex,2025/9/24 15:00:00,202509010
,,,,,,,,,,,,
jig,地獄楽,artwork,artwork_jig_0001,artwork_jig_0001,,必ず生きて帰る　君のために・・・!!,-,1,帰りを待つ愛する人のために、決意する。,ノーマル,2025/9/24 15:00:00,202509010
jig,地獄楽,artwork,artwork_jig_0002,artwork_jig_0002,,強さの種,-,1,"立場の違う2人。
情に向き合うことで、知ることができる本心",ハード,2025/9/24 15:00:00,202509010
jig,地獄楽,artwork,artwork_jig_0003,artwork_jig_0003,,極楽浄土の醜怪,-,1,極楽浄土にいたのは、人でも神でもない醜怪だった。,Ex,2025/9/24 15:00:00,202509010
,,,,,,,,,,,,
tak,タコピーの原罪,artwork,artwork_tak_0001,artwork_tak_0001,,チャッピー,-,1,"小さい頃からずーっと一緒​
チャッピーがいれば私は大丈夫​
何があったって平気なの​",ノーマル,2025/9/24 15:00:00,202509010
tak,タコピーの原罪,artwork,artwork_tak_0002,artwork_tak_0002,,連れてってほしいっピ！,-,1,"しずかちゃんを笑顔にするために、​
しずかちゃんをもっと知るために、​
連れてってほしいっピ！​",ハード,2025/9/24 15:00:00,202509010
tak,タコピーの原罪,artwork,artwork_tak_0003,artwork_tak_0003,,共犯,-,1,"チャッピーを探しにいくため、​
3人（？）は協力関係に。​",Ex,2025/9/24 15:00:00,202509010
,,,,,,,,,,,,
chi,チェンソーマン,artwork,artwork_chi_0001,artwork_chi_0001,,邪魔者は全て,-,1,"デビルハンターとして雇われてるからにゃ悪魔は…
ぶっ殺さねえとなあ！
",ノーマル,2025/9/24 15:00:00,202509010
chi,チェンソーマン,artwork,artwork_chi_0002,artwork_chi_0002,,早川 アキとの出会い,-,1,"三年先輩のデビルハンター、早川 アキ。​
デンジを見張るためにアキの部隊に入り、​
一緒の家で暮らすことに…！",ハード,2025/9/24 15:00:00,202509010
chi,チェンソーマン,artwork,artwork_chi_0003,artwork_chi_0003,,公安対魔特異４課,-,1,"公安に悪魔の駆除要請。​
公安対魔特異４課６人、全員集合！​",Ex,2025/9/24 15:00:00,202509010
,,,,,,,-,1,-,,,
kai,怪獣８号,artwork,artwork_kai_0001,artwork_kai_0001,,戦力解放！！,-,1,"怪獣襲来！
解放戦力１％になった、
今までとは違うカフカを見せてやる！",ノーマル,2025/9/24 15:00:00,202509010
kai,怪獣８号,artwork,artwork_kai_0002,artwork_kai_0002,,取るべき行動,-,1,"防衛隊員選別試験二次最終審査開始！
攻撃能力の低いカフカとレノの取るべき行動は…！？",ハード,2025/9/24 15:00:00,202509010
kai,怪獣８号,artwork,artwork_kai_0003,artwork_kai_0003,,あとは俺に任せろ,-,1,"防衛隊入隊試験中に現れた謎の大怪獣。
他の受験者を避難させる為に足止めをするキコルの前に、
怪獣8号が現れる…！！",Ex,2025/9/24 15:00:00,202509010
,,,,,,,-,,-,,,
sur,魔都精兵のスレイブ,artwork,artwork_sur_0001,artwork_sur_0001,,お前を私の奴隷にする,-,1,"魔都に迷い込んだ和倉 優希を助けた
魔防隊七番組組長、羽前 京香は、
突然奴隷にすると言い出し…！？",ノーマル,2025/9/24 15:00:00,202509010
sur,魔都精兵のスレイブ,artwork,artwork_sur_0002,artwork_sur_0002,,無窮の鎖,-,1,"無窮の鎖となった優希は、
驚異的な力を発揮する！",ハード,2025/9/24 15:00:00,202509010
sur,魔都精兵のスレイブ,artwork,artwork_sur_0003,artwork_sur_0003,,魔都精兵七番隊,-,1,"京香の奴隷となった優希は、
七番隊組寮の管理人となる！",Ex,2025/9/24 15:00:00,202509010
,,,,,,,-,1,-,,,
rik,トマトイプーのリコピン,artwork,artwork_rik_0001,artwork_rik_0001,,フワフワ乗り物の雲,-,1,"リコピンのパパが設計をしたフワフワ乗り物の雲！
他にも食べられる雲やインテリア雲があるぞ！",ノーマル,2025/9/24 15:00:00,202509010
rik,トマトイプーのリコピン,artwork,artwork_rik_0002,artwork_rik_0002,,めめちゃんの世界へようこそ,-,1,"めめちゃんの世界に来てしまったリコピン！
洗濯をしたり、不燃ごみをまとめたり…！？",ハード,2025/9/24 15:00:00,202509010
rik,トマトイプーのリコピン,artwork,artwork_rik_0003,artwork_rik_0003,,はじめましてぼくリコピン,-,1,"リコピンはトマトの苗から生まれたトイプードル！
トマトイプーの3さいの男の子なんだよ！",Ex,2025/9/24 15:00:00,202509010
,,,,,,,-,1,-,,,
mag,株式会社マジルミエ,artwork,artwork_mag_0001,artwork_mag_0001,,初めての変身,-,1,"魔法少女としての初仕事！​
出動前に変身だ！",ノーマル,2025/9/24 15:00:00,202509010
mag,株式会社マジルミエ,artwork,artwork_mag_0002,artwork_mag_0002,,業務完了！,-,1,"面接中に現れた怪異に対応すべく現れた​
魔法少女・越谷 仁美。",ハード,2025/9/24 15:00:00,202509010
mag,株式会社マジルミエ,artwork,artwork_mag_0003,artwork_mag_0003,,飛ばすよ！,-,1,"初めての仕事、初めてのホーキ、初めての魔法！
初めてでももう立派な魔法少女。",Ex,2025/9/24 15:00:00,202509010
,,,,,,,-,1,-,,,
sum,サマータイムレンダ,artwork,artwork_sum_0001,artwork_sum_0001,,言うてる場合かっ！！！,-,1,"見つからないように人混みの中を駆け抜ける
慎平と潮。",ノーマル,2025/9/24 15:00:00,202509010
sum,サマータイムレンダ,artwork,artwork_sum_0002,artwork_sum_0002,,ちゃんと見つけてよ,-,1,"夏祭りの人混みで潮を見かけたような気がして
向かった先の浜辺には潮の姿が…！？",ハード,2025/9/24 15:00:00,202509010
sum,サマータイムレンダ,artwork,artwork_sum_0003,artwork_sum_0003,,言おうと思てたことあんねん,-,1,"
浜辺で再会した、死んだはずの幼馴染潮。
彼女は、慎平に再会できたら
言おうと思っていたことがあるという。",Ex,2025/9/24 15:00:00,202509010
,,,,,,,-,,,,,
glo,GLOW,artwork,artwork_tutorial_0001,artwork_tutorial_0001,,希望のコマ,-,1,,チュートリアル初期設定。最初から持ち物に所持。,2025/9/24 15:00:00,"202509010
※チュートリアル使用"
glo,GLOW,artwork,artwork_glo_0002,artwork_glo_0002,,ジャンプラバースファントム侵攻,-,1,侵略されたジャンプラバースの画像,エネミー専用のゲート原画,2025/9/24 15:00:00,"202509010
※チュートリアル使用"
,,,,,,,,,,,,
osh,【推しの子】,artwork,artwork_osh_0001,artwork_osh_0001,,激バズ！本能のヲタ芸！,-,1,"推しへの愛が高まりすぎた双子の赤ちゃんが
ヲタ芸を打つという異常事態に思わずアイドルも個レス！",ノーマル,2025-01-01 0:00:00,202512020
osh,【推しの子】,artwork,artwork_osh_0002,artwork_osh_0002,,やっと言えた,-,1,この言葉は絶対 嘘じゃない,ハード,2025-01-01 0:00:00,202512020
osh,【推しの子】,artwork,artwork_osh_0003,artwork_osh_0003,,いってきます,-,1,"かくして幼少期(プロローグ)は終わり
それぞれの想いを胸に、新たな物語の幕が上がる",Ex,2025-01-01 0:00:00,202512020
,,,,,,,,,,,,
you,幼稚園WARS,artwork,artwork_you_0001,artwork_you_0001,,,-,1,,,,
you,幼稚園WARS,artwork,artwork_you_0002,artwork_you_0002,,,-,1,,,,
you,幼稚園WARS,artwork,artwork_you_0003,artwork_you_0003,,,-,1,,,,
,,,,,,,,,,,,
aya,あやかしトライアングル,artwork,artwork_aya_0001,artwork_aya_0001,,,-,1,,,,
aya,あやかしトライアングル,artwork,artwork_aya_0002,artwork_aya_0002,,,-,1,,,,
aya,あやかしトライアングル,artwork,artwork_aya_0003,artwork_aya_0003,,,-,1,,,,
,,,,,,,,,,,,
mar,マリッジトキシン,artwork,artwork_mar_0001,artwork_mar_0001,,,-,1,,,,
mar,マリッジトキシン,artwork,artwork_mar_0002,artwork_mar_0002,,,-,1,,,,
mar,マリッジトキシン,artwork,artwork_mar_0003,artwork_mar_0003,,,-,1,,,,
,,,,,,,,,,,,
原画のかけら　イベント用,,,,,,,,,,,,
,,,,,,,,,,,,
kai,怪獣８号,artwork_event,artwork_event_kai_0001,artwork_event_kai_0001,,ぶち抜くから歯食いしばれ,-,1,傷付いた仲間を想い、怪獣９号へ怒りをむき出しに。怒りを乗せたその拳で怪獣９号の討伐へ挑む。,イベントクエスト,2025-09-22 0:00:00,202509010
kai,怪獣８号,artwork_event,artwork_event_kai_0002,artwork_event_kai_0002,,うん ずっと待ってる,-,1,四ノ宮 功との戦いで怪獣８号に変身した日比野 カフカ。激闘の中で荒ぶる怪獣の本能に身を蝕まれ暴走するも、亜白 ミナとの約束が彼を再び人へと引き戻した。,イベントクエスト,2025-09-22 0:00:00,202509010
