作品_ID,作品名,接頭語（カテゴリー）,chara_id,アイテム_ID,assetKey,原画名,レアリティ,最大所持数,フレーバーテキスト,入手箇所,リリースキー,指示書関連ページURL,"カットイン原画pngファイル保存先URL
（グレード5強化で獲得できる原画）",原作ページ数,備考
原画のかけら1枚原画完成ダイアログ用（524*524）ID 解像度高い方,,,,,,,,,,,,,,,
spy,SPY×FAMILY,artwork,不要,artwork_spy_0001,artwork_spy_0001,秘密の家族,R,1,"父はスパイ、母は殺し屋、娘は超能力者！？
全員が秘密を抱えた家族生活が始まる！",ノーマル,202509010,,,,
spy,SPY×FAMILY,artwork,不要,artwork_spy_0002,artwork_spy_0002,素敵な家族,SR,1,"共通認識を深めるために出かけた3人は、
協力してひったくりを捕まえる。",ハード,202509010,,,,
spy,SPY×FAMILY,artwork,不要,artwork_spy_0003,artwork_spy_0003,明るい未来に！！,SSR,1,"イーデンでの面接試験の後、
落ち込むロイドを励ますために
お茶で乾杯！",Ex,202509010,,,,
,,,,,,,,,,,,,,,
gom,姫様“拷問”の時間です,artwork,不要,artwork_gom_0001,artwork_gom_0001,決して屈しない!,R,1,国王軍第三騎士団”騎士団長”にして王女の姫様は、魔王軍からの”拷問”に抵抗する!,ノーマル,202509010,,,,
gom,姫様“拷問”の時間です,artwork,不要,artwork_gom_0002,artwork_gom_0002,姫様”拷問”の時間です,SR,1,魔王軍 最高位拷問官のトーチャーは、どのような拷問をするのか・・・,ハード,202509010,,,,
gom,姫様“拷問”の時間です,artwork,不要,artwork_gom_0003,artwork_gom_0003,姫様と最高位拷問官,SSR,1,拷問が終われば、立場を気にせずにパーティーだ!,Ex,202509010,,,,
,,,,,,,,,,,,,,,
aka,ラーメン赤猫,artwork,不要,artwork_aka_0001,artwork_aka_0001,新メニューの試食,R,1,"早起きした珠子に試食を頼む文蔵。​
もしかして、新メニュー！？",ノーマル,202509010,,,,
aka,ラーメン赤猫,artwork,不要,artwork_aka_0002,artwork_aka_0002,話は聞かせてもらった！,SR,1,"新メニュー開発に挑戦する文蔵。​
ラーメン赤猫のみんなで新メニュー開発だ！",ハード,202509010,,,,
aka,ラーメン赤猫,artwork,不要,artwork_aka_0003,artwork_aka_0003,みんなでお昼寝,SSR,1,"昼営業と夜営業の間の休憩時間。​
至福のお昼寝タイム！",Ex,202509010,,,,
,,,,,,,,,,,,,,,
dan,ダンダダン,artwork,不要,artwork_dan_0001,artwork_dan_0001,オカルトの話しよーぜ,R,1,"度重なる危機を乗り越え、
なんだか友達になれそうな二人。",ノーマル,202509010,,,,
dan,ダンダダン,artwork,不要,artwork_dan_0002,artwork_dan_0002,ターボババアをぶっ飛ばそう,SR,1,オカルンの呪いを解くために、トンネルで再びターボババアと対峙する。,ハード,202509010,,,,
dan,ダンダダン,artwork,不要,artwork_dan_0003,artwork_dan_0003,力が溢れてくるぜ・・・!!,SSR,1,ターボババアの呪いを解放した「オカルン」。超スピードで移動できるが、ネガティブになってしまう。,Ex,202509010,,,,
,,,,,,,,,,,,,,,
jig,地獄楽,artwork,不要,artwork_jig_0001,artwork_jig_0001,必ず生きて帰る　君のために・・・!!,R,1,帰りを待つ愛する人のために、決意する。,ノーマル,202509010,,,,
jig,地獄楽,artwork,不要,artwork_jig_0002,artwork_jig_0002,強さの種,SR,1,"立場の違う2人。
情に向き合うことで、知ることができる本心",ハード,202509010,,,,
jig,地獄楽,artwork,不要,artwork_jig_0003,artwork_jig_0003,極楽浄土の醜怪,SSR,1,極楽浄土にいたのは、人でも神でもない醜怪だった。,Ex,202509010,,,,
,,,,,,,,,,,,,,,
tak,タコピーの原罪,artwork,不要,artwork_tak_0001,artwork_tak_0001,チャッピー,R,1,"小さい頃からずーっと一緒​
チャッピーがいれば私は大丈夫​
何があったって平気なの​",ノーマル,202509010,,,,
tak,タコピーの原罪,artwork,不要,artwork_tak_0002,artwork_tak_0002,連れてってほしいっピ！,SR,1,"しずかちゃんを笑顔にするために、​
しずかちゃんをもっと知るために、​
連れてってほしいっピ！​",ハード,202509010,,,,
tak,タコピーの原罪,artwork,不要,artwork_tak_0003,artwork_tak_0003,共犯,SSR,1,"チャッピーを探しにいくため、​
3人（？）は協力関係に。​",Ex,202509010,,,,
,,,,,,,,,,,,,,,
