種類,掲載内容,作品ID,識別名称,識別番号,お知らせバナーID,昇格タグ,備考
パック,【お一人様1回まで購入可】わくわく アーニャ パック,spy,shop_pack_,00001,notice_shop_pack_00001,,
パック,"まとめお知らせ
・【お一人様1回まで購入可】スタートダッシュパック
・【お一人様1回まで購入可】スタートダッシュジャンブルパック
・【毎日更新】強化パック",glo,shop_pack_,00002,notice_shop_pack_00002,,
パック,【お一人様1回まで購入可】いいジャン祭 開催記念パック,glo,shop_pack_,00003,notice_shop_pack_00003,,
パス,マンスリーパス,,shop_pass_,00001,notice_shop_pass_00001,,オミット
パス,ウィークリーパス,,shop_pass_,00002,notice_shop_pass_00002,,オミット
パス,プレミアムパス,,shop_pass_,00003,notice_shop_pass_00003,,
イベント,怪獣8号いいジャン祭,kai,event_kai_,00001,notice_event_kai_00001,event_kai_00001_01,
ガシャ,怪獣8号いいジャン祭ピックアップガシャ,kai,gacha_kai_,00001,notice_gacha_kai_00001,event_kai_00001_01,
ガシャ,有償限定UR確定10連ガシャ,,gacha_,00001,notice_gacha_00001,,
キャンペーン,特別割引プリズム,,campaign_,00001,notice_campaign_00001,,
その他,メンテ告知,,other_,00001,notice_other_00001,,
その他,アプデ告知,,other_,00002,notice_other_00002,,
キャンペーン,キャンペーンお知らせ,,campaign_,00002,notice_campaign_00002,,
ランクマッチ,ランクマッチ特別ルールのお知らせ,,pvp_,00001,notice_pvp_00001,,
パック,【お一人様1回まで購入可】スタートダッシュパック,,shop_pack_,00004,notice_shop_pack_00004,,
パック,【お一人様1回まで購入可】スタートダッシュジャンブルパック,,shop_pack_,00005,notice_shop_pack_00005,,
ガシャ,SPY×FAMILYいいジャン祭ピックアップガシャA,spy,gacha_spy_,00001,notice_gacha_spy_00001,event_spy_00001_01,
ガシャ,SPY×FAMILYいいジャン祭ピックアップガシャB,spy,gacha_spy_,00002,notice_gacha_spy_00002,event_spy_00001_01,
イベント,SPY×FAMILYいいジャン祭,spy,event_spy_,00001,notice_event_spy_00001,event_spy_00001_01,
ガシャ,ダンダダン いいジャン祭ピックアップガシャ A,dan,gacha_dan_,00001,notice_gacha_dan_00001,event_dan_00001_01,
ガシャ,ダンダダン いいジャン祭ピックアップガシャ B,dan,gacha_dan_,00002,notice_gacha_dan_00002,event_dan_00001_01,
イベント,ダンダダン いいジャン祭,dan,event_dan_,00001,notice_event_dan_00001,event_dan_00001_01,
ガシャ,72時間限定スタートダッシュガシャ,startdash,gacha_startdash_,00001,notice_gacha_startdash_00001,,
ガシャ,2.5次元の誘惑 いいジャン祭ピックアップガシャA,yuw,gacha_yuw_,00001,notice_gacha_yuw_00001,event_yuw_00001_01,
ガシャ,2.5次元の誘惑 いいジャン祭ピックアップガシャB,yuw,gacha_yuw_,00002,notice_gacha_yuw_00002,event_yuw_00001_01,
イベント,2.5次元の誘惑 いいジャン祭,yuw,event_yuw_,00001,notice_event_yuw_00001,event_yuw_00001_01,
ガシャ,クリスマス限定フェスガシャ,glo,gacha_glo_,00001,notice_gacha_glo_00001,event_yuw_00001_01,
パック,・BLACK FRIDAY お得パック・A,glo,shop_pack_,00006,notice_shop_pack_00006,,
パック,・BLACK FRIDAY お得パック・B,glo,shop_pack_,00007,notice_shop_pack_00007,,
パック,・BLACK FRIDAY お得パック・C,glo,shop_pack_,00008,notice_shop_pack_00008,,
パック,"BLACK FRIDAYパック お得なパック登場お知らせ
まとめお知らせ
・BLACK FRIDAY お得パック・A
・BLACK FRIDAY お得パック・B
・BLACK FRIDAY お得パック・C",glo,shop_pack_,00009,notice_shop_pack_00009,,
キャンペーン,BLACK FRIDAYお得プリズム,glo,campaign_,00003,notice_campaign_00003,,
パック,クリスマス お得パック・A,glo,shop_pack_,00010,notice_shop_pack_00010,,
パック,クリスマス お得パック・B,glo,shop_pack_,00011,notice_shop_pack_00011,,
パック,クリスマス お得パック・C,glo,shop_pack_,00012,notice_shop_pack_00012,,
パック,"クリスマスパック お得なパック登場お知らせ
まとめお知らせ
・クリスマス お得パック・A
・クリスマス お得パック・B
・クリスマス お得パック・C",glo,shop_pack_,00013,notice_shop_pack_00013,,
キャンペーン,クリスマスお得プリズム,glo,campaign_,00004,notice_campaign_00004,,
降臨バトル,降臨バトル「怪獣退治の時間」,kai,advent_kai_,00001,notice_advent_kai_00001,,
降臨バトル,降臨バトル「業務実行!!」,mag,advent_mag_,00001,notice_advent_mag_00001,,
降臨バトル,降臨バトル「夏コミの魔物」,yuw,advent_yuw_,00001,notice_advent_yuw_00001,,
降臨バトル,降臨バトル「魔防隊と戦う者」,sur,advent_sur_,00001,notice_advent_sur_00001,,
降臨バトル,汎用の降臨バトル開催バナー,glo,advent_glo_,00001,notice_advent_glo_00001,,
パック,お得強化パック,glo,shop_pack_,00014,notice_shop_pack_00014,,
ガシャ,地獄楽 いいジャン祭ピックアップガシャA,jig,gacha_jig_,00001,notice_gacha_jig_00001,,
ガシャ,地獄楽 いいジャン祭ピックアップガシャB,jig,gacha_jig_,00002,notice_gacha_jig_00002,,
ガシャ,幼稚園WARS いいジャン祭ピックアップガシャ,you,gacha_you_,00001,notice_gacha_you_00001,,
,,,,,,,
SNS,みかりシルエット（SNS）,glo,sns_,00001,notice_sns_00001,,
SNS,アイシルエット（SNS）,glo,sns_,00002,notice_sns_00002,,
キャンペーン,冬のWフェス告知,glo,campaign_,00005,notice_campaign_00005,,
SNS,冬のWフェス告知（SNS）,glo,sns_,00003,notice_sns_00003,,
SNS,冬のWフェスキャンペーン（SNS）_アイ,glo,sns_,00004,notice_sns_00004,,
SNS,冬のWフェスキャンペーン（SNS）_美花莉,glo,sns_,00005,notice_sns_00005,,
キャンペーン,【投稿促進施策】美花莉に愛❤️を届けよう！,glo,campaign_,00006,notice_campaign_00006,,
SNS,【投稿促進施策】美花莉に愛❤️を届けよう！（SNS）,glo,sns_,00006,notice_sns_00006,,
SNS,"【投稿促進施策】美花莉に愛❤️を届けよう！
リアクション１（SNS）",glo,sns_,00007,notice_sns_00007,,
SNS,"【投稿促進施策】美花莉に愛❤️を届けよう！
リアクション２（SNS）",glo,sns_,00008,notice_sns_00008,,
SNS,"【投稿促進施策】美花莉に愛❤️を届けよう！
リアクション３（SNS）",glo,sns_,00009,notice_sns_00009,,
SNS,"【投稿促進施策】美花莉に愛❤️を届けよう！
プレゼント",glo,sns_,00010,notice_sns_00010,,
キャンペーン,【推しの子】参戦決定,osh,campaign_,00007,notice_campaign_00007,,
キャンペーン,"配布用テンプレート（M）
特別プレゼント　ロゴと汎用の報酬のみ（プリズムとコイン）キャラなし",glo,campaign_,00008,notice_campaign_00008,,
SNS,"配布用テンプレート（SNS、）
特別プレゼント　ロゴと汎用の報酬のみ（プリズムとコイン）キャラなし",glo,sns_,00011,notice_sns_00011,,
キャンペーン,「冬のWフェス」開催決定記念！特別プレゼント、Mバナー,glo,campaign_,00009,notice_campaign_00009,,
キャンペーン,ジャンプフェスタ出展！特別プレゼント、Mバナー,glo,campaign_,00010,notice_campaign_00010,,
キャンペーン,フェス開催記念特別プレゼント、Mバナー,glo,campaign_,00011,notice_campaign_00011,,
降臨バトル,降臨バトル「ファーストライブ」,osh,advent_osh_,00001,notice_advent_osh_00001,,
その他,【お知らせ_Mバナー】メインクエスト追加,glo,other_,00003,notice_other_00003,,
ガシャ,【お知らせ_Mバナー】正月DXフェスガシャ,glo,gacha_glo_,00002,notice_gacha_glo_00002,,
ガシャ,【お知らせ_Mバナー】【推しの子】いいジャン祭ピックアップガシャ,osh,gacha_osh_,00001,notice_gacha_osh_00001,,
ガシャ,【お知らせ_Mバナー】【推しの子】いいジャン祭SSR確定チケットガシャ,osh,gacha_osh_,00002,notice_gacha_osh_00002,,
交換所,【お知らせ_Mバナー】【推しの子】いいジャン祭 交換所,osh,exchange_osh_,00001,notice_exchange_osh_00001,,
SNS,【推しの子】カウントダウンSNSキャンペーン,osh,sns_,00012,notice_sns_00012,,
SNS,【推しの子】カウントダウンSNSキャンペーン（アイ）,osh,sns_,00013,notice_sns_00013,,
SNS,【推しの子】カウントダウンSNSキャンペーン（ルビー）,osh,sns_,00014,notice_sns_00014,,
SNS,【推しの子】カウントダウンSNSキャンペーン（MEMちょ）,osh,sns_,00015,notice_sns_00015,,
SNS,【推しの子】カウントダウンSNSキャンペーン（あかね）,osh,sns_,00016,notice_sns_00016,,
SNS,【推しの子】カウントダウンSNSキャンペーン（かな）,osh,sns_,00017,notice_sns_00017,,
ガシャ,【お知らせ_Mバナー】2026年正月記念！UR1体確定ガシャ,glo,gacha_glo_,00003,notice_gacha_glo_00003,,
SNS,SNS新年2026年カウントダウンギフト配布,glo,sns_,00018,notice_sns_00018,,
キャンペーン,【お知らせ_Mバナー】新年2026年カウントダウンギフト配布,glo,campaign_,00012,notice_campaign_00012,,
キャンペーン,【お知らせ】Mバナー】最大100連無料！正月キャンペーン,glo,campaign_,00013,notice_campaign_00013,,
その他,【お知らせ_Mバナー】年賀状2026年,glo,other_,00004,notice_other_00004,,
ガシャ,【お知らせ_Mバナー】初夢ガシャ 2026,glo,gacha_glo_,00004,notice_gacha_glo_00004,,
ガシャ,【お知らせ_Mバナー】賀正ガシャ 2026,glo,gacha_glo_,00005,notice_gacha_glo_00005,,
パック,正月 DXお得パック梅,glo,shop_pack_,00015,notice_shop_pack_00015,,
パック,正月 DXお得パック竹,glo,shop_pack_,00016,notice_shop_pack_00016,,
パック,正月 DXお得パック松,glo,shop_pack_,00017,notice_shop_pack_00017,,
パック,"お正月パック お得なパック登場お知らせ
まとめお知らせ
・お正月 DXお得パック梅
・お正月 DXお得パック竹
・お正月 DXお得パック松",glo,shop_pack_,00018,notice_shop_pack_00018,,
パック,お正月 超DX ジャンブルパック,glo,shop_pack_,00019,notice_shop_pack_00019,,
キャンペーン,お正月お得プリズム,glo,campaign_,00014,notice_campaign_00014,,
パス,謹賀新年パス,glo,shop_pass_,00004,notice_shop_pass_00004,,
その他,クリスマス限定！高難易度！お知らせMバナー,glo,other_,00005,notice_other_00005,,
ガシャ,君のことが大大大大大好きな100人の彼女 いいジャン祭ピックアップガシャ,kim,gacha_kim_,00001,notice_gacha_kim_00001,,
