,,,,,
■ID設定ルールについて,,,,,
,,"番号以外も指定可能になった
※万が一作品IDなどで被りが生まれるなどイレギュラーがありましたら、別途ルール追加いただいて問題ございません。
ただし、関係各所への共有を忘れないこと！！",,,
,,カテゴリー,ID付与ルール,最大ID桁数,
,,作品,"作品のローマ字表記の先頭3文字からとったものとする。
小文字表記。
例）『SPY×FAMILY』ならspyとなる。",3桁,
,,キャラ,"キャラクターIDは接頭語(chara)+作品ID3桁+5桁のIDで管理する。
敵としてのみ登場するキャラの場合は接頭語がenemyとなる。
例）アーニャの場合、chara_spy_00001、2体目（別のアーニャ）はchara_spy_00002となる。
同じ作品のロイドは、chara_spy_00100となる。1IPの1キャラにつき99番のIDを割り振れる。
敵キャラも同様のルール
同時期かつ同名キャラに関して、別IDを取得する
例）極楽蝶（遠）　enemy_jig_00401
　　極楽蝶（近）　enemy_jig_00402",15桁,"2026/1/13
一部文言修正"
,,アバターアイコン,"キャラと同じルール。
接頭語がcharaからiconになったのみ。
例）スパイファミリーのキャラで00001のアーニャのアイコンの場合は、下記となる。
unit_icon_chara_spy_00001

もしエネミーのアバターアイコンを配布など割り振りが必要な場合は、charaの箇所をenemyに変更してIDを採番する。",25桁,
,,クエスト,"接頭語(quest)+クエストの難易度+クエストカテゴリー+作品ID3桁+5桁のIDで管理する。
クエストの難易度設定がないものに関しては、nullとなる。クエストカテゴリーは、メインクエスト、特集祭などのイベントなどがある。

例）メインクエストのノーマルの難易度のダンダダンのクエストの場合は、下記となる。
quest_main_normal_dan_00001",32桁,
,,アイテム,"接頭語(各カテゴリー)+作品ID3桁+5桁のIDで管理する。
それぞれカテゴリー別で接頭語が決まっているので注意すること。
例）プリズムであれば、下記となる。
prism_glo_00001",19桁,
,,図鑑,"接頭語(book)+作品ID3桁+5桁のIDで管理する。
例）スパイファミリーの図鑑の場合は、下記となる。
book_spy_00001",14桁,
,,エンブレム,"接頭語(emblem)+エンブレムカテゴリー+作品ID3桁+5桁のIDで管理する。

例）ダンダダンの特集祭で入手できるエンブレムの場合は、下記となる。
emblem_event_spy_00001",24桁,
,,背景,"接頭語(background)+作品ID3桁+5桁のIDで管理する。
作品毎の背景で最大99999番まで割り振ることが可能。
また、汎用背景に関しては、作品IDをgloとして管理する。
例）スパイファミリーの背景の場合は、下記となる。
background_spy_00001",20桁,
,,コンテンツ,"接頭語(contents)+コンテンツカテゴリー+作品ID3桁+5桁のIDで管理する。
コンテンツカテゴリーには、event、training、duel、raid、limitedがある。
例）ラーメン赤猫の大特集祭の場合は、下記となる。
contents_event_aha_00001",24桁,
,,BGM,"BGMは画面遷移図の大分類の管理番号+サウンド数で管理する。
例）タイトル画面であれば下記となる
SBG_011_001",11桁,
,,キャラアイコン,"キャラの頭にさらに接頭語を追加します。
接頭語がcharaの頭にpicon or eiconをつけるのみ。
例）スパイファミリーのキャラで00001のアーニャのアイコンの場合は、下記となる。
picon_chara_spy_00001、eicon_chara_spy_00001
敵onlyのキャラはeiconのみで良い
eicon_enemy_spy_00001",21桁,
,,ゲート,"ゲートIDは接頭語(outpost)+作品ID3桁+5桁のIDで管理する。
敵キャラの場合は接頭語がenemyとなる。
例）姫+エクスの場合、outpost_gom_00001、2個目（別の姫）はoutpost_gom_00002となる。
同じ作品について別キャラであっても実装順に連番とする。エクスのみを実装したい場合outpost_gom_00003となる。最大で99999番のID割り振りが可能。
敵ゲートは、enemy_gom_00001から連番で使用するので、99999番のID割り振りが可能。",17桁,
