設定可,使用クエスト,作品_id,作品名,クエストカテゴリ,クエスト区分,クエスト番号,ステージ番号,演出種類,表示タイミング,名称追加,種類区別,表示区別,演出_asset_key ※設定ID併用,プレハブ名,使用場所,原作場面,監修通過の有無,psd差し替え,デプロイ
,,,,,,,,,,,,,"メインクエスト原画・セリフ演出の命名規則
main_クエスト番号_ステージ番号_作品id_演出種類_表示タイミング_名称追加",,,,,,
◎,メインクエスト,spy,SPY×FAMILY,main,normal,1,1,原画,開始,,genga_,_start,genga_spy_main_001_01_start,manga_animation_genga_spy_main_001_01_start,メイン1-1　開始時,,,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,1,原画,開始,,genga_,_start,genga_gom_main_002_01_start,manga_animation_genga_gom_main_002_01_start,メイン2-1　開始,1巻1話　初拷問の時間です,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,1,原画,クリア,,genga_,_victory,genga_gom_main_002_01_victory,manga_animation_genga_gom_main_002_01_victory,メイン2-1　クリア,1巻1話　トースト屈し,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,2,原画,開始,,genga_,_start,genga_gom_main_002_02_start,manga_animation_genga_gom_main_002_02_start,メイン2-2　開始,1巻2話　拷問の時間です,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,2,原画,クリア,,genga_,_victory,genga_gom_main_002_02_victory,manga_animation_genga_gom_main_002_02_victory,メイン2-2　クリア,1巻2話　たこ焼き屈し,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,3,原画,開始,,genga_,_start,genga_gom_main_002_03_start,manga_animation_genga_gom_main_002_03_start,メイン2-3　開始,1巻5話　クロル初登場,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,3,原画,クリア,,genga_,_victory,genga_gom_main_002_03_victory,manga_animation_genga_gom_main_002_03_victory,メイン2-3　クリア,1巻5話　キュイ屈し,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,4,原画,開始,,genga_,_start,genga_gom_main_002_04_start,manga_animation_genga_gom_main_002_04_start,メイン2-4　開始,1巻8話　拷問の時間です,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,4,原画,クリア,,genga_,_victory,genga_gom_main_002_04_victory,manga_animation_genga_gom_main_002_04_victory,メイン2-4　クリア,1巻8話　ゴリラのマーチ屈し,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,5,原画,開始,,genga_,_start,genga_gom_main_002_05_start,manga_animation_genga_gom_main_002_05_start,メイン2-5　開始,1巻11話　拷問の時間です,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,5,原画,クリア,,genga_,_victory,genga_gom_main_002_05_victory,manga_animation_genga_gom_main_002_05_victory,メイン2-5　クリア,1巻11話　深夜ラーメン屈し,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,6,原画,ボス出現,_torcher,genga_,_appear,genga_gom_main_002_06_appear_torcher,manga_animation_genga_gom_main_002_06_appear_torcher,メイン2-6　開始,トーチャー　拷問の時間です,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,6,原画,ボス出現,_kurol,genga_,_appear,genga_gom_main_002_06_appear_kurol,manga_animation_genga_gom_main_002_06_appear_kurol,メイン2-6　クロル出現,クロル　拷問の時間だ,通過済み,,
◎,メインクエスト,gom,姫様“拷問”の時間です,main,normal,2,6,原画,ボス出現,_hime,genga_,_appear,genga_gom_main_002_06_appear_hime,manga_animation_genga_gom_main_002_06_appear_hime,メイン2-6　姫様出現,姫様　チーズたこ焼き,通過済み,,
◎,メインクエスト,aka,ラーメン赤猫,main,normal,3,1,原画,開始,,genga_,_start,genga_aka_main_003_01_start,manga_animation_genga_aka_main_003_01_start,メイン3-1　開始時,,通過済み,,
◎,メインクエスト,aka,ラーメン赤猫,main,normal,3,2,原画,開始,,genga_,_start,genga_aka_main_003_02_start,manga_animation_genga_aka_main_003_02_start,メイン3-1　開始時,,通過済み,,
◎,メインクエスト,aka,ラーメン赤猫,main,normal,3,3,原画,開始,,genga_,_start,genga_aka_main_003_03_start,manga_animation_genga_aka_main_003_03_start,メイン3-1　開始時,,通過済み,,
◎,メインクエスト,aka,ラーメン赤猫,main,normal,3,1,原画,クリア,,genga_,_victory,genga_aka_main_003_01_victory,manga_animation_genga_aka_main_003_01_victory,メイン3-1　開始時,,通過済み,,
◎,メインクエスト,aka,ラーメン赤猫,main,normal,3,2,原画,クリア,,genga_,_victory,genga_aka_main_003_02_victory,manga_animation_genga_aka_main_003_02_victory,メイン3-1　開始時,,通過済み,,
◎,メインクエスト,aka,ラーメン赤猫,main,normal,3,3,原画,クリア,,genga_,_victory,genga_aka_main_003_03_victory,manga_animation_genga_aka_main_003_03_victory,メイン3-1　開始時,,通過済み,,
◎,メインクエスト,glo,GLOW,main,normal,4,1,原画,開始,,genga_,_start,genga_glo_main_004_01_start,manga_animation_genga_glo_main_004_01_start,メイン4-1　開始時,,監修待ち,,
