SEステータス,BGM発注,package名,分類,使用画面,使用画面ID,承認,BGM・SEの購入フローはこちら
未発注,未発注,common_se,汎用,汎用,000,未承認,
見積り依頼中,見積り依頼中,adv_se,ADV,タイトル,011,D承認,
WF申請中,WF申請中,cycle_se,サイクル,ホーム,012,P承認,
WF申請完了,発注済,battle_se,バトル,ヘッダー / フッター,021,,
発注済,欠番,skill_se,バトル,キャラ・編成・強化,031,,
納品済み,-,,,ゲート,032,,
欠番,,,,メインクエスト・ステージ,041,,
,,,,イベントクエスト,042,,
,,,,決闘,043,,
,,,,降臨バトル,044,,
,,,,リミテッドバトル,045,,
,,,,キャンペーン,050,,
,,,,インゲーム ,051,,
,,,,バトルリザルト,053,,
,,,,ミッション,061,,
,,,,ショップ,071,,
,,,,ショップ（専用画面）,072,,
,,,,法務関連ダイアログ,073,,
,,,,年齢確認,074,,
,,,,アイテムBOXリスト,081,,
,,,,図鑑,091,,
,,,,探索,111,,
,,,,メニュー（ホーム画面）,121,,
,,,,メニュー（タイトル画面）,122,,
,,,,共通,131,,
,,,,連携,200,,
,,,,その他 / 非画面など,800,,
,,,,チュートリアル,900,,
,,,,デバッグメニュー,994,,
,,,,セキュリティ,996,,
,,,,追加検討内容,997,,
,,,,ブラッシュアップ,998,,
,,,,バッファ,999,,
