種別,イベント番号,作品_ID,作品名,モチーフID,アイコンのモチーフ,stage_iconファイル名,備考
汎用,なし,なし,なし,coin,コイン,stage_icon_general_coin,
汎用,なし,なし,なし,diamond,プリズム,stage_icon_general_diamond,
汎用,なし,なし,なし,memory_00001,カラーメモリー・グレー,stage_icon_general_memory_00001,
汎用,なし,なし,なし,memory_00002,カラーメモリー・レッド,stage_icon_general_memory_00002,
汎用,なし,なし,なし,memory_00003,カラーメモリー・ブルー,stage_icon_general_memory_00003,
汎用,なし,なし,なし,memory_00004,カラーメモリー・イエロー,stage_icon_general_memory_00004,
汎用,なし,なし,なし,memory_00005,カラーメモリー・グリーン,stage_icon_general_memory_00005,
汎用,なし,なし,なし,fragment_00001,メモリーフラグメント・初級,stage_icon_general_fragment_00001,
汎用,なし,なし,なし,fragment_00002,メモリーフラグメント・中級,stage_icon_general_fragment_00002,
汎用,なし,なし,なし,fragment_00003,メモリーフラグメント・上級,stage_icon_general_fragment_00003,
汎用,なし,なし,なし,box_00001,ランダムRキャラのかけらBOX,stage_icon_general_box_00001,
汎用,なし,なし,なし,box_00002,ランダムSRキャラのかけらBOX,stage_icon_general_box_00002,
汎用,なし,なし,なし,box_00003,ランダムSSRキャラのかけらBOX,stage_icon_general_box_00003,
汎用,なし,なし,なし,box_00004,ランダムURキャラのかけらBOX,stage_icon_general_box_00004,
汎用,なし,なし,なし,box_00005,選べるRキャラのかけらBOX,stage_icon_general_box_00005,
汎用,なし,なし,なし,box_00006,選べるSRキャラのかけらBOX,stage_icon_general_box_00006,
汎用,なし,なし,なし,box_00007,選べるSSRキャラのかけらBOX,stage_icon_general_box_00007,
汎用,なし,なし,なし,box_00008,選べるURキャラのかけらBOX,stage_icon_general_box_00008,
汎用,なし,なし,なし,ticket_00001,ノーマルガシャチケット,stage_icon_general_ticket_00001,
汎用,なし,なし,なし,ticket_00002,ピックアップガシャチケット,stage_icon_general_ticket_00002,
汎用,なし,なし,なし,ticket_00003,スペシャルガシャチケット,stage_icon_general_ticket_00003,
汎用,なし,なし,なし,exchange_00001,いいジャン祭メダル【赤】,stage_icon_general_exchange_00001,
汎用,なし,なし,なし,exchange_00002,いいジャン祭メダル【青】,stage_icon_general_exchange_00002,
汎用,なし,なし,なし,exchange_00003,いいジャン祭メダル【緑】,stage_icon_general_exchange_00003,
汎用,なし,なし,なし,exchange_00004,いいジャン祭メダル【黄】,stage_icon_general_exchange_00004,
汎用,なし,なし,なし,box_item,いいジャンくじ券,stage_icon_general_box_item,⇦名称変わっても全アイテムデザインは共通の為、サムネイルもこのIDのもののみを使用する
,,,,,,,
イベント専用,1,kai,怪獣８号,1,キャラ_古橋 伊春,stage_icon_event_kai1_00001,
イベント専用,1,kai,怪獣８号,2,古橋伊春のかけら,stage_icon_event_kai1_00002,
イベント専用,1,kai,怪獣８号,3,カラーメモリー・古橋伊春,stage_icon_event_kai1_00003,
イベント専用,1,kai,怪獣８号,4,キャラ_四ノ宮 功,stage_icon_event_kai1_00004,
イベント専用,1,kai,怪獣８号,5,四ノ宮功のかけら,stage_icon_event_kai1_00005,
イベント専用,1,kai,怪獣８号,6,カラーメモリー・四ノ宮 功,stage_icon_event_kai1_00006,
イベント専用,1,kai,怪獣８号,7,保科宗四郎のかけら,stage_icon_event_kai1_00007,
イベント専用,1,kai,怪獣８号,8,亜白ミナのかけら,stage_icon_event_kai1_00008,
イベント専用,1,kai,怪獣８号,9,怪獣9号のエンブレム,stage_icon_event_kai1_00009,
イベント専用,1,kai,怪獣８号,10,怪獣10号のエンブレム,stage_icon_event_kai1_00010,
,,,,,,,
イベント専用,1,spy,SPY×FAMILY,1,キャラ_ダミアン・デズモンド,stage_icon_event_spy1_00001,
イベント専用,1,spy,SPY×FAMILY,2,ダミアン・デズモンドのかけら,stage_icon_event_spy1_00002,
イベント専用,1,spy,SPY×FAMILY,3,カラーメモリー・ダミアン・デズモンド,stage_icon_event_spy1_00003,
イベント専用,1,spy,SPY×FAMILY,4,キャラ_フランキー・フランクリン,stage_icon_event_spy1_00004,
イベント専用,1,spy,SPY×FAMILY,5,フランキー・フランクリンのかけら,stage_icon_event_spy1_00005,
イベント専用,1,spy,SPY×FAMILY,6,カラーメモリー・フランキー・フランクリン,stage_icon_event_spy1_00006,
イベント専用,1,spy,SPY×FAMILY,7,ユーリ・ブライアのかけら,stage_icon_event_spy1_00007,
イベント専用,1,spy,SPY×FAMILY,8,<いばら姫> ヨルのかけら,stage_icon_event_spy1_00008,
イベント専用,1,spy,SPY×FAMILY,9,ロイドのかけら,stage_icon_event_spy1_00009,
イベント専用,1,spy,SPY×FAMILY,10,エンブレム,stage_icon_event_spy1_00010,
,,,,,,,
イベント専用,1,dan,ダンダダン,1,キャラ_招き猫 ターボババア,stage_icon_event_dan1_00001,
イベント専用,1,dan,ダンダダン,2,招き猫 ターボババアのかけら,stage_icon_event_dan1_00002,
イベント専用,1,dan,ダンダダン,3,カラーメモリー・招き猫 ターボババア,stage_icon_event_dan1_00003,
イベント専用,1,dan,ダンダダン,4,キャラ_アイラ,stage_icon_event_dan1_00004,
イベント専用,1,dan,ダンダダン,5,アイラのかけら,stage_icon_event_dan1_00005,
イベント専用,1,dan,ダンダダン,6,カラーメモリー・アイラ,stage_icon_event_dan1_00006,
イベント専用,1,dan,ダンダダン,7,アクさらの愛 アイラのかけら,stage_icon_event_dan1_00007,
イベント専用,1,dan,ダンダダン,8,ターボババアのマスクのエンブレム,stage_icon_event_dan1_00008,
イベント専用,1,dan,ダンダダン,9,アクさらのマスクのエンブレム,stage_icon_event_dan1_00009,
イベント専用,1,dan,ダンダダン,10,エンブレム,stage_icon_event_dan1_00010,
イベント専用,1,dan,ダンダダン,11,ターボババアの霊力 オカルンのかけら,stage_icon_event_dan1_00011,
イベント専用,1,dan,ダンダダン,12,モモのかけら,stage_icon_event_dan1_00012,
,,,,,,,
イベント専用,1,mag,株式会社マジルミエ,1,キャラ_重本 浩司,stage_icon_event_mag1_00001,
イベント専用,1,mag,株式会社マジルミエ,2,重本 浩司のかけら,stage_icon_event_mag1_00002,
イベント専用,1,mag,株式会社マジルミエ,3,カラーメモリー・重本 浩司,stage_icon_event_mag1_00003,
イベント専用,1,mag,株式会社マジルミエ,4,キャラ_槇野 あかね,stage_icon_event_mag1_00004,
イベント専用,1,mag,株式会社マジルミエ,5,槇野 あかねのかけら,stage_icon_event_mag1_00005,
イベント専用,1,mag,株式会社マジルミエ,6,カラーメモリー・槇野 あかね,stage_icon_event_mag1_00006,
イベント専用,1,mag,株式会社マジルミエ,7,冷淡な精密機械　土刃 メイのかけら,stage_icon_event_mag1_00007,
イベント専用,1,mag,株式会社マジルミエ,8,葵 リリーかけら,stage_icon_event_mag1_00008,
イベント専用,1,mag,株式会社マジルミエ,9,桜木 カナの変身アイテムのエンブレム,stage_icon_event_mag1_00009,
イベント専用,1,mag,株式会社マジルミエ,10,葵 リリーの変身アイテムのエンブレム,stage_icon_event_mag1_00010,
イベント専用,1,mag,株式会社マジルミエ,11,新人魔法少女 桜木 カナのかけら,stage_icon_event_mag1_00011,
,,,,,,,
イベント専用,1,yuw,2.5次元の誘惑,1,キャラ_753♡,stage_icon_event_yuw1_00001,
イベント専用,1,yuw,2.5次元の誘惑,2,753♡のかけら,stage_icon_event_yuw1_00002,
イベント専用,1,yuw,2.5次元の誘惑,3,753♡のメモリー,stage_icon_event_yuw1_00003,
イベント専用,1,yuw,2.5次元の誘惑,4,キャラ_奥村 正宗,stage_icon_event_yuw1_00004,
イベント専用,1,yuw,2.5次元の誘惑,5,奥村 正宗のかけら,stage_icon_event_yuw1_00005,
イベント専用,1,yuw,2.5次元の誘惑,6,奥村 正宗メモリー,stage_icon_event_yuw1_00006,
イベント専用,1,yuw,2.5次元の誘惑,7,リリエルに捧ぐ愛 天乃 リリサのかけら,stage_icon_event_yuw1_00007,
イベント専用,1,yuw,2.5次元の誘惑,8,コスプレに託す乙女心　橘 美花莉のかけら,stage_icon_event_yuw1_00008,
イベント専用,1,yuw,2.5次元の誘惑,9,勇気を纏うコスプレ 乃愛のかけら,stage_icon_event_yuw1_00009,
イベント専用,1,yuw,2.5次元の誘惑,10,伝えたいウチの想い 喜咲 アリアのかけら,stage_icon_event_yuw1_00010,
イベント専用,1,yuw,2.5次元の誘惑,11,エンブレム：ラスタロッテ,stage_icon_event_yuw1_00011,
イベント専用,1,yuw,2.5次元の誘惑,12,エンブレム：イコラ,stage_icon_event_yuw1_00012,
,,,,,,,
イベント専用,1,sur,魔都精兵のスレイブ,1,キャラ_無窮の鎖 和倉 優希,stage_icon_event_sur1_00001,
イベント専用,1,sur,魔都精兵のスレイブ,2,無窮の鎖 和倉 優希のかけら,stage_icon_event_sur1_00002,
イベント専用,1,sur,魔都精兵のスレイブ,3,無窮の鎖 和倉 優希のメモリー,stage_icon_event_sur1_00003,
イベント専用,1,sur,魔都精兵のスレイブ,4,キャラ_和倉 青羽,stage_icon_event_sur1_00004,
イベント専用,1,sur,魔都精兵のスレイブ,5,和倉 青羽のかけら,stage_icon_event_sur1_00005,
