ENABLE,release_key,id,opr_product_id,language,asset_key
e,202602010,54_ja,54,ja,
e,202602010,55_ja,55,ja,
e,202602010,56_ja,56,ja,
e,202602010,57_ja,57,ja,
e,202602010,58_ja,58,ja,
e,202602010,59_ja,59,ja,
e,202602010,60_ja,60,ja,
e,202602010,61_ja,61,ja,
e,202602010,62_ja,62,ja,
e,202602010,63_ja,63,ja,
e,202602010,79_ja,79,ja,increase_prism_00002
e,202602010,80_ja,80,ja,increase_prism_00002
e,202602010,81_ja,81,ja,increase_prism_00003
e,202602010,82_ja,82,ja,increase_prism_00004
e,202602010,83_ja,83,ja,increase_prism_00005
e,202602010,84_ja,84,ja,increase_prism_00006
