ENABLE,release_key,id,mst_store_product_id,language,price_ios,price_android,price_webstore,paid_diamond_price_ios,paid_diamond_price_android,paid_diamond_price_webstore
e,202602010,54_ja,54,ja,1980,1980,0,0,0,0
e,202602010,55_ja,55,ja,1980,1980,0,0,0,0
e,202602010,56_ja,56,ja,1980,1980,0,0,0,0
e,202602010,57_ja,57,ja,1980,1980,0,0,0,0
e,202602010,58_ja,58,ja,1980,1980,0,0,0,0
e,202602010,59_ja,59,ja,1980,1980,0,0,0,0
e,202602010,60_ja,60,ja,1980,1980,0,0,0,0
e,202602010,61_ja,61,ja,480,480,0,0,0,0
e,202602010,62_ja,62,ja,1480,1480,0,0,0,0
e,202602010,63_ja,63,ja,1980,1980,0,0,0,0
e,202602010,79_ja,79,ja,160,160,0,0,0,0
e,202602010,80_ja,80,ja,480,480,0,0,0,0
e,202602010,81_ja,81,ja,980,980,0,0,0,0
e,202602010,82_ja,82,ja,2480,2480,0,0,0,0
e,202602010,83_ja,83,ja,4980,4980,0,0,0,0
e,202602010,84_ja,84,ja,9480,9480,0,0,0,0
