,,,,,,,
,アニメーションフレーム割り出し方,,,,,,
,・spineのフレームを秒に変換する必要がある（spine30fps=1秒）,,,,,,
,・設定フレーム＝(spine秒/30)*50(unityフレーム),,,,,,
,例)spine桃,,,,,,
,通常,30,15,,,,
,必殺,60,30,,,,
,,,,,,,
,例,攻撃F,攻撃発生F,,,,
,通常,50,25,,,,
,必殺,100,50,,,,
,,,,,,,
,射程について,,,,,,
,以下の値の幅で設定する,,※Well_distanceは-0.01する,,,,
,＜射程＞,,,,,,
,・ディフェンスを盾役として前に出す,,,,,,
,ディフェンス,近距離,0.17,〜,0.22,,
,,中距離,0.3,〜,0.35,,
,,遠距離,0.6,以上,,,
,アタック,近距離,0.25,〜,0.3,,
,,中距離,0.35,〜,0.4,,
,,遠距離,0.6,以上,,,
,サポート,近距離,0.28,〜,0.33,,
,,中距離,0.38,〜,0.43,,
,,遠距離,0.6,以上,,,
,テクニカル,近距離,0.27,〜,0.32,,
,,中距離,0.37,〜,0.42,,
,,遠距離,0.52,以上,,,※参考　chara_gom_00201（クロル）の超遠距離は0.7で設定
,,,,,,,
,,,,,,,
,■射程設定レギュ,近距離,,中距離,,遠距離,
,ロール,素手,武器・道具,素手・武器・道具,特殊攻撃・投げ物・長物,攻撃を飛ばす,
,ディフェンス,0.17,0.22,0.3,0.35,0.52,
,アタック,0.25,0.3,0.35,0.4,0.6,
,サポート,0.28,0.33,0.38,0.43,0.63,
,テクニカル,0.27,0.32,0.37,0.42,0.62,
,,,,,,,
,例：ディフェンス射程数値幅のイメージ,,,,,,
,近距離,0.17,素手で戦う(ド近距離),,,,
,近距離,0.22,武器・道具などで戦う,,,,
,中距離,0.3,素手・武器・道具(近距離よりはリーチが長いイメージ),,,,
,中距離,0.35,(特殊能力やセフィロスの超長刀など道具でも距離長いイメージあればアリ),,,,
,,,,,,,
,その他順次追加,,,,,,
