,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■シミュレーション,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,特筆事項,,,,,,,,,,,,,,,,実装日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lv,HP回復,⚪︎⚪︎効果,,,,,,,
,"スペシャルキャラが徐々に増えてきているのでワザ効果を一周させ、
回復キャラへ（アーニャの劣化版）
・アーニャ：回復 
・秋野：ディフェンスキャラの被ダメージカット 
・重本：：アタックキャラの被ダメージカット
・ダミアン：アタックキャラの攻撃up
・寧：ジャンブルラッシュダメージup
・星野 アクア：固定ダメージ＋再召喚時間短縮
・メイ：回復　← new

理想の動き：
メイを獲得→回復の強さを実感してもらう→上位互換のアーニャ購入→メイを編成から除外",,,,,,,,,,,,,,,,2026-01-16 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00,0.00,,,,,,,
,,,,,,,,,,,,,,,,,デプロイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,15.00,0.00,,,,,,,
,,,,,,,,,,,,,,,,,地獄楽いいジャン祭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,備考,,,,,,,,
,基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,,,Lv毎に割った数値が加算されます(各Lvで誤差が生まれるタイミングあり）,,,,,,,,
,キャラ_ID,,,,キャラクター名,,,,,,,,作品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,DropSR,,,,,,,HP回復,0.10,,7.9530,,,,,
,chara_jig_00701,,,,メイ,,,,,,,,地獄楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⚪︎⚪︎効果,0.00,,Lv80,29.95,,,,
,ラベル,,,ロール,,,属性,,,攻撃射程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DropSR,,,スペシャル,,,無,,,ー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,,,,,,,,,,,
,※キャラクター名：Glow_ID_管理のFIX名称を参照。未記入の場合(仮)名称を参照。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,遠距離,,,,,,,,,,,,,,,
,基本ステータス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,召喚コスト,,再召喚時間F,,,well_distace,,,移動速度,,,KB回数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■スペシャルキャラ(ランクアップ),,,,,,,,
,650,,-,,,該当なし,,,該当なし,,,該当なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初期RUSHボーナス上限値,,,成長曲線係数,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15%,,,6,,,,,
,Lvステータス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RushダメージUPランク1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ランク,係数,上昇値,Lv,差分,,,,
,0.15%,,,,,,その他の数字は右の表確認してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,10,0.00%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.43,0.21%,20,0.21%,,,,
,特性,,,,,,,効果値,,解放ランク,,解放レベル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.66,0.25%,30,0.03%,,,,
,1,-,,,,,,-,,-,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.00,0.30%,40,0.05%,,,,
,2,-,,,,,,-,,-,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.49,0.37%,50,0.07%,,,,
,3,-,,,,,,-,,-,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3.16,0.47%,60,0.10%,,,,
,,,,,,,,,,,,,,"※解放ランク1=Lv20,ランク2=Lv30。以降同様。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4.00,0.60%,70,0.13%,,,,
,通常攻撃ステータス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.98,0.75%,80,0.15%,,,,
,オノマトペ,,,通常攻撃発生F,,,攻撃ヒットF,,,,攻撃CDF,,,攻撃距離,,,射程,,攻撃範囲,,,攻撃倍率,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.02,0.90%,90,0.16%,,,,
,-,,,-,,,-,,,,0,,,該当なし,,,該当なし,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.00,1.05%,100,0.15%,,,,
,range_start_type,,,range_start_parameter,,,,range_end_type,,,range_end_parameter,,,,対象,,対象属性,,,対象ロール,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7.84,1.18%,110,0.13%,,,,
,Distance,,,0,,,,Distance,,,該当なし,,,,敵,,All,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8.51,1.28%,120,0.10%,,,,
,→,攻撃発生Fと攻撃ヒットFは各数値に *50。その他攻撃CDFは/50。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9.00,1.35%,130,0.07%,,,,
,必殺ワザステータス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,※数式参照用,,,,,,,13,9.34,1.40%,140,0.05%,,,,
,"必殺攻撃_
オノマトペ",,,必殺攻撃F,,,必殺攻撃ヒットF,,,,初回必殺CDF,,,2回目以降必殺CDF,,,攻撃距離,,,,,,射程,,攻撃範囲,,,攻撃倍率,,,,,,,,,,,,,バフ・デバフ効果型,,,,,,,14,10,1.50%,150,0.10%,,,,
,-,,,2.4,,,0,,,,375,,,700,,,タップしたコマ,,,,,,タップしたコマ,,タップしたコマ,,,-,,,,,,,,,,,,,-,,,,,,,,,,,,,,,
,range_start_type,,,range_start_parameter,,,,range_end_type,,,range_end_parameter,,,,対象,,対象属性,,,対象ロール,,バフ・デバフ効果型,,,,,,※攻撃系以外の必殺ワザは攻撃倍率「無」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koma,,,0,,,,Koma,,,タップしたコマ,,,,味方,,All,,,All,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,→,攻撃発生Fと攻撃ヒットFは各数値に *50。その他攻撃CDFは/50。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,必殺ワザ詳細,,,必殺ワザ1,,,,,,,,,,,,必殺ワザ2,,,,,,,,,,,,必殺ワザ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HP回復(割合),,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,攻撃・特殊系効果,,,,,,バフ・デバフ系効果,,,,,,攻撃・特殊系効果,,,,,,バフ・デバフ系効果,,,,,,攻撃・特殊系効果,,,,,,バフ・デバフ系効果,,,,,,,,,,,,,,,,,,,,,,
,グレード,,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,効果値,,効果時間,,発動確率,,,,,,,,,,,,,,,,,,
,1,,,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,
,2,,,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,
,3,,,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,
,4,,,18,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,
,5,,,22,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,
