ENABLE,release_key,id,mst_event_display_unit_id,language,speech_balloon_text1,speech_balloon_text2,speech_balloon_text3
e,202509010,quest_event_kai1_1day_ja,quest_event_kai1_1day,ja,内臓まで\nお見通しだぜ!!,"",""
e,202509010,quest_event_kai1_charaget011_ja,quest_event_kai1_charaget011,ja,やれるだけ\nやりましょう！,"",""
e,202509010,quest_event_kai1_charaget012_ja,quest_event_kai1_charaget012,ja,犠牲者なんて\n出させない,"",""
e,202509010,quest_event_kai1_charaget013_ja,quest_event_kai1_charaget013,ja,よく見ろや俺の\nこの上腕二頭筋！,"",""
e,202509010,quest_event_kai1_charaget021_ja,quest_event_kai1_charaget021,ja,僕がやらなあかん,"",""
e,202509010,quest_event_kai1_charaget022_ja,quest_event_kai1_charaget022,ja,ようやく姿を\n現したな怪獣,"",""
e,202509010,quest_event_kai1_challenge011_ja,quest_event_kai1_challenge011,ja,怪獣は\n討伐するのみだ,"",""
e,202509010,quest_event_kai1_challenge012_ja,quest_event_kai1_challenge012,ja,僕がやらなあかん,"",""
e,202509010,quest_event_kai1_savage01_ja,quest_event_kai1_savage01,ja,１発で解体するぜ,"",""
e,202509010,quest_event_kai1_savage02_ja,quest_event_kai1_savage02,ja,怪獣は\n討伐するのみだ,"",""
e,202509010,quest_event_kai1_savage03_ja,quest_event_kai1_savage03,ja,僕がやらなあかん,"",""
e,202510010,quest_event_spy1_1day_ja,quest_event_spy1_1day,ja,スパイは目立っては\nいけない…,"",""
e,202510010,quest_event_spy1_charaget01_ja,quest_event_spy1_charaget01,ja,どれを頂戴しよう\nかな〜,"",""
e,202510010,quest_event_spy1_charaget021_ja,quest_event_spy1_charaget021,ja,わくわくっ!!,"",""
e,202510010,quest_event_spy1_charaget022_ja,quest_event_spy1_charaget022,ja,親は何の仕事を\nしてんだ？,"",""
e,202510010,quest_event_spy1_challenge01_ja,quest_event_spy1_challenge01,ja,スパイは目立っては\nいけない…,"",""
e,202510010,quest_event_spy1_challenge011_ja,quest_event_spy1_challenge011,ja,お片づけしかできま\nせんもの…,"",""
e,202510010,quest_event_spy1_challenge012_ja,quest_event_spy1_challenge012,ja,この正体隠し通さね\nば…！,"",""
