ENABLE,release_key,id,mst_mission_beginner_id,language,title,description
e,202509010,beginner2_1_1_ja,beginner2_1_1,ja,"",1日ログインしよう
e,202509010,beginner2_1_2_ja,beginner2_1_2,ja,"",探索で探索報酬を1回受け取ろう
e,202509010,beginner2_1_3_ja,beginner2_1_3,ja,"",キャラのLv.を累計5回強化しよう
e,202509010,beginner2_1_4_ja,beginner2_1_4,ja,"",メインクエスト「SPY×FAMILY」の難易度ノーマルをクリアしよう
e,202509010,beginner2_2_1_ja,beginner2_2_1,ja,"",2日ログインしよう
e,202509010,beginner2_2_2_ja,beginner2_2_2,ja,"",ゲートを累計1回強化しよう
e,202509010,beginner2_2_3_ja,beginner2_2_3,ja,"",キャラのLv.を累計10回強化しよう
e,202509010,beginner2_2_4_ja,beginner2_2_4,ja,"",原画を累計1枚完成させよう
e,202509010,beginner2_3_1_ja,beginner2_3_1,ja,"",3日ログインしよう
e,202509010,beginner2_3_2_ja,beginner2_3_2,ja,"",メインクエスト「ダンダダン」の難易度ノーマルをクリアしよう
e,202509010,beginner2_3_3_ja,beginner2_3_3,ja,"",キャラのLv.を累計15回強化しよう
e,202509010,beginner2_3_4_ja,beginner2_3_4,ja,"",原画を累計3枚完成させよう
e,202509010,beginner2_4_1_ja,beginner2_4_1,ja,"",4日ログインしよう
e,202509010,beginner2_4_2_ja,beginner2_4_2,ja,"",ゲートを累計5回強化しよう
e,202509010,beginner2_4_3_ja,beginner2_4_3,ja,"",キャラのLv.を累計20回強化しよう
e,202509010,beginner2_4_4_ja,beginner2_4_4,ja,"",原画を累計5枚完成させよう
e,202509010,beginner2_5_1_ja,beginner2_5_1,ja,"",5日ログインしよう
e,202509010,beginner2_5_2_ja,beginner2_5_2,ja,"",メインクエスト「チェンソーマン」の難易度ノーマルをクリアしよう
e,202509010,beginner2_5_3_ja,beginner2_5_3,ja,"",キャラのLv.を累計25回強化しよう
e,202509010,beginner2_5_4_ja,beginner2_5_4,ja,"",原画を累計7枚完成させよう
e,202509010,beginner2_6_1_ja,beginner2_6_1,ja,"",6日ログインしよう
e,202509010,beginner2_6_2_ja,beginner2_6_2,ja,"","コインを200,000枚集めよう"
e,202509010,beginner2_6_3_ja,beginner2_6_3,ja,"",キャラのLv.を累計30回強化しよう
e,202509010,beginner2_6_4_ja,beginner2_6_4,ja,"",キャラを累計20体仲間にしよう
e,202509010,beginner2_7_1_ja,beginner2_7_1,ja,"",7日ログインしよう
e,202509010,beginner2_7_2_ja,beginner2_7_2,ja,"",メインクエスト「怪獣８号」の難易度ノーマルをクリアしよう
e,202509010,beginner2_7_3_ja,beginner2_7_3,ja,"",キャラのLv.を累計40回強化しよう
e,202509010,beginner2_7_4_ja,beginner2_7_4,ja,"",原画を累計10枚完成させよう
e,202509010,beginner_bonus_point_2_1_ja,beginner_bonus_point_2_1,ja,"",累計ポイントを140貯めよう
e,202509010,beginner_bonus_point_2_2_ja,beginner_bonus_point_2_2,ja,"",累計ポイントを280貯めよう
e,202509010,beginner_bonus_point_2_3_ja,beginner_bonus_point_2_3,ja,"",累計ポイントを420貯めよう
e,202509010,beginner_bonus_point_2_4_ja,beginner_bonus_point_2_4,ja,"",累計ポイントを560貯めよう
e,202509010,beginner_bonus_point_2_5_ja,beginner_bonus_point_2_5,ja,"",累計ポイントを700貯めよう
e,202509010,beginner_bonus_point_2_6_ja,beginner_bonus_point_2_6,ja,"",累計ポイントを850貯めよう
e,202509010,beginner_bonus_point_2_7_ja,beginner_bonus_point_2_7,ja,"",累計ポイントを900貯めよう
e,202509010,beginner_bonus_point_2_8_ja,beginner_bonus_point_2_8,ja,"",累計ポイントを1000貯めよう
