ENABLE,id,release_key,mst_mission_event_id,language,name,description
e,100kano_boss_1_ja,202602160,100kano_boss_1,ja,強敵を1体撃破しよう,いいジャン祭イベントで強敵を1体撃破する
e,100kano_boss_3_ja,202602160,100kano_boss_3,ja,強敵を3体撃破しよう,いいジャン祭イベントで強敵を3体撃破する
e,100kano_boss_5_ja,202602160,100kano_boss_5,ja,強敵を5体撃破しよう,いいジャン祭イベントで強敵を5体撃破する
e,100kano_boss_10_ja,202602160,100kano_boss_10,ja,強敵を10体撃破しよう,いいジャン祭イベントで強敵を10体撃破する
e,100kano_boss_15_ja,202602160,100kano_boss_15,ja,強敵を15体撃破しよう,いいジャン祭イベントで強敵を15体撃破する
e,100kano_boss_20_ja,202602160,100kano_boss_20,ja,強敵を20体撃破しよう,いいジャン祭イベントで強敵を20体撃破する
e,100kano_boss_25_ja,202602160,100kano_boss_25,ja,強敵を25体撃破しよう,いいジャン祭イベントで強敵を25体撃破する
e,100kano_boss_30_ja,202602160,100kano_boss_30,ja,強敵を30体撃破しよう,いいジャン祭イベントで強敵を30体撃破する
e,100kano_boss_35_ja,202602160,100kano_boss_35,ja,強敵を35体撃破しよう,いいジャン祭イベントで強敵を35体撃破する
e,100kano_boss_40_ja,202602160,100kano_boss_40,ja,強敵を40体撃破しよう,いいジャン祭イベントで強敵を40体撃破する
e,100kano_boss_45_ja,202602160,100kano_boss_45,ja,強敵を45体撃破しよう,いいジャン祭イベントで強敵を45体撃破する
e,100kano_boss_50_ja,202602160,100kano_boss_50,ja,強敵を50体撃破しよう,いいジャン祭イベントで強敵を50体撃破する
e,100kano_boss_55_ja,202602160,100kano_boss_55,ja,強敵を55体撃破しよう,いいジャン祭イベントで強敵を55体撃破する
e,100kano_boss_60_ja,202602160,100kano_boss_60,ja,強敵を60体撃破しよう,いいジャン祭イベントで強敵を60体撃破する
e,100kano_boss_65_ja,202602160,100kano_boss_65,ja,強敵を65体撃破しよう,いいジャン祭イベントで強敵を65体撃破する
e,100kano_boss_70_ja,202602160,100kano_boss_70,ja,強敵を70体撃破しよう,いいジャン祭イベントで強敵を70体撃破する
e,100kano_boss_75_ja,202602160,100kano_boss_75,ja,強敵を75体撃破しよう,いいジャン祭イベントで強敵を75体撃破する
e,100kano_boss_80_ja,202602160,100kano_boss_80,ja,強敵を80体撃破しよう,いいジャン祭イベントで強敵を80体撃破する
e,100kano_boss_85_ja,202602160,100kano_boss_85,ja,強敵を85体撃破しよう,いいジャン祭イベントで強敵を85体撃破する
e,100kano_boss_90_ja,202602160,100kano_boss_90,ja,強敵を90体撃破しよう,いいジャン祭イベントで強敵を90体撃破する
e,100kano_boss_95_ja,202602160,100kano_boss_95,ja,強敵を95体撃破しよう,いいジャン祭イベントで強敵を95体撃破する
e,100kano_boss_100_ja,202602160,100kano_boss_100,ja,強敵を100体撃破しよう,いいジャン祭イベントで強敵を100体撃破する
e,100kano_quest_1_ja,202602160,100kano_quest_1,ja,収集クエスト「キスゾンビ♡パニック」をクリアしよう,収集クエスト「キスゾンビ♡パニック」をクリアする
e,100kano_quest_2_ja,202602160,100kano_quest_2,ja,ストーリークエスト「最高の恋愛パートナー」をクリアしよう,ストーリークエスト「最高の恋愛パートナー」をクリアする
e,100kano_quest_3_ja,202602160,100kano_quest_3,ja,チャレンジクエスト「恋太郎ファミリー」をクリアしよう,チャレンジクエスト「恋太郎ファミリー」をクリアする
e,100kano_quest_4_ja,202602160,100kano_quest_4,ja,高難易度「DEAD OR LOVE」をクリアしよう,高難易度クエスト「DEAD OR LOVE」をクリアする
e,100kano_enemy_10_ja,202602160,100kano_enemy_10,ja,敵を10体撃破しよう,いいジャン祭イベントで敵を10体撃破する
e,100kano_enemy_20_ja,202602160,100kano_enemy_20,ja,敵を20体撃破しよう,いいジャン祭イベントで敵を20体撃破する
e,100kano_enemy_30_ja,202602160,100kano_enemy_30,ja,敵を30体撃破しよう,いいジャン祭イベントで敵を30体撃破する
e,100kano_enemy_40_ja,202602160,100kano_enemy_40,ja,敵を40体撃破しよう,いいジャン祭イベントで敵を40体撃破する
e,100kano_enemy_50_ja,202602160,100kano_enemy_50,ja,敵を50体撃破しよう,いいジャン祭イベントで敵を50体撃破する
e,100kano_enemy_60_ja,202602160,100kano_enemy_60,ja,敵を60体撃破しよう,いいジャン祭イベントで敵を60体撃破する
e,100kano_enemy_70_ja,202602160,100kano_enemy_70,ja,敵を70体撃破しよう,いいジャン祭イベントで敵を70体撃破する
e,100kano_enemy_80_ja,202602160,100kano_enemy_80,ja,敵を80体撃破しよう,いいジャン祭イベントで敵を80体撃破する
e,100kano_enemy_90_ja,202602160,100kano_enemy_90,ja,敵を90体撃破しよう,いいジャン祭イベントで敵を90体撃破する
e,100kano_enemy_100_ja,202602160,100kano_enemy_100,ja,敵を100体撃破しよう,いいジャン祭イベントで敵を100体撃破する
e,100kano_enemy_150_ja,202602160,100kano_enemy_150,ja,敵を150体撃破しよう,いいジャン祭イベントで敵を150体撃破する
e,100kano_enemy_200_ja,202602160,100kano_enemy_200,ja,敵を200体撃破しよう,いいジャン祭イベントで敵を200体撃破する
e,100kano_enemy_300_ja,202602160,100kano_enemy_300,ja,敵を300体撃破しよう,いいジャン祭イベントで敵を300体撃破する
