memo
TABLE,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost,MstExchangeCost
ENABLE,id,mst_exchange_lineup_id,cost_type,cost_id,cost_amount,release_key
e,100kano_cost_01,100kano_lineup_01,Item,event_medal_red,10000,202602160
e,100kano_cost_02,100kano_lineup_02,Item,event_medal_red,20000,202602160
e,100kano_cost_03,100kano_lineup_03,Item,event_medal_red,1000,202602160
e,100kano_cost_04,100kano_lineup_04,Item,event_medal_red,2500,202602160
e,100kano_cost_05,100kano_lineup_05,Item,event_medal_red,3000,202602160
e,100kano_cost_06,100kano_lineup_06,Item,event_medal_red,1000,202602160
e,100kano_cost_07,100kano_lineup_07,Item,event_medal_red,2000,202602160
e,100kano_cost_08,100kano_lineup_08,Item,event_medal_red,5000,202602160
e,100kano_cost_09,100kano_lineup_09,Item,event_medal_red,500,202602160
e,100kano_cost_10,100kano_lineup_10,Item,event_medal_red,500,202602160
