ENABLE,id,release_key,mst_event_id,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,event_category,destination_scene
e,100kano_boss_1,202602160,100kano_event,BossDefeatCount,1,1,__NULL__,,0,100kano_missions,100kano_boss_1_reward,1,__NULL__,Event
e,100kano_boss_3,202602160,100kano_event,BossDefeatCount,3,3,__NULL__,,0,100kano_missions,100kano_boss_3_reward,2,__NULL__,Event
e,100kano_boss_5,202602160,100kano_event,BossDefeatCount,5,5,__NULL__,,0,100kano_missions,100kano_boss_5_reward,3,__NULL__,Event
e,100kano_boss_10,202602160,100kano_event,BossDefeatCount,10,10,__NULL__,,0,100kano_missions,100kano_boss_10_reward,4,__NULL__,Event
e,100kano_boss_15,202602160,100kano_event,BossDefeatCount,15,15,__NULL__,,0,100kano_missions,100kano_boss_15_reward,5,__NULL__,Event
e,100kano_boss_20,202602160,100kano_event,BossDefeatCount,20,20,__NULL__,,0,100kano_missions,100kano_boss_20_reward,6,__NULL__,Event
e,100kano_boss_25,202602160,100kano_event,BossDefeatCount,25,25,__NULL__,,0,100kano_missions,100kano_boss_25_reward,7,__NULL__,Event
e,100kano_boss_30,202602160,100kano_event,BossDefeatCount,30,30,__NULL__,,0,100kano_missions,100kano_boss_30_reward,8,__NULL__,Event
e,100kano_boss_35,202602160,100kano_event,BossDefeatCount,35,35,__NULL__,,0,100kano_missions,100kano_boss_35_reward,9,__NULL__,Event
e,100kano_boss_40,202602160,100kano_event,BossDefeatCount,40,40,__NULL__,,0,100kano_missions,100kano_boss_40_reward,10,__NULL__,Event
e,100kano_boss_45,202602160,100kano_event,BossDefeatCount,45,45,__NULL__,,0,100kano_missions,100kano_boss_45_reward,11,__NULL__,Event
e,100kano_boss_50,202602160,100kano_event,BossDefeatCount,50,50,__NULL__,,0,100kano_missions,100kano_boss_50_reward,12,__NULL__,Event
