,※同IDが存在してないように使用用途を識別に入力する。　「general」や「normal_01only」など,,,,,,,※手打ち可能,,,,,,,,,,,,,,,,,,,,,
,master_id,識別,enemy_ID,作品,キャラ名(監修名),識別キャラ名,unit_kind,role_type,color,HP,knock_back,move_speed,well_distance,attack_power,start_range,end_range,攻撃範囲,撃破リーダーP,通常攻撃モーション秒,通常攻撃発生秒,通常攻撃CDF,必殺攻撃モーション秒,必殺攻撃発生秒,必殺ワザ内容,必殺発動回数,特性,オノマトペ,通常攻撃備考,備考
,,,__Normal_,none,none,none,Normal,none,,,,,,,,,,,none,none,,none,none,,,,none,,
,enemy_glo_00001,_event_spy1_artwork,e_glo_00001_event_spy1_artwork_Normal_Colorless,GLOW,ファントム,ファントム_event_spy1_artwork,Normal,Attack,Colorless,3000,3,34,0.22,100,0,0.23,1,300,1.00,0.50,50,,,,,,dageki_1,test,
,enemy_glo_00001,_event_spy1_artwork,e_glo_00001_event_spy1_artwork_Boss_Colorless,GLOW,ファントム,ファントム_event_spy1_artwork,Boss,Attack,Colorless,5000,2,25,0.25,100,0,0.23,1,500,1.00,0.50,100,,,,,,dageki_1,,
,enemy_glo_00001,_event_spy1_artwork,e_glo_00001_event_spy1_artwork_Boss_Yellow,GLOW,ファントム,ファントム_event_spy1_artwork,Boss,Attack,Yellow,5000,2,25,0.25,300,0,0.26,1,500,1.00,0.50,100,,,,,,dageki_1,,
,enemy_glo_00001,_event_spy1_artwork,e_glo_00001_event_spy1_artwork_Boss_Blue,GLOW,ファントム,ファントム_event_spy1_artwork,Boss,Attack,Blue,5000,2,25,0.25,300,0,0.26,1,500,1.00,0.50,100,,,,,,dageki_1,,
,enemy_glo_00001,_isaoget,e_glo_00001_isaoget_Normal_Yellow,GLOW,ファントム,ファントム_isaoget,Normal,Attack,Yellow,5000,2,31,0.2,300,0,0.21,1,150,1.00,0.50,100,,,,,,dageki_1,,
,,,,,none,,,,,,,,,,,,,,,,,,,,,,none,,
,chara_kai_00001,_1d1c,c_kai_00001_1d1c_Boss_Colorless,怪獣８号,日比野 カフカ,日比野 カフカ_1d1c,Boss,Attack,Colorless,10000,2,10,0.17,100,0,0.23,100,1000,1.83,1.00,75,2.33,1.33,単体に攻撃,5,,dageki_1,,アニメーションを見せるだけ
,chara_kai_00001,_iharuget,c_kai_00001_iharuget_Normal_Yellow,怪獣８号,日比野 カフカ,日比野 カフカ_iharuget,Normal,Defense,Yellow,10000,2,10,0.17,100,0,0.23,100,500,1.83,1.00,75,2.33,1.33,単体に攻撃,5,,dageki_1,,アニメーションを見せるだけ
,chara_kai_00601,_iharuget,c_kai_00601_iharuget_Normal_Yellow,怪獣８号,古橋 伊春,古橋 伊春_iharuget,Normal,Attack,Yellow,10000,3,25,0.3,500,0,0.31,1,500,1.37,stop有:1回目 0.71,25,1.83,stop無:1回目 0.93,次回(1回)の攻撃力100%Up,4,,shageki_1,,
,chara_kai_00601,_iharuget,c_kai_00601_iharuget_Boss_Red,怪獣８号,古橋 伊春,古橋 伊春_iharuget,Boss,Attack,Red,100000,3,25,0.3,500,0,0.31,1,500,1.37,stop有:1回目 0.71,25,1.83,stop無:1回目 0.93,次回(1回)の攻撃力100%Up,4,,shageki_1,,
,chara_kai_00101,_iharuget,c_kai_00101_iharuget_Normal_Yellow,怪獣８号,市川 レノ,市川 レノ_iharuget,Normal,Technical,Yellow,10000,3,36,0.4,100,0,0.41,1,200,1.40,stop無:1回目 0.91,100,3.17,"stop無:1回目 1.05
stop無:2回目 1.33
stop無:3回目 1.76",単体に攻撃＋攻撃力30%DOWN,4,,shageki_1,,
,enemy_kai_00201,_iharuget,e_kai_00201_iharuget_Normal_Colorless,怪獣８号,怪獣９号,怪獣９号_iharuget,Normal,Attack,Colorless,100000,3,40,0.35,1000,0,0.5,100,250,2.47,stop有:1回目 1.26,75,-,-,,-,,shageki_1,,
