,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/12/09,,,前田,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,必ず生きて帰る,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_event_jig1_charaget01,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,イベントクエスト,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202601010,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,※!（エクスクラメーションマーク）は半角で,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/01/16,,,15:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/02/16,,,10:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_jig_00701,,,メイ,,,モウ一度ダケ… 会イタイ,,,手打ち,,,手打ち,,,,,,,,,,,,,
,,,,error,,,手打ち,,,手打ち,,,手打ち,,,,,,,,,,,,,
,,,,error,,,手打ち,,,手打ち,,,手打ち,,,,,,,,,,,,,
