敵キャラID,敵キャラ名,カラー
chara_spy_00101,<黄昏> ロイド,Yellow
chara_dan_00002,ターボババアの霊力 オカルン,Blue
chara_gom_00001,囚われの王女 姫様,Green
chara_chi_00002,悪魔が恐れる悪魔 チェンソーマン,Yellow
chara_mag_00201,絶対効率の体現者 土刃 メイ,Red
chara_kai_00002,隠された英雄の姿 怪獣８号,Green
chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサ,Yellow
chara_sur_00901,万物を統べる総組長 山城 恋,Blue
chara_sum_00101,影のウシオ 小舟 潮,Blue
chara_jig_00001,がらんの画眉丸,Red
chara_tak_00001,ハッピー星からの使者 タコピー,Yellow
chara_osh_00001,B小町不動のセンター アイ,Red
chara_you_00001,元殺し屋の新人教諭 リタ,Red
chara_kim_00001,溢れる母性 花園 羽々里,Blue
chara_hut_00001,ひたむきギタリスト 鳩野 ちひろ,Green
chara_aya_00101,花奏 すず,Red
