ENABLE,id,mst_exchange_lineup_id,resource_type,resource_id,resource_amount,release_key
e,event_hut_00001_01_lineup_00001,event_hut_00001_01_lineup_00001,FreeDiamond,,150,202603010
e,event_hut_00001_01_lineup_00002,event_hut_00001_01_lineup_00002,Item,piece_hut_00201,10,202603010
e,event_hut_00001_01_lineup_00003,event_hut_00001_01_lineup_00003,Item,piece_hut_00201,10,202603010
e,event_hut_00001_01_lineup_00004,event_hut_00001_01_lineup_00004,Item,piece_hut_00301,10,202603010
e,event_hut_00001_01_lineup_00005,event_hut_00001_01_lineup_00005,Item,piece_hut_00301,10,202603010
e,event_hut_00001_01_lineup_00006,event_hut_00001_01_lineup_00006,Item,memory_chara_hut_00201,150,202603010
e,event_hut_00001_01_lineup_00007,event_hut_00001_01_lineup_00007,Item,memory_chara_hut_00301,150,202603010
e,event_hut_00001_01_lineup_00008,event_hut_00001_01_lineup_00008,Emblem,emblem_event_hut_00003,1,202603010
e,event_hut_00001_01_lineup_00009,event_hut_00001_01_lineup_00009,Item,stamina_item_glo_00001,1,202603010
e,event_hut_00001_01_lineup_00010,event_hut_00001_01_lineup_00010,Item,ticket_glo_00002,1,202603010
e,event_hut_00001_01_lineup_00011,event_hut_00001_01_lineup_00011,Item,ticket_glo_00003,1,202603010
e,event_hut_00001_01_lineup_00012,event_hut_00001_01_lineup_00012,Item,memoryfragment_glo_00001,1,202603010
e,event_hut_00001_01_lineup_00013,event_hut_00001_01_lineup_00013,Item,memoryfragment_glo_00002,1,202603010
e,event_hut_00001_01_lineup_00014,event_hut_00001_01_lineup_00014,Item,memoryfragment_glo_00003,1,202603010
e,event_hut_00001_01_lineup_00015,event_hut_00001_01_lineup_00015,Item,memory_glo_00001,50,202603010
e,event_hut_00001_01_lineup_00016,event_hut_00001_01_lineup_00016,Item,memory_glo_00002,50,202603010
e,event_hut_00001_01_lineup_00017,event_hut_00001_01_lineup_00017,Item,memory_glo_00003,50,202603010
e,event_hut_00001_01_lineup_00018,event_hut_00001_01_lineup_00018,Item,memory_glo_00004,50,202603010
e,event_hut_00001_01_lineup_00019,event_hut_00001_01_lineup_00019,Item,memory_glo_00005,50,202603010
e,event_hut_00001_01_lineup_00020,event_hut_00001_01_lineup_00020,Coin,,150,202603010
