ENABLE,release_key,id,mst_attack_id,sort_order,attack_delay,attack_type,range_start_type,range_start_parameter,range_end_type,range_end_parameter,max_target_count,target,target_type,target_colors,target_roles,target_mst_series_ids,target_mst_character_ids,damage_type,hit_type,hit_parameter1,hit_parameter2,hit_effect_id,is_hit_stop,probability,power_parameter_type,power_parameter,effect_type,effective_count,effective_duration,effect_parameter,effect_value,effect_trigger_roles,effect_trigger_colors
e,202603010,chara_hut_00001_Normal_00000,chara_hut_00001_Normal_00000,1,0,Direct,Distance,0,Distance,0.32,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,75,None,0,0,0,,,
e,202603010,chara_hut_00001_Special_00001,chara_hut_00001_Special_00001,1,0,Direct,Distance,0,Distance,0.42,100,Foe,All,All,All,,,Damage,KnockBack1,0,0,dageki_1,1,100,Percentage,98,None,0,0,0,,,
e,202603010,chara_hut_00001_Special_00001a,chara_hut_00001_Special_00001,2,0,Direct,Distance,-50,Distance,50,100,Friend,Character,All,All,hut,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,300,10,,,
e,202603010,chara_hut_00001_Special_00002,chara_hut_00001_Special_00002,1,0,Direct,Distance,0,Distance,0.42,100,Foe,All,All,All,,,Damage,KnockBack1,0,0,dageki_1,1,100,Percentage,110,None,0,0,0,,,
e,202603010,chara_hut_00001_Special_00002a,chara_hut_00001_Special_00002,2,0,Direct,Distance,-50,Distance,50,100,Friend,Character,All,All,hut,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,345,12,,,
e,202603010,chara_hut_00001_Special_00003,chara_hut_00001_Special_00003,1,0,Direct,Distance,0,Distance,0.42,100,Foe,All,All,All,,,Damage,KnockBack2,0,0,dageki_1,1,100,Percentage,119,None,0,0,0,,,
e,202603010,chara_hut_00001_Special_00003a,chara_hut_00001_Special_00003,2,0,Direct,Distance,-50,Distance,50,100,Friend,Character,All,All,hut,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,370,13,,,
e,202603010,chara_hut_00001_Special_00004,chara_hut_00001_Special_00004,1,0,Direct,Distance,0,Distance,0.42,100,Foe,All,All,All,,,Damage,KnockBack2,0,0,dageki_1,1,100,Percentage,126,None,0,0,0,,,
e,202603010,chara_hut_00001_Special_00004a,chara_hut_00001_Special_00004,2,0,Direct,Distance,-50,Distance,50,100,Friend,Character,All,All,hut,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,390,14,,,
e,202603010,chara_hut_00001_Special_00005,chara_hut_00001_Special_00005,1,0,Direct,Distance,0,Distance,0.42,100,Foe,All,All,All,,,Damage,KnockBack2,0,0,dageki_1,1,100,Percentage,130,None,0,0,0,,,
e,202603010,chara_hut_00001_Special_00005a,chara_hut_00001_Special_00005,2,0,Direct,Distance,-50,Distance,50,100,Friend,Character,All,All,hut,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,400,15,,,
e,202603010,chara_hut_00201_Normal_00000,chara_hut_00201_Normal_00000,1,0,Direct,Distance,0,Distance,0.62,1,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,100,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00001_01,chara_hut_00201_Special_00001,1,55,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Stun,50,100,dageki_1,,100,Percentage,16,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00001_02,chara_hut_00201_Special_00001,2,72,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,21,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00001_03,chara_hut_00201_Special_00001,3,99,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,25,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00002_01,chara_hut_00201_Special_00002,1,55,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Stun,50,100,dageki_1,,100,Percentage,19,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00002_02,chara_hut_00201_Special_00002,2,72,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,24,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00002_03,chara_hut_00201_Special_00002,3,99,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,29,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00003_01,chara_hut_00201_Special_00003,1,55,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Stun,50,100,dageki_1,,100,Percentage,20,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00003_02,chara_hut_00201_Special_00003,2,72,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,27,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00003_03,chara_hut_00201_Special_00003,3,99,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,31,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00004_01,chara_hut_00201_Special_00004,1,55,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Stun,50,100,dageki_1,,100,Percentage,22,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00004_02,chara_hut_00201_Special_00004,2,72,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,28,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00004_03,chara_hut_00201_Special_00004,3,99,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,33,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00005_01,chara_hut_00201_Special_00005,1,55,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Stun,65,100,dageki_1,,100,Percentage,22,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00005_02,chara_hut_00201_Special_00005,2,72,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,29,None,0,0,0,,,
e,202603010,chara_hut_00201_Special_00005_03,chara_hut_00201_Special_00005,3,99,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,34,None,0,0,0,,,
e,202603010,chara_hut_00301_Normal_00000,chara_hut_00301_Normal_00000,1,0,Direct,Distance,0,Distance,0.4,1,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,100,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00001_01,chara_hut_00301_Special_00001,1,15,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,2,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00001_02,chara_hut_00301_Special_00001,2,31,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,2,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00001_03,chara_hut_00301_Special_00001,3,47,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,12,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00001_04,chara_hut_00301_Special_00001,4,63,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,20,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00001_05,chara_hut_00301_Special_00001,5,80,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,44,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00002_01,chara_hut_00301_Special_00002,1,15,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,3,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00002_02,chara_hut_00301_Special_00002,2,31,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,3,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00002_03,chara_hut_00301_Special_00002,3,47,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,14,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00002_04,chara_hut_00301_Special_00002,4,63,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,24,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00002_05,chara_hut_00301_Special_00002,5,80,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,51,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00003_01,chara_hut_00301_Special_00003,1,15,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,3,None,0,0,0,,,
e,202603010,chara_hut_00301_Special_00003_02,chara_hut_00301_Special_00003,2,31,Direct,Distance,0,Distance,0.6,100,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,,100,Percentage,3,None,0,0,0,,,
