ENABLE,id,release_key,mst_mission_event_daily_bonus_schedule_id,login_day,mst_mission_reward_group_id
e,event_jig_00001_daily_bonus_01,202601010,event_jig_00001_daily_bonus_schedule,1,jig_00001_daily_bonus_01
e,event_jig_00001_daily_bonus_02,202601010,event_jig_00001_daily_bonus_schedule,2,jig_00001_daily_bonus_02
e,event_jig_00001_daily_bonus_03,202601010,event_jig_00001_daily_bonus_schedule,3,jig_00001_daily_bonus_03
e,event_jig_00001_daily_bonus_04,202601010,event_jig_00001_daily_bonus_schedule,4,jig_00001_daily_bonus_04
e,event_jig_00001_daily_bonus_05,202601010,event_jig_00001_daily_bonus_schedule,5,jig_00001_daily_bonus_05
e,event_jig_00001_daily_bonus_06,202601010,event_jig_00001_daily_bonus_schedule,6,jig_00001_daily_bonus_06
e,event_jig_00001_daily_bonus_07,202601010,event_jig_00001_daily_bonus_schedule,7,jig_00001_daily_bonus_07
e,event_jig_00001_daily_bonus_08,202601010,event_jig_00001_daily_bonus_schedule,8,jig_00001_daily_bonus_08
e,event_jig_00001_daily_bonus_09,202601010,event_jig_00001_daily_bonus_schedule,9,jig_00001_daily_bonus_09
e,event_jig_00001_daily_bonus_10,202601010,event_jig_00001_daily_bonus_schedule,10,jig_00001_daily_bonus_10
e,event_jig_00001_daily_bonus_11,202601010,event_jig_00001_daily_bonus_schedule,11,jig_00001_daily_bonus_11
e,event_jig_00001_daily_bonus_12,202601010,event_jig_00001_daily_bonus_schedule,12,jig_00001_daily_bonus_12
e,event_jig_00001_daily_bonus_13,202601010,event_jig_00001_daily_bonus_schedule,13,jig_00001_daily_bonus_13
e,event_jig_00001_daily_bonus_14,202601010,event_jig_00001_daily_bonus_schedule,14,jig_00001_daily_bonus_14
e,event_jig_00001_daily_bonus_15,202601010,event_jig_00001_daily_bonus_schedule,15,jig_00001_daily_bonus_15
e,event_jig_00001_daily_bonus_16,202601010,event_jig_00001_daily_bonus_schedule,16,jig_00001_daily_bonus_16
e,event_jig_00001_daily_bonus_17,202601010,event_jig_00001_daily_bonus_schedule,17,jig_00001_daily_bonus_17
