ENABLE,id,mst_stage_id,condition_type,condition_value,animation_start_delay,animation_speed,is_pause,can_skip,asset_key,release_key
e,genga_jig_event_1day_00001_start,event_jig1_1day_00001,Start,1,0,0.7,1,1,genga_jig_2_22_1,202601010
e,genga_jig_event_story01_00001_start,event_jig1_charaget01_00001,Start,1,0,0.7,1,1,genga_jig_2_28_31,202601010
e,genga_jig_event_story01_00002_start,event_jig1_charaget01_00002,Start,1,0,0.7,1,1,genga_jig_2_81_84,202601010
e,genga_jig_event_story01_00003_start,event_jig1_charaget01_00003,Start,1,0,0.7,1,1,genga_jig_2_128_130,202601010
e,genga_jig_event_story01_00003_victory,event_jig1_charaget01_00003,Victory,3,0,0.7,1,1,genga_jig_2_179_186,202601010
e,genga_jig_event_story01_00004_start,event_jig1_charaget01_00004,Start,1,0,0.7,1,1,genga_jig_3_7_14,202601010
e,genga_jig_event_story01_00004_victory,event_jig1_charaget01_00004,Victory,4,0,0.7,1,1,genga_jig_3_18_23,202601010
e,genga_jig_event_story01_00005_start,event_jig1_charaget01_00005,Start,1,0,0.7,1,1,genga_jig_3_119_132,202601010
e,genga_jig_event_story01_00005_victory,event_jig1_charaget01_00005,Victory,5,0,0.7,1,1,genga_jig_3_136_145,202601010
e,genga_jig_event_story01_00006_start,event_jig1_charaget01_00006,Start,1,0,0.7,1,1,genga_jig_3_148_156,202601010
e,genga_jig_event_story01_00006_victory,event_jig1_charaget01_00006,Victory,6,0,0.7,1,1,genga_jig_3_164_187,202601010
e,genga_jig_event_story02_00001_start,event_jig1_charaget02_00001,Start,1,0,0.7,1,1,genga_jig_1_191_204,202601010
e,genga_jig_event_story02_00002_start,event_jig1_charaget02_00002,Start,1,0,0.7,1,1,genga_jig_2_49_52,202601010
e,genga_jig_event_story02_00003_start,event_jig1_charaget02_00003,Start,1,0,0.7,1,1,genga_jig_2_198_206,202601010
e,genga_jig_event_story02_00004_start,event_jig1_charaget02_00004,Start,1,0,0.7,1,1,genga_jig_3_40_43,202601010
e,genga_jig_event_story02_00005_start,event_jig1_charaget02_00005,Start,1,0,0.7,1,1,genga_jig_4_7_9,202601010
e,genga_jig_event_story02_00006_start,event_jig1_charaget02_00006,Start,1,0,0.7,1,1,genga_jig_4_12_24,202601010
e,genga_jig_event_challenge_00001_appear,event_jig1_challenge01_00001,EnemySummon,1,0,0.7,1,1,genga_jig_2_33,202601010
e,genga_jig_event_challenge_00002_appear,event_jig1_challenge01_00002,EnemySummon,1,0,0.7,1,1,genga_jig_2_42,202601010
e,genga_jig_event_challenge_00003_appear,event_jig1_challenge01_00003,EnemySummon,1,0,0.7,1,1,genga_jig_2_63,202601010
e,genga_jig_event_challenge_00004_appear,event_jig1_challenge01_00004,EnemySummon,1,0,0.7,1,1,genga_jig_1_26,202601010
e,genga_jig_event_savage_00001_appear,event_jig1_savage_00001,EnemySummon,1,0,0.7,1,1,genga_jig_2_66,202601010
e,genga_jig_event_savage_00002_appear,event_jig1_savage_00002,EnemySummon,1,0,0.7,1,1,genga_jig_1_107,202601010
e,genga_jig_event_savage_00003_appear,event_jig1_savage_00003,EnemySummon,1,0,0.7,1,1,genga_jig_1_22,202601010
