ENABLE,id,mst_unit_id,grade,attack_kind,action_frames,release_key
e,attack_jig_00401_N_0,chara_jig_00401,0,Normal,60,202601010
e,attack_jig_00401_N_1,chara_jig_00401,1,Normal,60,202601010
e,attack_jig_00401_N_2,chara_jig_00401,2,Normal,60,202601010
e,attack_jig_00401_N_3,chara_jig_00401,3,Normal,60,202601010
e,attack_jig_00401_N_4,chara_jig_00401,4,Normal,60,202601010
e,attack_jig_00401_N_5,chara_jig_00401,5,Normal,60,202601010
e,attack_jig_00401_N_6,chara_jig_00401,6,Normal,60,202601010
e,attack_jig_00401_N_7,chara_jig_00401,7,Normal,60,202601010
e,attack_jig_00401_N_8,chara_jig_00401,8,Normal,60,202601010
e,attack_jig_00401_N_9,chara_jig_00401,9,Normal,60,202601010
e,attack_jig_00401_S_0,chara_jig_00401,0,Special,120,202601010
e,attack_jig_00401_S_1,chara_jig_00401,1,Special,120,202601010
e,attack_jig_00401_S_2,chara_jig_00401,2,Special,120,202601010
e,attack_jig_00401_S_3,chara_jig_00401,3,Special,120,202601010
e,attack_jig_00401_S_4,chara_jig_00401,4,Special,120,202601010
e,attack_jig_00401_S_5,chara_jig_00401,5,Special,120,202601010
e,attack_jig_00401_S_6,chara_jig_00401,6,Special,120,202601010
e,attack_jig_00401_S_7,chara_jig_00401,7,Special,120,202601010
e,attack_jig_00401_S_8,chara_jig_00401,8,Special,120,202601010
e,attack_jig_00401_S_9,chara_jig_00401,9,Special,120,202601010
e,attack_jig_00501_N_0,chara_jig_00501,0,Normal,55,202601010
e,attack_jig_00501_N_1,chara_jig_00501,1,Normal,55,202601010
e,attack_jig_00501_N_2,chara_jig_00501,2,Normal,55,202601010
e,attack_jig_00501_N_3,chara_jig_00501,3,Normal,55,202601010
e,attack_jig_00501_N_4,chara_jig_00501,4,Normal,55,202601010
e,attack_jig_00501_N_5,chara_jig_00501,5,Normal,55,202601010
e,attack_jig_00501_N_6,chara_jig_00501,6,Normal,55,202601010
e,attack_jig_00501_N_7,chara_jig_00501,7,Normal,55,202601010
e,attack_jig_00501_N_8,chara_jig_00501,8,Normal,55,202601010
e,attack_jig_00501_N_9,chara_jig_00501,9,Normal,55,202601010
e,attack_jig_00501_S_0,chara_jig_00501,0,Special,110,202601010
e,attack_jig_00501_S_1,chara_jig_00501,1,Special,110,202601010
e,attack_jig_00501_S_2,chara_jig_00501,2,Special,110,202601010
e,attack_jig_00501_S_3,chara_jig_00501,3,Special,110,202601010
e,attack_jig_00501_S_4,chara_jig_00501,4,Special,110,202601010
e,attack_jig_00501_S_5,chara_jig_00501,5,Special,110,202601010
e,attack_jig_00501_S_6,chara_jig_00501,6,Special,110,202601010
e,attack_jig_00501_S_7,chara_jig_00501,7,Special,110,202601010
e,attack_jig_00501_S_8,chara_jig_00501,8,Special,110,202601010
e,attack_jig_00501_S_9,chara_jig_00501,9,Special,110,202601010
e,attack_jig_00601_N_0,chara_jig_00601,0,Normal,65,202601010
e,attack_jig_00601_N_1,chara_jig_00601,1,Normal,65,202601010
e,attack_jig_00601_N_2,chara_jig_00601,2,Normal,65,202601010
e,attack_jig_00601_N_3,chara_jig_00601,3,Normal,65,202601010
e,attack_jig_00601_N_4,chara_jig_00601,4,Normal,65,202601010
e,attack_jig_00601_N_5,chara_jig_00601,5,Normal,65,202601010
e,attack_jig_00601_N_6,chara_jig_00601,6,Normal,65,202601010
e,attack_jig_00601_N_7,chara_jig_00601,7,Normal,65,202601010
e,attack_jig_00601_N_8,chara_jig_00601,8,Normal,65,202601010
e,attack_jig_00601_N_9,chara_jig_00601,9,Normal,65,202601010
e,attack_jig_00601_S_0,chara_jig_00601,0,Special,130,202601010
e,attack_jig_00601_S_1,chara_jig_00601,1,Special,130,202601010
e,attack_jig_00601_S_2,chara_jig_00601,2,Special,130,202601010
e,attack_jig_00601_S_3,chara_jig_00601,3,Special,130,202601010
e,attack_jig_00601_S_4,chara_jig_00601,4,Special,130,202601010
e,attack_jig_00601_S_5,chara_jig_00601,5,Special,130,202601010
e,attack_jig_00601_S_6,chara_jig_00601,6,Special,130,202601010
e,attack_jig_00601_S_7,chara_jig_00601,7,Special,130,202601010
e,attack_jig_00601_S_8,chara_jig_00601,8,Special,130,202601010
e,attack_jig_00601_S_9,chara_jig_00601,9,Special,130,202601010
e,attack_jig_00701_N_0,chara_jig_00701,0,Normal,58,202601010
e,attack_jig_00701_N_1,chara_jig_00701,1,Normal,58,202601010
e,attack_jig_00701_N_2,chara_jig_00701,2,Normal,58,202601010
e,attack_jig_00701_N_3,chara_jig_00701,3,Normal,58,202601010
e,attack_jig_00701_N_4,chara_jig_00701,4,Normal,58,202601010
e,attack_jig_00701_N_5,chara_jig_00701,5,Normal,58,202601010
e,attack_jig_00701_N_6,chara_jig_00701,6,Normal,58,202601010
e,attack_jig_00701_N_7,chara_jig_00701,7,Normal,58,202601010
e,attack_jig_00701_N_8,chara_jig_00701,8,Normal,58,202601010
e,attack_jig_00701_N_9,chara_jig_00701,9,Normal,58,202601010
e,attack_jig_00701_S_0,chara_jig_00701,0,Special,115,202601010
e,attack_jig_00701_S_1,chara_jig_00701,1,Special,115,202601010
e,attack_jig_00701_S_2,chara_jig_00701,2,Special,115,202601010
e,attack_jig_00701_S_3,chara_jig_00701,3,Special,115,202601010
e,attack_jig_00701_S_4,chara_jig_00701,4,Special,115,202601010
e,attack_jig_00701_S_5,chara_jig_00701,5,Special,115,202601010
e,attack_jig_00701_S_6,chara_jig_00701,6,Special,115,202601010
e,attack_jig_00701_S_7,chara_jig_00701,7,Special,115,202601010
e,attack_jig_00701_S_8,chara_jig_00701,8,Special,115,202601010
e,attack_jig_00701_S_9,chara_jig_00701,9,Special,115,202601010
