ENABLE,id,release_key,mst_pvp_reward_group_id,resource_type,resource_id,resource_amount
e,default_reward_totalscore_1,202512010,default_reward_totalscore_1,Coin,,200
e,default_reward_totalscore_2,202512010,default_reward_totalscore_2,Coin,,300
e,default_reward_totalscore_3,202512010,default_reward_totalscore_3,Coin,,500
e,default_reward_totalscore_4,202512010,default_reward_totalscore_4,Item,memoryfragment_glo_00001,3
e,default_reward_totalscore_5,202512010,default_reward_totalscore_5,Coin,,1000
e,default_reward_totalscore_6,202512010,default_reward_totalscore_6,Item,memoryfragment_glo_00001,5
e,default_reward_totalscore_7,202512010,default_reward_totalscore_7,Coin,,1000
e,default_reward_totalscore_8,202512010,default_reward_totalscore_8,Item,memoryfragment_glo_00002,1
e,default_reward_totalscore_9,202512010,default_reward_totalscore_9,Coin,,2000
e,default_reward_totalscore_10,202512010,default_reward_totalscore_10,Item,memoryfragment_glo_00002,2
e,default_reward_totalscore_11,202512010,default_reward_totalscore_11,Coin,,2000
e,default_reward_totalscore_12,202512010,default_reward_totalscore_12,FreeDiamond,,30
e,default_reward_totalscore_13,202512010,default_reward_totalscore_13,Coin,,3000
e,default_reward_totalscore_14,202512010,default_reward_totalscore_14,Item,memoryfragment_glo_00003,1
e,default_reward_totalscore_15,202512010,default_reward_totalscore_15,Item,ticket_glo_00002,2
