「GLOW_基本販売物_レギュレーション」を参照,,,,,,,,,,,,
,,,,,,,,,,,,
,▼アイテム単価(2025/11/19更新),,,,,,,,,,,
,景品名,,単価：税込（円）,,プリズム換算：個数（個）,,コイン換算：個数（枚）,,備考,,,
,プリズム,,¥2.00,,1,,200,,,,,
,Rキャラ,,¥300.00,,150,,30000,,,,,
,SRキャラ,,¥300.00,,150,,30000,,,,,
,SSRキャラ,,¥300.00,,150,,30000,,,,,
,URキャラ,,¥300.00,,150,,30000,,,,,
,Rキャラのかけら,,¥30.00,,15,,3000,,,,,
,SRキャラのかけら,,¥30.00,,15,,3000,,,,,
,SSRキャラのかけら,,¥30.00,,15,,3000,,,,,
,URキャラのかけら,,¥30.00,,15,,3000,,,,,
,RランダムかけらBOX,,¥30.00,,15,,3000,,,,,
,R選択かけらBOX,,¥30.00,,15,,3000,,,,,
,SRランダムかけらBOX,,¥30.00,,15,,3000,,,,,
,SR選択かけらBOX,,¥30.00,,15,,3000,,,,,
,SSRランダムかけらBOX,,¥30.00,,15,,3000,,,,,
,SSR選択かけらBOX,,¥30.00,,15,,3000,,,,,
,URランダムかけらBOX,,¥30.00,,15,,3000,,,,,
,UR選択かけらBOX,,¥30.00,,15,,3000,,,,,
,コイン,,¥0.01,,0.005,,1,,,,,
,スタミナ,,¥7.56,,3.78,,756,,,,,
,カラーメモリー・グレー,,¥0.27,,0.135,,27,,,,,
,カラーメモリー・レッド,,¥0.27,,0.135,,27,,,,,
,カラーメモリー・グリーン,,¥0.27,,0.135,,27,,,,,
,カラーメモリー・ブルー,,¥0.27,,0.135,,27,,,,,
,カラーメモリー・イエロー,,¥0.27,,0.135,,27,,,,,
,メモリーフラグメント・初級,,¥10.00,,5,,1000,,,,,
,メモリーフラグメント・中級,,¥15.00,,7.5,,1500,,,,,
,メモリーフラグメント・上級,,¥30.00,,15,,3000,,,,,
,ノーマルガシャチケット,,¥300.00,,150,,30000,,,,,
,スペシャルガシャチケット,,¥300.00,,150,,30000,,,,,
,ピックアップガシャチケット,,¥300.00,,150,,30000,,,,,
,UR1体確定10連ガシャチケット,,"¥3,000.00",,1500,,300000,,,,,
,ピックアップUR1体確定10連ガシャチケット,,"¥3,000.00",,1500,,300000,,,,,
,フェス限定UR1体確定10連ガシャチケット,,"¥3,000.00",,1500,,300000,,,,,
,R確定ガシャチケット,,¥300.00,,150,,30000,,,,,
,SR確定ガシャチケット,,¥300.00,,150,,30000,,,,,
,SSR確定ガシャチケット,,¥300.00,,150,,30000,,,,,
