,03_降臨バトル,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,◆降臨バトル,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,,,,,,
,名称,ファーストライブ,,,,10/10 12:00,10/15 11:59,,,,,,,,,,,,,
,開催期間,1/9(金) 15:00,〜,1/13(火) 14:59,,,,,,,,,,,,,,,,
,基礎設計URL,https://docs.google.com/spreadsheets/d/1ohOZ7nZzDOsfHVAB9sYWrrtaFXQ2n7yyIKDoemJIeBw/edit?gid=0#gid=0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ミッション達成◎×チェック,,,,,,,,,,,,,,,,,,,
,開催日数,5,,,,,,,,,,,,,,,,,,
,期間中の最大挑戦回数,25,,,,,,,,,,,,,,,,,,
,ミッションの最大挑戦回数,25,,,,,,,,,,,,,,,,,,
,ミッション達成,問題なし,※NGの場合、降臨ミッションか開催期間の変更が必要です,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,推奨Lv,1日の挑戦回数,1日の広告回数,獲得リーダーEXP,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,ステージ開放条件,,,,,,,,,,,
,20-30,5,2,100,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,設定（その他）,,,,,,,,,,,,,,,,,,,
,時間制限,120秒,,,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラ,"MEMちょ		
有馬 かな		
星野 ルビー",,,,,,,,,,,,,,,,,,
,クエストTOP画面表示キャラセリフ,なし,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ボーナス,,,,,,,,,,,,,,,,,,,
,ボーナス（%）,対象キャラ,対象キャラID,,ボーナス倍率の内訳,,,,,,,,,,,,,,,
,30%,B小町不動のセンター アイ,chara_osh_00001,,フェス限の新キャラ,30%,,,,,,,,,,,,,,
,10%,星野 ルビー,chara_osh_00201,,ピックアップURなどの新キャラ,20%,,,,,,,,,,,,,,
,10%,MEMちょ,chara_osh_00301,,恒常UR(新キャラではない),15%,,,,,,,,,,,,,,
