,06_ガシャ,,,,,,
,,,,,,,
,ガシャラインナップ_一覧,,,,,,
,,,,,,,
,,,,,,,
,"単発金額（円）
→10連引く際にユーザーが頻繁に購入するであろうもの価格帯で計算",¥288.46,,,,,
,"単発に必要な
プリズム数（個）",150,プリズム単価（円）,¥2.00,,,
,通常単発金額（円）,¥300.00,"↓各レアリティのキャラを
1体出すのに必要な回数",,,"100連天井の場合
通常","100連天井の場合
お得購入換算"
,レアリティ,ガシャ確率（%）,回転数期待値(回),一次通貨数期待値(個),金額期待値(円),金額期待値(円),金額期待値(円)
,UR,3,33.3,5000,"¥10,000","¥30,000","¥28,846"
,SSR,10,10.0,1500,"¥3,000",,
,SR,35,2.9,429,¥857,,
,R,52,1.9,288,¥577,,
,合計,100%,,,,,
,,,,,,,
,,,,,,,
,◆恒常ガシャ系,,,,,,
,,,,,,,
,項目,設計書URL,,,備考,,
,スペシャルガシャ,20250922_GLOW_スペシャルガシャ設計書,,,更新無し,,
,,,,,,,
,,,,,,,
,◆SPY×FAMILY いいジャン祭,,,,,,
,,,,,,,
,項目,設計書URL,,,備考,,
,魔都精兵のスレイブ いいジャン祭ピックアップガシャA,20251125_魔都精兵のスレイブ いいジャン祭_仕様書,,,"空間を操る六番組組長 出雲 天花
東 八千穂　Pick",,
,魔都精兵のスレイブ いいジャン祭ピックアップガシャB,20251125_魔都精兵のスレイブ いいジャン祭_仕様書,,,"誇り高き魔都の剣姫 羽前 京香
東 日万凛　Pick",,
