,"クリエイティブ一覧
https://docs.google.com/spreadsheets/d/1s-5R4ijjb7AXckYDBmqBgHFsZzbOPVe_SvX3hlK5Fdw/edit?gid=576303298#gid=5763032981",,,,,,,,,,,,,,,
,"監修資料（監修ち提出後にリンクを貼る）
",,,,,,,,,,,,,,,
,項目,仕様/補足,数量,工数, 画像,規格,"アップ先
S3/AB","画像ID
（PLAN側に確認）
！アイテムIDとは違うので記載注意！","監修
ステータス","BNE様へ
画像提出
（BOXリンクを貼る）","デザイナー
担当者",制作ステータス,"命名規則
※[ ]内はマスターデータ・運用単位で命名が変化します",,,
,新規アイテム,,,,,,,,,,,,,,,
,,,,,,,,,監修不要,,江村,,stage_icon_[:asset_key],,,
,,,,,,,,,監修不要,,江村,,stage_icon_[:asset_key],,,
,エンブレム,,,,,,,,,,,,,,,
,,,,,,,,,,,江村,,emblem_icon_[:asset_key],,,
,,,,,,,,,,,江村,,emblem_icon_[:asset_key],,,
,,,,,,,,,,,江村,,emblem_icon_[:asset_key],,,0
,,,,,,,,,,,江村,,emblem_icon_[:asset_key],,,0
,,,,,,,,,,,江村,,emblem_icon_[:asset_key],,,
,,,,,,,,,,,江村,,emblem_icon_[:asset_key],,,
,,,,,,,,,,,どん,,emblem_icon_[:asset_key],,,
,,,,,,,,,,,どん,,emblem_icon_[:asset_key],,,
,,,,,,,,,,,どん,,,,,
,,,,,,,,,,,,,,,,
,原画のかけら,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,プレハブ関連,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,バナー類,,,,,,,,,,,,,,,
,,,,,,,,,,,望月,,[:asset_key]_loginbonus,,,
,,,,,,,,,,,望月,,[:asset_key]_mission,,,
,,,,,,,,,,,望月,,[:asset_key]_banner,,,
,,,,,,,,,,,江村,,notice_[:png_name],,,
,,,,,,,,,,,江村,,hometop_[:png_name],,,
,ガシャバナー,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,（不要）【図鑑_シリーズバナー】,,1,,,300×300,AB,,,,,,series_banner_[:asset_key],その他,都度,
,（不要）【図鑑_シリーズロゴ),,1,,,350×245,AB,,,,,,series_logo_[:asset_key],その他,都度,
,"（不要）クエストバナー降臨バトル
","
データ設定で済むか要確認",,,,,,,,,,,,,,
,（不要）いいジャン祭パック,"既存バナーを流用
",,,不要かも,,,,,,,,,,,
,施策ロゴ_作成とチームメンバーへの共有(一番初めにやる),,,0.2,,,,,,,望月,,,,,
,,,,工数の合計値↓,,,,,,,,,,,,
,,,,0.2,,,,,,,,,,,,
,,,江村さん工数,0,,,,,,,,,,,,
,,,望月さん工数,0.2,,,,,,,,,,,,
