,01_概要,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,冬のWフェス！激アツ年末年始キャンペーン！,,,,,,,年末年始もいいジャン祭,?,
,,,,,,,,,,
,施策詳細,,,,,,,,,
,,,,,,,,,,
,◼︎施策名,,,,,,,,,
,,冬のWフェス！激アツ年末年始キャンペーン！（仮）,,,,,,,,
,■内容,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"◼︎開催期間（予定）
　12/26（金）15:00〜1/5（火）23:59",,,,,,,,,
,,,,,,,,,,
,"◼︎メイン課金ポイント
　お正月パック　松・竹・梅
　育成が捗るプレミアムパス誘導",,,,,,,,,
,,,,,,,,,,
,"◼︎主要コンテンツ（推しの子とは並走）
・育成が捗るキャンペーンとして、３つの施策を実施
・年明けから、お正月パックを販売
・年明け運試しクエストを実施",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,施策一覧,,,,,,,,,
,,※引用関数で引っ張っています,,,,,,,,
,カテゴリー,,,施策名称,開始日,終了日,備考,,,
,【デイリー】,,,開運！ジャンブル運試し,2026/01/01 0:00:00,2026/01/05 14:59:59,,,,
,【年末年始特別キャンペーン】,,,メインクエストのスタミナ1/2,2025/12/26 12:00:00,2026/01/05 11:59:59,,,,
,【年末年始特別キャンペーン】,,,コイン獲得クエストの挑戦回数+2回（無料枠）,2025/12/26 12:00:00,2026/01/05 11:59:59,,,,
,【正月お得パック】,,,お正月パック　松・竹・梅,2026/01/01 0:00:00,2026/01/15 10:59:59,,,,
,【ミッション】,,,最大50連無料！謹賀新年特別ミッション,2026/01/01 0:00:00,2026/02/02 10:59:59,,,,
,【ミッション】,,,年始ミッション		,2026/01/01 0:00:00,2026/01/05 23:59:59,,,,
,【ギフト】,,,あけましておめでとう！今年もよろしくメッセージ,2026/01/01 0:00:00,2026/01/05 14:59:00,,,,
,【ガシャ】,,,賀正ガシャ Ver.2026,2026/01/01 0:00:00,"無期限
対象のチケットを所持中のみ表示される",,,,
,【謹賀新年特別パス】,,,謹賀新年特別パス,2026/01/01 0:00:00,2026/01/15 3:59:59,,,,
,【ガシャ】,,,"初夢ガシャ Ver.2025(中止)
※期間限定キャラをラインナップに入れらないため",1/1 0:00,,,,,
,,,,,,,,,,
,新キャラ一覧,,,,,,,,,
,,,,,,,,,,
,新アイテム一覧,,,,,,,,,
,,,,,,,,,,
,アイテムID,,,アイテム名,,ID管理シート,備考,,,記載したい物
,ticket_glo_10000,,,賀正ガシャチケット Ver.2025,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1994449604#gid=1994449604&range=22:23,ミッション,,,キャラのかけら
,ticket_glo_10001,,,初夢ガシャチケット Ver.2025,,,メッセージ配布,,,キャラ専用カラーメモリー
,,,,（オブジェクト）おみくじ,,,アセット未確認,,,エンブレム
,,,,あけおめファントム,,,アセット未確認,,,原画のかけら（完成）
,,,,ことよろファントム,,,アセット未確認,,,ガシャチケット
,emblem_event_glo_00001,,,エンブレム「開運」,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1135844646#gid=1135844646&range=25:25,デイリー,,,エネミー専用キャラ（新キャラ一覧へ）
