,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/11/06,,,古澤,,,,,,,,,,,表示箇所なしのため設定不要,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,ファンと推し合戦!,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_event_osh1_1day,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,イベントクエスト,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202512020,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,※!（エクスクラメーションマーク）は半角で,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/01/01,,,4:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/01/16,,,3:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_osh_00101,,,復讐を誓う片星 星野 アクア,,,"役者というのは
単なる手段だ",,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
