,03_降臨バトル,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,◆降臨バトル,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,
,名称,,,,,,,,,,,,,,
,開催期間,,〜,,,,,,,,,,,,
,基礎設計URL,https://docs.google.com/spreadsheets/d/1e4TEDHZG7B2IoidRuFllgkCHS3FqtJXSaKheGN0atXE/edit?gid=0#gid=0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,推奨Lv,挑戦回数,獲得リーダーEXP,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,ステージ開放条件,,,,,,,
,20-30,"1日最大5回
内2回は広告視聴",100,,"醜鬼
和倉 青羽",koma_background_sur_00001,,12/22 (月)15:00から開放,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,設定（その他）,,,,,,,,,,,,,,
,時間制限,90秒,,,,,,,,,,,,,
,クエストTOP画面表示キャラ,和倉 青羽,,,,,,,,,,,,,
,クエストTOP画面表示キャラセリフ,なし,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ボーナス,,,,,,,,,,,,,,
,ボーナス（%）,対象キャラ,対象キャラID,,,,,,,,,,,,
,30%,和倉 優希,chara_sur_00001,,,,,,,,,,,,
,30%,誇り高き魔都の剣姫 羽前 京香,chara_sur_00101,,,,,,,,,,,,
,30%,東 日万凛,chara_sur_00201,,,,,,,,,,,,
,30%,駿河 朱々,chara_sur_00301,,,,,,,,,,,,
,30%,大川村 寧,chara_sur_00401,,,,,,,,,,,,
,30%,空間を操る六番組組長 出雲 天花,chara_sur_00501,,,,,,,,,,,,
,30%,東 八千穂,chara_sur_00601,,,,,,,,,,,,
,30%,和倉 青羽,chara_sur_00701,,,,,,,,,,,,
,30%,無窮の鎖 和倉 優希,chara_sur_00801,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,▼報酬関連,,,,,,,,,,,,,,
,◆クリア報酬,,,,,,,,,,,,,,
,・降臨バトルをプレイし、クリアすることで報酬が獲得できます,,,,,,,,,,,,,,
,・複数の報酬を設定可能です,,,,,,,,,,,,,,
