ENABLE,id,release_key
e,pvp_yuw_01,202511020
e,pvp_yuw_02,202511020
e,event_yuw1_1day_00001,202511020
e,event_yuw1_charaget01_00001,202511020
e,event_yuw1_charaget01_00002,202511020
e,event_yuw1_charaget01_00003,202511020
e,event_yuw1_charaget01_00004,202511020
e,event_yuw1_charaget01_00005,202511020
e,event_yuw1_charaget01_00006,202511020
e,event_yuw1_charaget01_00007,202511020
e,event_yuw1_charaget01_00008,202511020
e,event_yuw1_charaget02_00001,202511020
e,event_yuw1_charaget02_00002,202511020
e,event_yuw1_charaget02_00003,202511020
e,event_yuw1_charaget02_00004,202511020
e,event_yuw1_charaget02_00005,202511020
e,event_yuw1_charaget02_00006,202511020
e,event_yuw1_charaget02_00007,202511020
e,event_yuw1_charaget02_00008,202511020
e,event_yuw1_challenge01_00001,202511020
e,event_yuw1_challenge01_00002,202511020
e,event_yuw1_challenge01_00003,202511020
e,event_yuw1_challenge01_00004,202511020
e,event_yuw1_savage_00001,202511020
e,event_yuw1_savage_00002,202511020
e,event_yuw1_savage_00003,202511020
e,raid_yuw1_00001,202511020
