,01_概要,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,魔都精兵のスレイブ いいジャン祭,,,,,,,,,
,,,,,,,,,,
,魔都精兵のスレイブ いいジャン祭,,,,,,,,,
,,,,,,,,,,
,"◼︎施策名
　魔都精兵のスレイブ いいジャン祭",,,,,,,,,
,,,20251208_魔都精兵のスレイブ いいジャン祭 企画書,担当：村松,,,,,,
,■内容,,,,,,,,,
,"少年ジャンプ+ ジャンブルラッシュ内において、「魔都精兵のスレイブ」をピックアップしたイベントとして、
『原作コミック「2巻〜5巻」のストーリー再現』をテーマに据えます！
「出雲 天花」や「東 八千穂」との出会いから、隠れ里での戦いの内容までを実施します。
　
　なお、イベントの実施時期は、2025年12月上旬からを予定しております。",,,,,,,,,
,,,,,,,,,,
,"◼︎開催期間（予定・ユーザー提示用、一部データ設定は12時開始）
　12/08（火）15:00〜1/16（水）10:59",,,,,,,,,
,,,,,,,,,,
,"◼︎メイン課金ポイント
　魔都精兵のスレイブ いいジャン祭 新キャラ ピックアップガシャ
　「空間を操る六番組組長 出雲 天花」（UR）、「東 八千穂」（SSR）",,,,,,,,,
,,,,,,,,,,
,"◼︎主要コンテンツ
・魔都精兵のスレイブ いいジャン祭 特別ミッションを達成し豪華報酬をGETしよう！
・魔都精兵のスレイブ いいジャン祭限定のイベントキャラ「無窮の鎖 和倉 優希」「和倉 青羽」をそれぞれGETしよう！
　⇨このいいジャン祭を遊び切ると、「無窮の鎖 和倉 優希」「和倉 青羽」は最大グレード強化が可能になります！
・降臨バトルで報酬を獲得しつつランキング上位を目指そう！
・魔都精兵のスレイブの原作モチーフのエンブレムをGETしよう！",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,施策一覧,,,,,,,,,
,,※引用関数で引っ張っています,,,,,,,,
,カテゴリー,,,施策名称,開始日,終了日,備考,,,
,【デイリー】,,,精兵と管理人,12/08 15:00,12/31 23:59,"D承認済み
（年始都合上、直後に入れ替え）",,,
,"【ストーリー】
無窮の鎖 和倉 優希編",,,スレイブの誕生,12/08 15:00,1/16 10:59,v1.4.1メンテナンスがあるため終了時間変更,,,
,"【ストーリー】
和倉 青羽編",,,隠れ里の戦い,12/15 15:00,1/16 10:59,v1.4.1メンテナンスがあるため終了時間変更,,,
,【チャレンジ】,,,魔都防衛隊,12/08 15:00,1/16 10:59,v1.4.1メンテナンスがあるため終了時間変更,,,
